Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.67,0.61,NO,N/A,56.94%,73.36%,140.22%,61.55%,92.98,0.438,1.2594,0.197,0.493,0.784,0.474
3,0.8,0.75,NO,N/A,47.8%,59.66%,122.88%,47.97%,92.46,0.3504,0.9798,0.142,0.522,0.845,0.444
4,0.91,0.81,NO,N/A,31.85%,39.1%,105.16%,26.62%,87.68,0.2531,0.8356,0.069,0.48,0.924,0.488
5,0.87,0.49,NO,N/A,20.65%,30.29%,72.0%,19.63%,70.6,0.1733,0.4656,0.029,0.239,0.968,0.714
6*,1.0,1.0,YES,Most Stab Sigs,7.89%,18.51%,38.11%,10.06%,29.98,0.0962,0.3076,0.007,0.046,0.992,0.95
7,0.74,-0.82,NO,N/A,7.8%,18.08%,37.92%,10.13%,29.75,0.0965,0.2823,0.007,0.045,0.992,0.95
8,0.54,-0.91,NO,N/A,7.77%,17.62%,38.19%,10.0%,29.97,0.0967,0.285,0.007,0.045,0.992,0.951
9,0.4,-0.83,NO,N/A,7.89%,17.91%,38.04%,9.68%,29.62,0.0974,0.292,0.007,0.045,0.993,0.951
10,0.29,-0.85,NO,N/A,7.28%,17.84%,35.79%,9.19%,24.97,0.0989,0.3063,0.006,0.032,0.994,0.965
11,0.27,-0.65,NO,N/A,8.1%,19.09%,33.98%,9.44%,22.84,0.1034,0.2601,0.005,0.022,0.995,0.974
12,0.18,-0.75,NO,N/A,7.01%,17.12%,36.25%,8.61%,27.57,0.0992,0.2482,0.005,0.037,0.994,0.96
13,0.18,-0.71,NO,N/A,6.5%,15.99%,32.23%,8.2%,21.41,0.0961,0.2766,0.004,0.019,0.995,0.979
14,0.17,-0.75,NO,N/A,7.19%,17.13%,35.27%,8.47%,20.34,0.0991,0.2505,0.005,0.018,0.995,0.978
15,0.08,-0.88,NO,N/A,6.54%,16.17%,32.55%,8.05%,19.51,0.0956,0.2817,0.004,0.019,0.995,0.977
16,0.08,-0.66,NO,N/A,6.55%,16.58%,33.39%,8.25%,18.52,0.0964,0.2727,0.003,0.014,0.996,0.984
17,0.1,-0.66,NO,N/A,6.9%,17.42%,33.32%,8.25%,20.21,0.1005,0.2596,0.004,0.017,0.996,0.98
18,0.05,-0.73,NO,N/A,7.0%,16.74%,34.76%,8.75%,19.6,0.0991,0.2578,0.004,0.018,0.996,0.98
19,0.02,-0.73,NO,N/A,7.03%,16.85%,38.43%,8.34%,19.12,0.0986,0.2291,0.003,0.016,0.996,0.981
20,-0.0,-0.77,NO,N/A,6.1%,15.71%,34.12%,7.71%,21.53,0.0943,0.2535,0.003,0.02,0.996,0.978
