MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
1:Del:C:0	2.53E-03	0.00E+00	1.96E-03	1.40E-46	4.54E-02	1.09E-02	1.83E-02	8.20E-03	3.42E-02	1.09E-02	4.15E-02	3.76E-02	5.78E-02	6.75E-03	1.93E-03	1.13E-02	2.00E-03	2.70E-02
1:Del:C:1	5.14E-04	5.07E-04	3.60E-04	0.00E+00	2.03E-02	5.99E-03	1.24E-02	8.20E-03	7.22E-04	1.38E-02	2.29E-02	3.53E-02	1.27E-02	4.37E-03	8.87E-03	4.99E-03	1.14E-03	1.44E-02
1:Del:C:2	4.48E-05	7.19E-05	4.20E-06	2.67E-05	9.73E-04	5.59E-04	1.54E-03	2.34E-03	4.68E-04	3.51E-03	2.79E-03	2.98E-03	2.07E-03	1.96E-04	1.38E-08	4.21E-04	5.73E-05	5.85E-03
1:Del:C:3	6.53E-04	2.44E-04	8.19E-05	5.62E-04	4.07E-03	2.54E-03	3.18E-03	1.76E-03	2.26E-03	4.68E-08	7.62E-03	1.95E-03	2.34E-03	1.69E-03	2.72E-03	1.07E-02	1.38E-02	1.18E-02
1:Del:C:4	6.94E-04	5.18E-05	2.80E-46	3.50E-03	1.19E-02	1.05E-03	1.62E-03	7.05E-04	4.02E-03	8.30E-04	5.87E-03	3.84E-03	2.15E-02	1.63E-03	1.03E-03	7.19E-07	2.63E-02	6.88E-04
1:Del:C:5	6.36E-04	1.92E-04	0.00E+00	5.55E-03	0.00E+00	6.96E-04	4.90E-03	5.40E-04	1.09E-07	2.28E-04	0.00E+00	9.65E-03	1.53E-03	3.44E-03	1.26E-02	9.11E-03	5.46E-03	8.50E-03
1:Del:T:0	4.95E-06	1.29E-03	9.29E-04	1.03E-03	1.33E-02	6.03E-03	1.12E-02	7.86E-03	8.25E-03	1.32E-02	2.84E-02	3.56E-02	2.63E-02	8.16E-03	6.13E-03	2.17E-02	8.30E-03	3.44E-02
1:Del:T:1	3.51E-08	0.00E+00	5.04E-09	1.17E-03	1.20E-02	3.00E-03	1.13E-02	1.53E-03	0.00E+00	7.42E-08	9.75E-03	5.11E-02	6.47E-03	1.56E-03	4.10E-04	1.64E-02	1.48E-02	7.68E-03
1:Del:T:2	2.17E-03	6.44E-05	4.70E-04	2.01E-03	1.31E-02	2.82E-03	1.06E-02	1.33E-03	8.06E-04	4.05E-03	2.24E-02	3.08E-02	1.91E-02	1.01E-03	0.00E+00	4.41E-02	4.34E-03	3.31E-02
1:Del:T:3	1.52E-03	1.73E-04	7.90E-04	3.55E-03	1.89E-02	7.42E-04	2.18E-02	0.00E+00	1.26E-02	1.15E-02	4.41E-02	1.69E-02	2.23E-02	8.56E-03	2.99E-46	2.41E-02	4.99E-03	1.58E-02
1:Del:T:4	1.55E-03	6.36E-04	0.00E+00	4.11E-03	1.67E-02	0.00E+00	1.37E-02	0.00E+00	1.40E-46	2.72E-03	4.49E-02	2.78E-02	3.44E-02	9.07E-03	3.56E-03	2.06E-02	2.95E-02	1.65E-02
1:Del:T:5	6.18E-08	4.28E-46	5.76E-08	1.63E-02	2.54E-02	1.04E-06	1.02E-01	1.49E-02	8.71E-07	1.05E-02	6.56E-06	1.60E-06	1.19E-02	1.05E-01	1.77E-06	1.36E-04	1.18E-02	3.41E-06
1:Ins:C:0	1.35E-04	7.64E-08	4.41E-07	1.82E-07	7.51E-08	1.29E-03	4.69E-07	1.18E-03	3.82E-07	1.58E-07	1.83E-06	9.88E-08	9.98E-08	3.27E-08	7.85E-08	2.72E-07	7.90E-08	5.41E-04
1:Ins:C:1	3.60E-08	1.90E-07	6.60E-05	1.40E-07	3.67E-08	7.57E-04	1.05E-07	7.47E-04	2.68E-07	1.65E-04	1.99E-07	1.31E-07	1.20E-07	2.51E-03	5.57E-04	8.00E-07	2.45E-08	3.98E-07
1:Ins:C:2	7.35E-05	2.77E-08	8.32E-05	6.26E-04	8.38E-08	2.96E-04	4.57E-04	1.05E-03	4.08E-07	2.26E-03	1.50E-03	3.90E-07	5.02E-04	4.09E-04	8.36E-07	1.02E-03	1.35E-03	3.81E-03
1:Ins:C:3	7.65E-08	3.38E-08	1.27E-07	1.91E-04	6.75E-08	2.43E-08	1.53E-04	1.72E-07	4.51E-05	1.14E-07	1.77E-07	2.27E-07	1.04E-07	1.37E-04	3.30E-08	7.62E-07	2.92E-07	2.14E-07
1:Ins:C:4	3.66E-04	2.42E-04	8.87E-05	7.50E-04	1.83E-04	1.23E-03	9.18E-04	3.58E-04	3.94E-04	2.28E-03	2.02E-03	6.55E-04	2.87E-03	9.88E-04	1.08E-02	6.87E-03	1.24E-03	4.47E-07
1:Ins:C:5	4.29E-03	0.00E+00	4.97E-05	4.96E-03	2.99E-03	5.29E-08	2.75E-03	1.31E-06	6.05E-03	5.40E-08	9.37E-03	1.40E-46	4.84E-04	4.89E-03	2.49E-03	6.89E-02	4.47E-03	3.86E-03
1:Ins:T:0	4.04E-04	4.33E-05	3.28E-04	3.59E-08	2.28E-03	2.32E-03	1.68E-03	5.49E-04	0.00E+00	9.13E-03	7.81E-03	8.13E-03	4.90E-03	3.86E-03	1.78E-03	2.72E-03	2.10E-07	8.67E-03
1:Ins:T:1	1.65E-07	0.00E+00	3.78E-04	2.49E-04	3.85E-03	1.24E-03	3.48E-03	2.32E-03	2.04E-03	8.05E-03	9.96E-03	1.65E-02	5.09E-03	2.09E-02	5.25E-03	1.77E-03	3.25E-05	4.70E-03
1:Ins:T:2	0.00E+00	2.21E-07	3.67E-07	9.72E-04	2.53E-04	4.88E-04	1.57E-03	7.24E-04	1.28E-03	2.67E-03	1.09E-03	3.29E-03	1.59E-04	1.29E-07	2.69E-04	1.00E-03	1.29E-03	1.64E-04
1:Ins:T:3	1.42E-03	0.00E+00	1.12E-04	3.66E-08	1.86E-07	3.28E-04	1.76E-03	3.10E-04	2.06E-07	0.00E+00	3.61E-03	5.77E-03	3.08E-03	3.88E-04	1.96E-02	2.98E-03	9.85E-03	2.40E-02
