Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
V1	7	38	37	0	0	32	3	13	0	51	33	10	0
V2	14	112	0	1	55	0	29	2	0	56	0	48	0
V3	81	7	1	51	1	0	12	1	170	0	0	0	20
V4	0	61	0	3	79	27	31	25	0	32	0	13	0
V5	3	0	16	59	0	55	21	9	0	0	0	0	33
V6	217	83	51	0	174	56	0	197	0	0	17	0	0
V7	17	22	0	49	63	35	0	10	17	0	28	11	68
V8	1	34	100	7	44	0	0	77	0	0	0	10	17
V9	5	28	4	0	40	25	39	19	0	0	91	0	13
V10	98	4	66	111	0	50	40	0	50	0	59	22	10
V11	69	28	61	91	13	0	53	0	143	87	0	0	0
V12	0	0	5	3	34	0	0	132	0	0	0	0	21
V13	30	540	4	6	28	0	0	0	0	76	0	0	0
V14	33	62	22	0	8	0	69	0	27	15	0	37	0
V15	77	31	14	351	14	0	0	0	17	47	103	0	46
V16	28	154	91	43	86	0	11	31	11	109	0	8	0
V17	142	11	21	0	7	41	20	8	26	0	5	0	0
V18	35	6	69	0	3	0	0	2	16	0	37	0	5
V19	9	9	3	5	6	0	14	0	6	0	0	0	0
V20	9	0	11	0	6	18	0	0	0	0	0	3	0
V21	0	34	12	144	3	185	80	0	25	3	0	0	28
V22	115	17	196	117	6	0	12	9	185	0	0	4	3
V23	21	95	23	100	10	0	0	0	0	32	0	17	0
V24	73	37	7	49	2	16	46	0	86	88	59	0	6
V25	35	0	0	417	17	30	56	31	146	0	65	0	0
V26	55	0	13	0	17	9	0	43	0	0	19	0	20
V27	203	0	24	27	17	13	0	24	0	0	0	14	8
V28	1	0	68	0	54	21	36	18	0	0	1	12	0
V29	117	60	4	21	37	0	0	0	0	26	0	22	0
V30	0	337	0	0	118	0	0	25	9	29	0	13	0
V31	99	6	0	52	5	56	17	0	31	13	0	22	6
V32	2	3	0	86	0	145	152	9	60	18	16	24	0
V33	0	195	71	14	7	0	3	0	0	29	0	113	0
V34	20	6	20	0	0	97	49	0	6	0	86	0	0
V35	0	57	31	176	53	0	67	25	74	12	0	10	0
V36	29	30	14	24	7	0	7	14	41	5	0	0	0
V37	25	3	44	4	0	0	0	8	27	4	0	5	22
V38	1	27	178	98	11	53	21	0	28	20	0	38	32
V39	6	30	18	13	28	8	0	57	10	60	0	0	0
V40	66	114	13	71	3	0	65	0	64	217	0	0	2
V41	3	0	124	0	0	26	2	11	88	0	26	21	0
V42	11	167	26	58	22	165	141	0	4	61	66	40	46
V43	97	0	0	9	0	0	0	3	0	0	0	4	0
V44	0	23	111	4	0	0	43	0	0	0	3	6	0
V45	89	0	0	0	2	1	25	6	11	0	3	13	25
V46	20	0	228	56	23	0	8	3	24	0	0	0	17
V47	13	0	140	0	0	13	7	12	0	1	57	5	0
V48	114	0	5	0	104	0	0	142	0	0	0	0	26
V49	430	32	24	0	0	0	0	1	0	8	34	5	4
V50	0	85	10	0	101	36	9	62	0	4	0	44	0
V51	103	0	0	0	47	4	0	43	0	0	14	0	2
V52	63	2	42	81	94	0	38	89	5	16	0	19	0
V53	124	21	46	155	0	0	24	6	28	0	0	0	0
V54	28	0	0	67	13	4	10	5	102	0	16	0	0
V55	57	2	77	2	6	0	0	26	0	11	19	0	0
V56	4	34	0	0	26	19	0	5	0	0	0	7	10
V57	246	83	57	0	21	85	0	0	11	171	0	45	2
V58	6	0	0	22	0	19	25	48	28	0	0	30	0
V59	27	55	81	58	35	0	0	9	33	28	0	26	0
V60	55	41	103	74	84	0	10	72	28	51	0	1	0
V61	0	75	16	46	10	34	16	0	0	2	0	37	0
V62	58	1	143	1	3	0	33	2	15	32	12	0	0
V63	0	15	14	0	18	35	104	0	0	13	0	21	0
V64	0	49	67	49	48	5	65	30	11	0	0	89	11
V65	0	85	33	0	7	0	13	1	2	12	0	15	0
V66	0	76	127	0	46	82	40	14	0	9	28	54	0
V67	0	80	109	26	10	0	0	0	43	4	0	82	0
V68	2	98	0	0	10	22	80	1	0	6	0	56	0
V69	43	0	0	30	75	169	149	181	0	0	0	0	0
V70	10	0	30	110	87	0	0	91	160	0	56	0	0
V71	0	4	0	6	11	51	9	3	0	18	0	31	0
V72	181	0	0	3	9	106	23	0	15	0	0	7	0
V73	6	34	0	0	0	14	4	1	0	80	0	10	0
V74	14	123	0	95	65	0	4	37	73	0	0	10	23
V75	0	2	78	21	3	33	24	0	43	0	161	0	0
V76	21	0	40	0	0	5	2	0	4	0	17	0	0
V77	41	1	49	0	0	44	37	0	0	21	0	0	0
V78	0	0	12	0	0	116	94	1	0	0	109	27	0
V79	63	0	32	0	0	92	143	10	0	31	33	118	0
V80	0	70	2	37	19	0	0	0	75	22	0	13	0
V81	19	145	0	30	11	0	0	9	56	0	0	9	0
V82	4	1	0	0	1	19	4	0	2	29	0	17	0
V83	19	113	14	0	10	0	0	0	0	62	0	0	0
V84	5	0	27	9	64	22	32	95	66	0	0	0	63
V85	1	50	65	0	48	0	17	2	0	0	0	60	15
V86	14	0	0	171	13	35	24	57	47	0	2	19	25
V87	0	40	162	0	1	1	16	8	7	0	0	4	6
V88	0	183	51	13	65	0	0	32	17	48	0	20	0
V89	22	21	29	1	0	52	19	0	17	40	28	4	0
V90	122	0	35	0	69	0	0	76	0	0	0	0	0
V91	37	0	13	2	44	7	0	56	0	0	0	0	0
V92	1	15	3	0	13	0	55	97	65	0	0	0	0
V93	460	0	0	0	37	104	24	30	0	0	15	0	1
V94	3	0	0	0	9	9	18	3	0	0	40	0	0
V95	0	65	25	36	1	21	32	0	29	61	2	44	0
V96	6	0	19	0	18	0	2	53	0	0	0	0	1
V97	15	0	38	30	6	0	7	40	0	0	4	0	0
V98	14	0	121	0	135	76	67	201	0	0	42	0	0
V99	30	0	0	28	71	145	142	100	29	0	79	0	0
V100	26	0	6	0	23	0	0	15	0	0	14	0	9
