NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	58.054	23.337	14.34	14.65	0.122	0.986	50000.0
2	55.921	21.868	13.561	13.897	0.117	0.987	40000.0
3	59.067	24.127	14.335	15.226	0.127	0.985	40000.0
4	61.092	24.38	14.838	15.394	0.128	0.984	40000.0
5	55.83	22.527	13.437	14.372	0.122	0.986	50000.0
6	55.775	21.939	13.395	13.536	0.114	0.988	50000.0
7	55.564	22.28	13.398	14.264	0.12	0.986	30000.0
8	57.748	22.938	14.24	14.783	0.119	0.984	70000.0
9	58.077	23.648	14.004	14.983	0.124	0.984	40000.0
10	59.734	24.471	14.351	15.499	0.128	0.984	30000.0
