MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
3:Ins:R:0	2.05E-04	5.69E-04	1.06E-03	8.26E-05	3.30E-04	9.48E-04	5.90E-03	5.22E-04	7.92E-03	9.59E-04	7.68E-03	1.59E-02	1.88E-03	2.41E-03
3:Ins:R:1	2.39E-05	9.35E-05	3.30E-04	4.52E-09	3.22E-05	1.42E-04	8.13E-05	3.07E-04	2.20E-04	1.51E-04	8.71E-05	9.14E-05	1.24E-04	5.31E-04
3:Ins:R:2	4.06E-06	1.39E-05	6.57E-06	6.17E-09	0.00E+00	3.37E-05	2.85E-08	3.28E-05	1.26E-05	9.14E-09	2.88E-08	1.21E-04	6.47E-05	1.41E-07
3:Ins:R:3	2.07E-08	2.55E-06	1.92E-06	1.07E-07	6.07E-10	1.72E-05	3.50E-08	5.82E-08	6.95E-08	1.27E-08	1.43E-07	1.75E-05	4.40E-08	9.55E-05
3:Ins:R:4	4.59E-10	3.60E-09	3.42E-08	4.91E-10	0.00E+00	5.11E-08	3.11E-08	6.77E-08	3.05E-08	4.07E-08	8.84E-08	5.27E-08	3.08E-08	3.05E-08
3:Ins:R:5	4.59E-10	3.60E-09	3.42E-08	4.91E-10	0.00E+00	5.11E-08	3.11E-08	6.77E-08	3.05E-08	4.07E-08	8.84E-08	5.27E-08	3.08E-08	3.05E-08
4:Ins:R:0	1.22E-04	9.95E-04	2.10E-03	1.09E-04	5.78E-04	3.69E-03	8.63E-03	3.29E-03	6.53E-04	1.70E-03	1.08E-03	1.24E-02	2.09E-04	3.46E-03
4:Ins:R:1	9.73E-06	0.00E+00	1.64E-04	3.29E-09	8.07E-05	1.59E-04	3.07E-04	4.55E-09	3.66E-04	1.57E-05	5.20E-04	3.13E-04	6.37E-05	6.74E-05
4:Ins:R:2	2.95E-09	4.66E-08	1.08E-05	2.76E-09	0.00E+00	6.89E-08	6.28E-08	4.58E-08	2.54E-05	3.08E-05	1.75E-05	3.90E-08	1.71E-05	9.29E-08
4:Ins:R:3	4.10E-10	5.27E-06	1.32E-05	1.49E-08	0.00E+00	2.23E-08	6.06E-08	6.22E-08	1.04E-07	2.60E-08	1.09E-07	1.11E-05	2.80E-07	6.14E-08
4:Ins:R:4	6.43E-10	3.18E-09	4.53E-09	2.59E-09	7.27E-09	3.57E-08	6.14E-08	1.65E-05	5.30E-08	0.00E+00	3.50E-05	2.92E-08	1.97E-05	1.07E-04
4:Ins:R:5	4.59E-10	3.60E-09	3.42E-08	4.91E-10	0.00E+00	5.11E-08	3.11E-08	6.77E-08	3.05E-08	4.07E-08	8.84E-08	5.27E-08	3.08E-08	3.05E-08
5:Ins:R:0	0.00E+00	1.12E-04	6.17E-03	2.31E-04	8.96E-04	5.43E-03	1.82E-02	6.01E-05	1.16E-02	3.74E-03	9.55E-03	2.36E-02	4.64E-03	4.30E-03
5:Ins:R:1	0.00E+00	1.47E-08	0.00E+00	2.28E-09	2.63E-05	7.99E-05	8.99E-05	9.84E-05	4.30E-05	1.99E-04	1.37E-08	1.68E-04	8.50E-05	1.70E-04
5:Ins:R:2	4.59E-10	7.18E-06	1.35E-05	1.88E-09	0.00E+00	4.35E-08	5.79E-08	7.50E-08	7.73E-08	3.54E-08	1.16E-07	2.32E-08	1.04E-07	7.18E-08
5:Ins:R:3	4.59E-10	3.60E-09	3.42E-08	4.91E-10	0.00E+00	5.11E-08	3.11E-08	6.77E-08	3.05E-08	4.07E-08	8.84E-08	5.27E-08	3.08E-08	3.05E-08
5:Ins:R:4	4.59E-10	3.60E-09	3.42E-08	4.91E-10	0.00E+00	5.11E-08	3.11E-08	6.77E-08	3.05E-08	4.07E-08	8.84E-08	5.27E-08	3.08E-08	3.05E-08
5:Ins:R:5	4.59E-10	3.60E-09	3.42E-08	4.91E-10	0.00E+00	5.11E-08	3.11E-08	6.77E-08	3.05E-08	4.07E-08	8.84E-08	5.27E-08	3.08E-08	3.05E-08
2:Del:M:1	5.05E-04	1.66E-04	6.38E-03	5.79E-05	0.00E+00	4.81E-03	5.26E-03	6.80E-03	4.63E-03	5.41E-03	1.17E-02	2.88E-03	8.40E-03	4.89E-03
3:Del:M:1	7.96E-06	4.76E-05	6.88E-04	4.05E-05	4.80E-04	3.07E-04	1.48E-03	0.00E+00	3.88E-03	3.95E-03	4.79E-03	2.91E-04	2.77E-03	1.75E-03
3:Del:M:2	2.90E-04	8.03E-05	2.59E-03	6.63E-05	5.27E-04	5.69E-03	5.13E-03	3.45E-03	3.15E-03	2.11E-03	6.42E-03	5.86E-04	8.81E-03	2.56E-03
4:Del:M:1	5.12E-05	7.12E-05	1.02E-03	1.67E-09	5.13E-04	1.17E-03	1.30E-03	2.24E-03	1.20E-03	3.29E-03	3.75E-03	1.42E-03	1.58E-03	3.19E-04
4:Del:M:2	4.22E-05	1.40E-04	2.46E-03	0.00E+00	8.19E-04	2.81E-03	2.90E-03	3.45E-03	2.06E-03	1.97E-03	5.83E-03	4.56E-04	3.90E-03	2.84E-03
4:Del:M:3	2.28E-04	3.09E-04	2.83E-03	1.30E-04	4.92E-04	2.10E-03	1.18E-03	1.01E-02	3.18E-03	0.00E+00	1.09E-02	5.02E-04	8.85E-03	3.02E-03
5:Del:M:1	9.25E-06	1.04E-03	4.39E-03	6.36E-05	6.21E-03	3.15E-03	4.29E-03	2.79E-03	6.48E-03	1.09E-02	7.59E-03	3.30E-03	6.56E-04	1.94E-03
5:Del:M:2	2.51E-05	8.71E-04	3.16E-03	1.26E-04	6.14E-03	4.13E-03	5.85E-03	1.34E-03	2.92E-03	1.24E-02	2.25E-02	3.31E-03	2.77E-04	4.66E-04
5:Del:M:3	3.72E-05	1.13E-04	1.01E-03	1.09E-04	4.24E-03	5.11E-04	1.17E-03	4.88E-03	3.50E-03	3.26E-03	8.75E-03	9.80E-04	3.30E-03	3.13E-46
5:Del:M:4	2.71E-05	3.60E-04	0.00E+00	2.66E-09	1.13E-02	8.80E-04	3.09E-03	1.72E-03	1.85E-03	7.53E-04	2.31E-02	8.39E-04	2.56E-03	7.02E-04
5:Del:M:5	6.72E-05	5.08E-04	1.65E-03	9.94E-05	4.26E-03	2.02E-03	3.52E-03	5.66E-04	5.10E-03	4.31E-46	5.61E-03	3.86E-03	2.37E-03	3.22E-03
