Samples	ID83A	ID83B	ID83C
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	188	54	67
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	857	557	61
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	363	96	43
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	725	527	51
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	483	48	11
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	317	226	37
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	298	114	43
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	136	112	73
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	179	37	649
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	121	26	62
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	136	44	37
X2102558b.87b0.447b.bb9a.e4ae9df8b75e..Panc.AdenoCA..DO33032	449	376	19
X21b1a37f.e91e.4ce1.83cf.bb89b8d0fb35..Panc.AdenoCA..DO33028	314	42	47
X228fb827.c05e.494c.8a21.e1d925e100cb..Panc.AdenoCA..DO51537	413	219	28
X230f53ef.be3f.495e.9b95.b0f670bd6908..Panc.AdenoCA..DO51508	47	2	5
X241abdfd.e6de.4830.a233.4bbc5f622725..Panc.AdenoCA..DO49138	544	257	59
X2564a262.03e8.467b.9ea2.f3ab38d75ae1..Panc.AdenoCA..DO49457	770	317	0
X25c32aca.6738.43ef.a103.243f2f9a3b43..Panc.AdenoCA..DO51492	210	98	32
X25cf7449.8c5b.403e.aa75.e2af158598e8..Panc.AdenoCA..DO33208	210	122	51
X28f41a20.b6d6.4ecc.888f.72f779ad9af7..Panc.AdenoCA..DO49442	428	15	69
X29a00d78.b9bb.4c6b.b142.d5b8bfa63455..Panc.AdenoCA..DO35144	323	179	31
X2b3837b3.ee29.4a08.848e.1206404da986..Panc.AdenoCA..DO49448	288	107	42
X2b6d4d66.7f0b.4bc0.b3d6.171956a937c5..Panc.AdenoCA..DO49166	172	88	28
X2bd9ccca.3fae.4b66.a762.6f30d6276222..Panc.AdenoCA..DO35152	569	210	18
X2bf5b018.9f19.4fbd.9e1f.7d958aabe5d1..Panc.AdenoCA..DO51489	217	54	314
X2c48eefe.2a08.47bf.8e4d.cbaab6777150..Panc.AdenoCA..DO35222	205	22	17
X2e43e0ca.54ea.482e.acf2.0048d9187a5c..Panc.AdenoCA..DO35258	305	200	49
X2fdfb06c.0d2f.4e1d.9756.bcb08a7f90af..Panc.AdenoCA..DO221546	198	101	98
X31c75873.abb4.4d88.9e2f.07497a6c892d..Panc.AdenoCA..DO35082	516	267	137
X32fa6457.c8bd.4d26.8106.925baf13df68..Panc.AdenoCA..DO51518	597	184	8
X33061bf5.9b99.4735.a810.f2d5eeef6873..Panc.AdenoCA..DO33392	240	71	62
X33070975.0f35.4518.9ffb.4c6170c32534..Panc.AdenoCA..DO33160	241	166	56
X33bcd589.80db.4a58.8f83.a48cb60e0fda..Panc.AdenoCA..DO35148	86	17	60
X368e592d.260c.4f58.81c4.a9f1e6177a4b..Panc.AdenoCA..DO51549	349	132	28
X3933c60d.73d6.4f74.ae02.fd545fc1f092..Panc.AdenoCA..DO51541	269	99	153
X39c6c3b3.4683.4d11.984c.ed589188da65..Panc.AdenoCA..DO51527	941	215	67
X39d38c06.3779.4ca4.b103.1d096f93dae8..Panc.AdenoCA..DO51532	342	107	37
X3b526846.72d6.4e10.b7cd.8cdb45a92a1c..Panc.AdenoCA..DO34736	532	155	688
X3bfbc33d.804b.4bb3.97ac.97563d77b13d..Panc.AdenoCA..DO33376	439	117	18
X3c86ba21.7b11.4ec7.9d20.a2325197c676..Panc.AdenoCA..DO33042	228	97	67
X3e4d0e50.8cf4.4eb0.a00a.ccf0484ecc2f..Panc.AdenoCA..DO33984	250	66	57
X3ed783cf.2248.44a1.a2a2.d6b6519b91ef..Panc.AdenoCA..DO51495	192	68	316
X3fb8f017.576f.4901.b8bf.3a58e5d43de3..Panc.AdenoCA..DO35138	100	13	20
X3fba4880.cb7b.4ac5.ab5f.728614faa1ea..Panc.AdenoCA..DO49466	654	130	11
X40378b7a.a65d.4510.aaba.a34c4058fac7..Panc.AdenoCA..DO49424	486	188	65
X42f00950.09c9.461a.8423.d5b04a96af10..Panc.AdenoCA..DO51472	320	86	39
X441d2f21.b448.4fc8.8c54.9b85aca56237..Panc.AdenoCA..DO35126	344	234	26
X4652ae03.b096.42d0.bdfa.3f6281d4f023..Panc.AdenoCA..DO35236	496	222	78
X46e166fe.3b20.49ad.98db.42c854c61c93..Panc.AdenoCA..DO51470	232	188	33
X4a4e0397.8702.46ef.aaa8.3980f03a40bf..Panc.AdenoCA..DO51521	6	0	12
X4a88981e.e409.440f.9bf0.71ca1bab8b4e..Panc.AdenoCA..DO51534	489	92	11
X4aa7eabc.0419.4897.b7af.5dcccfd6ac2f..Panc.AdenoCA..DO51476	36	258	888
X4c027164.12de.456f.b933.6bc91f70b46f..Panc.AdenoCA..DO49478	339	109	54
X4c4aa1b1.fda3.4c5b.b588.68aa727500ad..Panc.AdenoCA..DO51543	500	160	49
X4cbe411b.b05e.46bd.bea8.126289a0866c..Panc.AdenoCA..DO49090	396	218	40
X4db9e471.0068.4ec6.9bcb.33ef5fdec33e..Panc.AdenoCA..DO32976	385	62	39
X51458c86.0fdd.470e.b059.1ffbffc92a7f..Panc.AdenoCA..DO34288	203	148	54
X5187e77d.f412.4303.8049.11d1aa1a0235..Panc.AdenoCA..DO49419	423	220	1253
X5255d645.d3d2.422e.8449.046cd21f4935..Panc.AdenoCA..DO34809	215	163	113
X52f43b72.15ea.40a0.a3b4.4bf22bc0bf25..Panc.AdenoCA..DO49427	259	90	37
X53534b3c.cd15.4d68.a9b1.6902bb234c45..Panc.AdenoCA..DO33552	715	368	1037
X536dedba.46c4.4a21.b112.13c030b13069..Panc.AdenoCA..DO35442	0	7693	58
X53e6a756.bdcc.4217.afe7.27d776159544..Panc.AdenoCA..DO35360	270	33	296
X54195db3.94a9.4538.8bb8.9953d936acd4..Panc.AdenoCA..DO221544	344	64	1126
X541f91bd.7e9d.4348.9e78.45b948d8967e..Panc.AdenoCA..DO34961	572	62	108
