Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
V1	2	0	6	7	189	116	0	0	0	50	0	0	5
V2	9	19	44	18	2	67	61	0	92	0	0	0	7
V3	22	21	22	13	0	3	4	12	0	0	2	25	9
V4	0	64	13	13	70	1	0	1	0	0	0	4	0
V5	214	46	13	103	5	44	21	0	47	23	35	25	8
V6	0	17	128	72	0	51	34	79	0	7	0	0	19
V7	24	0	51	1	4	0	17	29	0	59	0	58	0
V8	71	22	293	158	21	0	16	0	0	158	0	0	5
V9	83	59	17	0	133	44	0	4	20	13	51	20	58
V10	25	4	86	0	97	17	32	10	6	0	30	12	7
V11	20	0	0	0	119	50	0	9	7	21	20	0	0
V12	8	26	0	0	8	1	12	0	11	0	0	4	3
V13	0	32	0	3	0	8	13	10	0	0	0	23	8
V14	42	168	9	49	32	73	0	0	4	14	17	0	21
V15	23	11	8	23	0	12	0	5	0	0	0	0	4
V16	31	3	0	0	78	25	31	11	18	9	0	0	23
V17	206	53	20	59	0	67	68	11	0	54	12	13	9
V18	109	47	18	79	34	3	56	11	0	25	19	10	0
V19	31	161	66	83	37	39	2	50	10	0	0	0	0
V20	43	165	126	48	3	0	0	0	0	26	0	0	0
V21	1	0	27	0	47	91	0	5	11	0	0	10	21
V22	179	113	57	39	94	0	13	0	10	0	19	0	0
V23	36	102	27	79	45	8	132	0	234	0	0	0	0
V24	44	0	21	20	6	5	13	104	0	0	0	14	0
V25	133	317	3	48	29	68	84	63	34	0	12	24	44
V26	6	0	5	0	3	0	5	0	1	0	0	0	7
V27	0	0	0	0	0	73	66	98	70	0	10	4	9
V28	187	0	96	62	20	85	43	74	43	54	0	0	0
V29	174	26	40	80	59	28	154	42	0	3	0	0	0
V30	0	8	4	2	7	1	0	0	0	0	0	0	0
V31	28	41	2	59	4	13	23	31	1	0	4	2	1
V32	220	160	4	84	122	0	0	0	0	0	0	18	0
V33	131	0	81	45	13	1	0	1	4	6	2	0	2
V34	5	0	0	21	51	1	0	0	0	0	0	0	2
V35	12	50	0	45	0	7	15	1	43	0	17	3	2
V36	1	8	3	0	79	25	8	0	0	11	0	0	2
V37	4	14	42	17	45	93	3	34	0	0	0	0	21
V38	8	7	14	9	42	3	0	0	0	22	0	2	0
V39	92	58	8	12	49	0	40	11	35	3	71	19	0
V40	7	54	12	45	4	0	64	0	0	0	30	0	0
V41	28	0	71	37	0	48	0	13	5	16	0	0	11
V42	55	0	0	16	0	0	27	18	18	0	7	1	6
V43	4	96	0	2	22	1	13	0	40	0	15	0	0
V44	81	0	1	0	23	5	0	2	0	0	0	15	0
V45	14	165	4	0	48	72	0	66	43	16	59	0	8
V46	10	0	89	64	0	64	7	13	0	0	0	0	17
V47	59	0	0	0	123	150	24	101	0	32	73	0	6
V48	1	67	13	104	8	92	14	27	0	0	0	69	0
V49	7	53	1	106	12	0	39	0	35	0	0	0	0
V50	325	49	0	31	0	39	13	0	0	36	8	23	18
V51	30	60	7	18	1	20	1	20	10	0	43	0	0
V52	28	3	3	0	14	29	204	0	0	0	0	12	20
V53	0	0	91	6	38	7	0	0	0	0	0	0	12
V54	45	130	224	164	89	186	0	147	23	0	0	49	17
V55	65	0	12	0	17	29	36	16	0	12	31	6	3
V56	86	0	36	43	1	0	5	0	28	0	38	0	0
V57	142	196	8	91	107	6	39	0	6	0	0	41	0
V58	70	7	84	42	18	5	5	0	23	5	10	0	0
V59	23	171	0	40	0	56	3	96	0	0	11	34	5
V60	0	24	2	29	57	26	23	28	5	0	0	23	0
V61	327	0	78	12	80	0	0	0	0	6	0	48	4
V62	0	4	29	15	36	0	129	0	0	13	0	24	0
V63	34	17	7	6	2	51	72	13	0	0	65	0	7
V64	30	5	126	59	17	43	42	0	21	0	30	0	0
V65	119	3	13	0	0	86	0	6	33	17	69	0	0
V66	0	74	0	30	22	1	68	0	0	20	9	0	0
V67	442	52	85	61	16	0	0	0	0	0	0	21	9
V68	102	0	0	0	0	0	0	43	0	0	47	3	17
V69	0	199	7	75	26	20	0	15	0	0	0	0	0
V70	17	21	62	40	8	41	27	0	49	0	7	0	0
V71	87	3	0	8	1	15	0	24	0	0	0	0	7
V72	3	14	9	16	14	0	0	0	0	0	0	0	0
V73	5	40	18	11	25	0	12	0	5	4	4	9	6
V74	0	321	44	251	45	72	0	40	0	0	0	0	13
V75	10	4	1	1	253	9	0	1	6	15	0	28	9
V76	0	0	79	26	25	1	16	49	0	28	0	0	6
V77	8	281	3	48	0	35	367	0	67	58	0	0	0
V78	0	122	38	13	123	0	23	0	66	0	0	8	0
V79	1	0	11	0	4	17	0	65	0	22	0	0	11
V80	43	24	17	26	29	8	4	0	1	6	0	2	0
V81	52	2	66	16	72	4	6	0	41	0	0	0	0
V82	0	14	10	11	7	38	120	0	86	0	22	0	0
V83	2	59	19	19	72	0	19	1	2	4	0	0	4
V84	141	37	8	99	6	0	30	0	0	11	0	13	0
V85	46	89	13	102	0	104	41	128	0	0	71	0	26
V86	17	0	65	54	20	0	0	0	8	30	0	0	1
V87	0	16	18	0	0	12	0	4	87	0	5	0	0
V88	10	0	15	16	4	0	3	0	0	17	0	0	0
V89	97	127	49	60	4	194	61	66	17	7	100	0	0
V90	1	0	3	0	31	45	0	24	0	0	0	13	3
V91	0	18	1	10	11	10	184	0	0	22	16	0	5
V92	139	6	0	27	52	95	57	0	61	13	0	13	0
V93	7	19	178	51	65	14	3	0	0	0	8	0	0
V94	9	2	27	12	1	3	3	0	0	1	0	13	3
V95	8	1	91	11	0	190	1	142	1	101	0	0	40
V96	36	9	55	26	1	7	0	0	0	23	0	0	0
V97	71	0	38	25	4	143	0	43	2	0	11	0	0
V98	102	19	0	0	6	12	0	0	2	5	2	0	1
V99	193	36	140	0	133	0	72	7	0	21	0	18	7
V100	0	0	0	0	0	67	8	118	0	0	0	14	28
