Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V1	28	22	13	61	2	11
V2	49	134	14	60	36	0
V3	56	1	128	18	8	19
V4	0	230	3	2	24	5
V5	39	356	14	20	140	6
V6	2	45	79	0	35	77
V7	10	2	223	6	149	3
V8	3	5	52	0	61	7
V9	76	8	0	46	125	84
V10	2	139	9	80	72	0
V11	18	0	452	25	9	32
V12	5	181	231	53	20	38
V13	256	62	1	156	0	1
V14	119	96	3	79	38	99
V15	300	55	151	87	3	9
V16	467	4	10	11	18	39
V17	63	157	15	142	49	6
V18	143	113	24	7	61	77
V19	19	3	0	9	22	0
V20	80	6	18	53	5	67
V21	0	236	28	26	0	25
V22	0	11	7	0	5	9
V23	0	26	6	1	30	76
V24	6	39	5	4	62	10
V25	220	50	19	0	12	1
V26	43	0	97	15	0	18
V27	18	5	4	133	123	0
V28	29	236	14	15	18	5
V29	1	26	2	126	22	13
V30	2	29	11	0	66	6
V31	54	32	15	5	0	9
V32	7	10	27	22	195	98
V33	109	32	66	208	49	17
V34	66	2	38	14	82	0
V35	39	14	5	42	8	41
V36	43	8	127	21	0	5
V37	6	3	75	59	38	13
V38	28	0	17	0	17	5
V39	0	6	85	5	21	15
V40	13	16	59	185	50	15
V41	4	1	76	6	7	4
V42	207	39	49	41	0	162
V43	3	216	6	58	3	6
V44	10	15	42	32	23	0
V45	10	15	130	1	5	94
V46	7	74	43	161	49	26
V47	221	5	86	135	52	159
V48	21	3	86	0	3	4
V49	1	0	133	33	17	14
V50	1	323	11	46	11	32
V51	133	36	0	15	86	2
V52	3	10	176	49	39	0
V53	97	26	16	4	2	3
V54	69	35	15	94	0	0
V55	6	0	205	3	90	44
V56	133	6	57	80	13	44
V57	19	4	0	40	7	0
V58	49	57	20	0	38	14
V59	9	26	100	69	95	2
V60	4	302	0	33	2	44
V61	178	10	36	357	27	9
V62	26	44	54	200	44	194
V63	265	350	20	210	14	13
V64	131	21	130	21	11	22
V65	164	13	43	56	22	21
V66	126	96	513	10	203	15
V67	16	2	12	38	15	36
V68	168	17	273	33	1	96
V69	125	24	8	95	65	26
V70	62	1	69	0	3	41
V71	0	29	3	4	0	42
V72	4	88	1	4	18	34
V73	1	48	10	17	0	188
V74	25	45	9	4	165	90
V75	7	73	111	15	43	0
V76	369	35	1	0	132	68
V77	49	5	17	179	25	24
V78	0	7	33	2	52	3
V79	13	71	3	114	110	54
V80	24	92	51	9	125	19
V81	5	771	12	0	1	11
V82	57	72	0	267	231	44
V83	171	4	71	0	157	200
V84	160	8	2	0	4	1
V85	8	11	277	15	0	23
V86	1	25	348	15	24	1
V87	2	36	6	10	8	33
V88	13	4	38	51	0	5
V89	155	61	15	16	64	1
V90	11	7	149	1	71	6
V91	14	18	13	277	0	32
V92	48	75	8	114	113	0
V93	27	1	68	46	17	1
V94	1	95	60	0	136	18
V95	53	3	5	39	9	4
V96	20	200	3	137	156	11
V97	72	20	28	162	12	7
V98	43	15	53	6	59	40
V99	164	4	22	0	80	24
V100	6	0	5	121	0	86
