De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature ID2 (100.00%), 10.14,  1.74, 0.040, 1.00, 1.00
Signature 83-B, Signature ID1 (100.00%), 6.13,  1.26, 0.063, 1.00, 1.00
Signature 83-C, Signature 83-C, 0, 0, 0, 1, 1
Signature 83-D, Signature ID9 (100.00%), 12.00,  7.71, 0.137, 1.00, 1.00
Signature 83-E, Signature ID8 (100.00%), 21.33,  11.72, 0.077, 0.99, 0.99
Signature 83-F, Signature ID2 (24.38%) & Signature ID17 (75.62%), 118.27,  54.17, 1.474, 0.84, 0.85
