MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
1:Del:C:0	4.48E-04	1.02E-03	4.00E-05	9.54E-23	3.73E-02	9.58E-03	7.38E-04	5.27E-03	1.84E-04	2.34E-04	1.86E-02	1.23E-02	5.59E-02	2.62E-02	2.73E-02	7.06E-03
1:Del:C:1	0.00E+00	0.00E+00	1.46E-03	9.14E-04	8.45E-03	5.06E-03	1.72E-03	2.71E-03	0.00E+00	2.80E-46	2.86E-02	3.01E-02	1.18E-02	3.32E-02	1.19E-02	8.84E-03
1:Del:C:2	1.99E-04	0.00E+00	1.51E-04	1.18E-04	1.15E-03	5.10E-03	0.00E+00	2.35E-07	1.61E-04	0.00E+00	2.21E-03	2.80E-03	4.00E-03	3.16E-03	2.40E-03	2.30E-04
1:Del:C:3	4.13E-04	6.94E-04	1.45E-03	1.50E-03	9.93E-04	4.92E-03	1.07E-03	1.07E-03	2.06E-03	9.71E-04	1.71E-03	4.65E-03	2.57E-03	6.86E-03	6.97E-03	5.33E-03
1:Del:C:4	2.09E-04	6.40E-04	2.23E-03	3.21E-04	2.67E-03	9.39E-04	1.05E-03	6.32E-04	5.28E-04	0.00E+00	8.37E-03	1.11E-06	8.65E-03	6.92E-03	4.94E-03	1.38E-03
1:Del:C:5	1.69E-08	2.87E-03	3.73E-04	8.56E-09	2.40E-04	4.12E-04	3.51E-07	6.16E-07	1.40E-46	1.40E-46	1.46E-03	1.28E-03	1.18E-04	1.46E-08	3.50E-03	2.79E-02
1:Del:T:0	4.52E-04	5.15E-04	4.56E-03	2.37E-03	1.21E-02	1.08E-02	0.00E+00	0.00E+00	9.06E-08	9.33E-03	3.14E-02	8.52E-03	1.95E-02	4.18E-02	2.31E-03	5.57E-03
1:Del:T:1	1.46E-04	4.84E-04	0.00E+00	9.77E-06	3.25E-03	7.58E-03	3.17E-04	2.16E-04	2.90E-03	2.36E-03	1.53E-02	3.66E-03	1.42E-02	9.16E-03	0.00E+00	2.72E-03
1:Del:T:2	5.89E-04	3.64E-04	1.51E-03	1.35E-03	8.05E-03	1.28E-28	5.32E-03	4.57E-04	0.00E+00	3.67E-05	3.46E-02	9.14E-03	2.62E-02	1.66E-02	4.50E-02	7.18E-03
1:Del:T:3	0.00E+00	3.72E-03	1.28E-04	0.00E+00	2.45E-02	3.65E-03	1.16E-03	7.89E-07	1.35E-06	1.70E-03	5.34E-02	0.00E+00	2.87E-02	1.49E-02	6.93E-03	1.57E-02
1:Del:T:4	4.95E-03	1.11E-02	3.01E-04	9.02E-04	1.12E-02	0.00E+00	1.12E-02	1.16E-03	0.00E+00	4.73E-03	2.25E-02	1.40E-46	8.62E-02	2.77E-02	2.47E-03	1.95E-02
1:Del:T:5	1.67E-07	1.07E-02	4.99E-08	1.48E-03	1.14E-07	3.48E-04	5.80E-08	4.23E-03	5.86E-07	2.82E-07	2.58E-07	2.56E-07	1.39E-06	7.89E-03	4.53E-02	8.80E-02
1:Ins:C:0	1.29E-04	1.69E-08	4.33E-08	2.40E-07	7.88E-09	1.04E-03	5.33E-08	4.71E-08	7.97E-08	1.66E-03	5.67E-07	2.04E-03	1.31E-04	1.08E-07	2.32E-04	2.61E-04
1:Ins:C:1	6.85E-06	4.20E-05	3.24E-07	6.82E-04	3.15E-04	1.14E-03	8.05E-08	9.93E-05	1.37E-04	6.18E-04	1.46E-03	1.59E-03	1.31E-04	2.47E-03	9.49E-04	1.26E-04
1:Ins:C:2	4.47E-05	6.97E-08	1.71E-04	0.00E+00	1.33E-07	9.14E-05	2.92E-04	2.09E-04	3.24E-08	3.71E-04	5.97E-04	1.10E-03	1.61E-04	1.83E-03	4.01E-04	8.97E-04
1:Ins:C:3	1.03E-03	0.00E+00	1.55E-04	1.52E-03	4.79E-04	2.68E-08	1.71E-03	8.25E-04	0.00E+00	1.32E-03	0.00E+00	4.20E-04	1.87E-04	0.00E+00	5.12E-04	4.13E-03
1:Ins:C:4	2.99E-09	4.67E-04	1.48E-04	2.35E-03	1.52E-04	5.23E-05	8.72E-03	6.04E-04	4.66E-03	2.92E-03	2.57E-04	4.70E-04	2.41E-03	0.00E+00	2.96E-03	7.93E-03
1:Ins:C:5	2.81E-04	5.76E-04	5.76E-03	1.91E-04	1.84E-08	1.31E-03	6.04E-06	2.80E-04	1.40E-46	1.15E-03	9.26E-08	1.22E-07	1.50E-02	3.77E-03	2.68E-02	1.12E-02
1:Ins:T:0	0.00E+00	6.10E-04	9.20E-04	2.21E-04	2.28E-03	2.56E-03	6.60E-04	6.47E-04	8.18E-04	5.83E-04	5.63E-03	3.76E-03	3.47E-03	7.57E-03	3.18E-03	9.68E-04
1:Ins:T:1	0.00E+00	0.00E+00	9.24E-05	9.04E-04	1.52E-03	1.25E-03	2.42E-07	1.48E-04	6.35E-04	6.23E-04	4.81E-03	3.07E-03	4.38E-03	7.80E-03	7.16E-04	6.53E-04
1:Ins:T:2	1.18E-08	6.49E-05	8.61E-05	1.54E-04	0.00E+00	2.54E-04	2.15E-03	1.47E-07	3.05E-04	0.00E+00	1.40E-03	1.09E-03	1.58E-03	8.16E-04	1.89E-04	2.40E-03
1:Ins:T:3	1.56E-04	3.35E-09	7.44E-04	8.47E-05	0.00E+00	3.68E-08	1.39E-09	2.55E-08	1.83E-07	0.00E+00	4.14E-04	2.85E-04	5.87E-04	2.78E-04	3.57E-03	4.59E-04
1:Ins:T:4	2.08E-04	7.49E-04	2.67E-03	1.24E-03	3.17E-04	1.40E-45	2.13E-08	1.62E-07	0.00E+00	1.12E-08	2.47E-03	6.97E-07	1.69E-03	6.33E-03	1.95E-02	1.11E-03
1:Ins:T:5	5.20E-04	1.14E-07	1.10E-02	6.25E-03	2.15E-03	1.62E-06	5.57E-03	1.20E-06	2.58E-07	1.88E-24	2.19E-05	6.60E-07	8.46E-02	6.84E-03	1.04E-01	6.86E-06
2:Del:R:0	2.95E-07	6.83E-08	7.83E-04	5.83E-04	3.66E-03	2.13E-03	0.00E+00	5.90E-04	1.14E-06	2.63E-03	8.98E-03	2.99E-03	2.44E-04	7.83E-03	5.42E-03	8.67E-04
2:Del:R:1	0.00E+00	7.10E-04	7.33E-04	1.84E-03	0.00E+00	2.67E-03	9.09E-04	0.00E+00	0.00E+00	2.46E-04	1.90E-03	5.47E-03	1.40E-46	4.52E-03	3.52E-03	3.13E-03
2:Del:R:2	1.19E-08	5.44E-04	6.12E-08	7.22E-05	5.65E-07	0.00E+00	2.89E-08	5.72E-08	5.63E-04	2.78E-04	8.89E-08	5.85E-04	5.16E-08	1.82E-03	2.54E-03	1.72E-03
2:Del:R:3	3.02E-08	6.67E-08	9.59E-08	2.26E-07	5.77E-08	4.24E-08	3.20E-07	4.00E-02	4.98E-06	2.00E-07	2.17E-07	1.84E-07	2.09E-07	1.01E-07	4.02E-02	2.25E-07
2:Del:R:4	1.64E-08	8.19E-05	6.65E-08	9.18E-05	5.41E-08	5.42E-09	3.51E-08	4.16E-04	7.44E-05	5.65E-09	6.40E-08	4.91E-07	2.65E-08	1.17E-07	3.14E-04	1.40E-03
2:Del:R:5	3.44E-08	2.30E-08	4.82E-08	3.45E-08	5.28E-05	1.32E-04	1.23E-04	3.46E-08	2.71E-08	4.35E-04	6.11E-04	2.45E-04	2.41E-04	3.61E-04	1.66E-07	7.79E-08
3:Del:R:0	1.86E-04	2.03E-05	2.34E-04	1.46E-03	0.00E+00	4.95E-03	3.68E-08	1.37E-08	8.16E-08	4.93E-03	1.89E-03	9.58E-03	8.96E-04	1.41E-02	4.05E-07	2.66E-04
3:Del:R:1	1.70E-04	6.41E-04	1.55E-03	4.00E-04	2.01E-03	0.00E+00	0.00E+00	0.00E+00	3.90E-04	9.35E-04	3.24E-03	9.95E-04	1.26E-02	7.05E-03	7.94E-03	1.23E-02
3:Del:R:2	4.08E-05	3.49E-04	1.88E-04	1.10E-03	5.60E-04	4.59E-04	1.57E-03	2.91E-08	0.00E+00	1.47E-08	0.00E+00	5.64E-07	1.67E-03	0.00E+00	7.27E-04	5.00E-03
3:Del:R:3	4.08E-05	2.19E-04	4.19E-08	0.00E+00	7.35E-05	0.00E+00	0.00E+00	1.69E-04	2.87E-04	1.73E-04	5.04E-04	8.42E-04	1.63E-04	1.07E-03	1.66E-03	1.04E-03
3:Del:R:4	1.06E-08	2.91E-08	1.99E-08	3.56E-08	4.47E-08	3.95E-08	8.33E-08	3.33E-08	5.87E-08	8.72E-08	1.59E-07	7.75E-08	8.20E-08	1.06E-07	1.68E-07	1.45E-07
3:Del:R:5	1.06E-08	2.91E-08	1.99E-08	3.56E-08	4.47E-08	3.95E-08	8.33E-08	3.33E-08	5.87E-08	8.72E-08	1.59E-07	7.75E-08	8.20E-08	1.06E-07	1.68E-07	1.45E-07
4:Del:R:0	0.00E+00	0.00E+00	4.31E-05	6.31E-03	0.00E+00	1.34E-03	1.97E-03	1.92E-03	1.78E-03	2.03E-04	6.64E-04	3.50E-03	3.35E-03	1.93E-04	2.68E-03	2.05E-03
4:Del:R:1	2.15E-04	7.27E-04	2.70E-08	6.30E-04	1.10E-03	3.74E-04	0.00E+00	4.34E-04	1.22E-04	7.93E-05	2.06E-03	3.43E-04	1.32E-03	2.92E-03	2.65E-03	1.25E-03
4:Del:R:2	3.50E-08	8.94E-05	1.67E-04	1.31E-08	1.40E-46	1.00E-04	2.30E-07	5.07E-08	7.47E-08	1.63E-07	4.47E-04	3.40E-06	4.30E-04	6.79E-04	4.88E-04	1.09E-04
4:Del:R:3	1.06E-08	2.91E-08	1.99E-08	3.56E-08	4.47E-08	3.95E-08	8.33E-08	3.33E-08	5.87E-08	8.72E-08	1.59E-07	7.75E-08	8.20E-08	1.06E-07	1.68E-07	1.45E-07
4:Del:R:4	1.06E-08	2.91E-08	1.99E-08	3.56E-08	4.47E-08	3.95E-08	8.33E-08	3.33E-08	5.87E-08	8.72E-08	1.59E-07	7.75E-08	8.20E-08	1.06E-07	1.68E-07	1.45E-07
4:Del:R:5	1.06E-08	2.91E-08	1.99E-08	3.56E-08	4.47E-08	3.95E-08	8.33E-08	3.33E-08	5.87E-08	8.72E-08	1.59E-07	7.75E-08	8.20E-08	1.06E-07	1.68E-07	1.45E-07
5:Del:R:0	1.61E-03	1.45E-04	2.82E-04	1.40E-02	5.42E-07	3.61E-02	5.74E-03	2.10E-07	9.20E-04	8.06E-02	3.70E-07	5.56E-02	1.38E-02	2.87E-03	7.53E-03	1.49E-02
5:Del:R:1	0.00E+00	5.72E-04	2.37E-04	9.89E-04	8.73E-05	1.36E-03	1.22E-04	5.31E-04	1.58E-04	1.26E-03	2.80E-04	0.00E+00	1.75E-03	1.88E-03	3.45E-03	7.80E-03
5:Del:R:2	3.70E-08	5.99E-05	2.34E-08	3.95E-08	1.34E-04	9.32E-05	0.00E+00	3.47E-08	1.15E-08	2.30E-08	9.82E-04	1.55E-06	1.20E-03	1.18E-03	1.34E-07	4.52E-04
5:Del:R:3	1.03E-02	8.54E-08	4.65E-08	3.76E-04	1.11E-03	3.13E-46	5.22E-02	1.70E-07	2.15E-07	4.15E-02	2.24E-03	4.09E-07	3.58E-02	1.48E-07	1.07E-04	6.56E-02
5:Del:R:4	3.07E-04	1.09E-05	0.00E+00	9.62E-04	8.75E-06	1.75E-03	8.91E-04	6.37E-04	2.75E-07	7.06E-05	8.99E-04	3.93E-04	8.04E-04	1.15E-03	1.13E-03	5.43E-04
5:Del:R:5	1.06E-08	2.91E-08	1.99E-08	3.56E-08	4.47E-08	3.95E-08	8.33E-08	3.33E-08	5.87E-08	8.72E-08	1.59E-07	7.75E-08	8.20E-08	1.06E-07	1.68E-07	1.45E-07
2:Ins:R:0	7.87E-05	1.16E-04	6.40E-05	1.63E-03	2.09E-04	1.60E-08	8.56E-05	1.46E-03	4.40E-04	0.00E+00	1.53E-03	0.00E+00	5.43E-04	0.00E+00	5.80E-04	2.22E-03
2:Ins:R:1	1.87E-04	1.99E-08	8.28E-09	1.83E-04	3.32E-04	5.46E-04	0.00E+00	0.00E+00	3.39E-04	5.18E-04	1.42E-03	8.45E-04	2.66E-03	8.73E-05	3.41E-04	9.00E-04
2:Ins:R:2	2.11E-08	1.96E-04	3.37E-04	1.70E-04	3.01E-04	4.16E-07	0.00E+00	0.00E+00	1.94E-04	3.75E-04	6.47E-04	2.09E-04	7.25E-04	1.01E-04	1.22E-03	5.70E-04
2:Ins:R:3	1.66E-07	4.38E-05	5.55E-05	3.58E-08	6.35E-08	1.84E-04	1.46E-03	4.06E-08	0.00E+00	1.15E-04	9.42E-04	7.19E-05	1.36E-03	4.38E-04	1.64E-07	5.32E-04
2:Ins:R:4	4.00E-05	2.74E-04	5.30E-04	1.16E-04	3.90E-04	6.92E-04	4.54E-04	0.00E+00	3.01E-04	7.28E-04	9.81E-04	2.69E-04	3.24E-03	0.00E+00	1.90E-03	1.38E-03
2:Ins:R:5	5.88E-08	1.06E-03	2.86E-03	9.59E-04	3.18E-04	3.17E-03	5.08E-03	4.83E-04	0.00E+00	1.40E-46	5.78E-04	2.53E-03	1.05E-03	6.70E-03	1.80E-02	2.95E-02
3:Ins:R:0	3.61E-08	4.90E-08	2.25E-04	4.36E-08	3.81E-08	1.38E-05	3.22E-04	4.57E-08	4.67E-08	3.22E-04	1.10E-07	4.24E-07	1.44E-03	1.09E-07	1.33E-04	3.04E-08
3:Ins:R:1	0.00E+00	1.58E-04	6.65E-08	3.02E-04	5.29E-05	3.16E-07	1.06E-04	2.10E-08	0.00E+00	1.26E-03	4.68E-04	2.22E-04	1.42E-03	1.91E-03	5.91E-04	6.72E-03
3:Ins:R:2	1.08E-04	6.85E-04	9.90E-08	9.91E-03	6.54E-08	1.40E-08	2.07E-06	1.72E-02	8.25E-02	1.74E-07	2.53E-07	1.85E-07	6.75E-03	1.86E-07	1.63E-02	3.07E-03
3:Ins:R:3	1.06E-08	2.91E-08	1.99E-08	3.56E-08	4.47E-08	3.95E-08	8.33E-08	3.33E-08	5.87E-08	8.72E-08	1.59E-07	7.75E-08	8.20E-08	1.06E-07	1.68E-07	1.45E-07
3:Ins:R:4	5.16E-08	1.24E-04	4.59E-05	3.62E-08	4.57E-05	5.41E-08	3.68E-08	6.82E-08	7.17E-08	6.49E-08	1.22E-07	3.79E-07	8.84E-08	2.85E-05	2.21E-04	7.03E-04
3:Ins:R:5	0.00E+00	1.85E-04	3.47E-04	0.00E+00	4.98E-08	1.11E-08	2.47E-08	3.97E-04	1.56E-04	5.83E-08	1.17E-07	1.75E-07	2.75E-04	2.65E-08	4.87E-04	3.55E-03
4:Ins:R:0	3.18E-07	4.39E-09	1.55E-04	0.00E+00	0.00E+00	4.66E-04	5.06E-04	2.85E-08	8.05E-05	5.49E-07	3.33E-04	1.87E-04	1.41E-03	1.39E-07	3.39E-04	1.55E-10
4:Ins:R:1	1.07E-04	1.65E-04	1.76E-04	1.57E-04	0.00E+00	2.43E-04	7.16E-05	0.00E+00	0.00E+00	1.84E-05	5.07E-04	8.73E-04	0.00E+00	2.26E-04	8.10E-04	1.85E-03
4:Ins:R:2	4.62E-08	3.35E-08	4.66E-05	4.33E-08	5.29E-08	3.82E-08	8.41E-08	4.80E-08	7.39E-08	2.58E-07	1.89E-07	1.09E-07	1.05E-07	1.11E-07	2.59E-04	1.11E-07
4:Ins:R:3	2.33E-08	4.55E-08	5.18E-08	3.95E-08	4.91E-08	6.91E-05	2.35E-04	5.67E-08	5.67E-08	1.13E-07	1.92E-07	3.75E-05	1.26E-04	1.45E-07	6.35E-08	1.30E-07
4:Ins:R:4	2.09E-08	7.04E-05	3.63E-08	1.26E-04	4.00E-07	5.02E-04	9.79E-10	8.14E-08	8.38E-08	0.00E+00	1.95E-07	1.84E-08	1.29E-07	6.97E-08	5.33E-04	9.75E-04
