Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V1	1.11E+01	3.54E+00	3.50E+00	2.29E+00	3.97E+00	8.16E+00	3.86E+00	7.59E+00	2.29E+01
V2	3.62E+00	1.58E+00	5.26E+00	1.48E+01	1.07E+00	1.77E+00	5.65E+00	2.81E+00	1.82E+01
V3	2.18E+01	6.57E-01	0.00E+00	4.99E-01	1.42E+01	9.21E-01	1.65E+01	3.91E+00	2.15E+01
V4	4.15E+00	2.31E+00	0.00E+00	5.52E+00	2.20E+01	0.00E+00	2.32E+01	2.40E+00	3.98E+00
V5	1.19E+00	2.96E+00	1.09E+00	1.89E+00	6.25E+00	4.01E-01	7.49E+00	3.24E+00	1.93E+00
V6	2.40E+01	3.43E+00	4.48E+00	1.03E+01	4.83E+01	1.07E+00	4.39E+01	9.93E+00	1.76E+01
V7	1.07E+00	5.63E-01	1.93E+00	3.06E-01	1.58E+00	3.16E+00	9.00E-01	1.09E+00	2.79E+00
V8	3.84E+00	2.14E+00	4.68E+00	2.17E+01	3.25E+00	3.51E+00	2.31E+01	7.05E+00	9.37E+00
V9	5.10E+00	1.98E+00	3.94E-01	2.82E+00	2.79E+00	0.00E+00	3.58E+00	7.61E-01	5.49E+00
V10	2.01E+00	7.86E-01	1.85E+00	3.77E+00	6.74E+00	5.17E+00	4.64E+00	8.09E+00	5.06E+00
V11	3.56E+00	1.50E+00	6.87E-01	2.42E+00	1.15E+00	1.00E+00	1.65E+00	8.00E-01	3.62E+00
V12	7.92E-01	1.80E+00	4.09E+00	3.29E+00	1.37E+01	3.32E+00	1.22E+01	5.29E+00	1.61E+00
V13	5.99E+01	3.86E+00	3.60E+00	8.19E-01	2.12E+00	1.48E+00	1.59E+00	7.10E+00	6.24E+01
V14	1.47E+01	4.58E+00	1.25E+00	2.62E+00	3.00E-01	8.95E-01	2.86E+00	2.04E+00	1.23E+01
V15	7.77E-01	2.81E+00	3.53E+00	2.31E+00	5.79E+00	5.64E+00	6.65E+00	7.19E+00	2.66E+00
V16	2.60E+01	2.53E+00	8.94E-01	0.00E+00	0.00E+00	1.45E+00	2.35E+00	3.47E+00	2.52E+01
V17	5.10E+00	1.33E-01	4.09E+00	1.31E+00	3.92E+00	1.00E+01	4.25E+00	1.05E+01	1.10E+01
V18	1.77E+00	1.98E+00	5.13E+00	5.27E+00	3.58E+00	9.13E+00	3.67E+00	6.76E+00	8.62E+00
V19	3.07E-01	4.85E+00	3.00E+00	6.36E+00	6.40E-01	7.52E-01	7.11E+00	1.32E+00	1.76E+00
V20	1.76E+01	3.83E+00	1.57E+00	2.04E+00	3.60E+00	2.13E+00	4.25E+00	2.39E+00	1.62E+01
V21	1.92E+00	1.65E+00	2.27E+00	7.92E-01	3.40E+00	0.00E+00	3.40E+00	1.92E+00	1.59E+00
V22	1.39E+00	0.00E+00	2.32E+00	0.00E+00	1.85E+01	6.80E-01	1.88E+01	2.94E+00	1.00E+00
V23	1.84E+01	1.94E+00	1.48E+00	1.37E+00	0.00E+00	0.00E+00	3.96E-01	5.57E+00	1.91E+01
V24	1.51E+01	8.46E-01	3.78E+00	3.47E+00	1.90E+01	2.79E+00	1.89E+01	8.07E+00	1.56E+01
V25	3.23E+00	3.71E-01	4.60E+00	2.18E+00	1.26E+01	3.10E+00	1.24E+01	5.76E+00	6.02E+00
V26	4.82E-01	6.11E-01	2.44E+00	4.26E+00	3.36E+00	0.00E+00	1.82E+00	8.00E-01	5.10E+00
V27	0.00E+00	3.52E+00	4.21E+00	4.84E+00	0.00E+00	3.07E+00	4.56E+00	6.68E+00	5.64E+00
V28	3.01E+00	1.19E+00	1.39E+00	0.00E+00	2.08E+00	3.28E+00	2.97E+00	4.40E+00	4.21E+00
V29	5.08E+00	3.55E+00	1.10E+00	1.02E+00	2.01E+00	2.59E+00	1.22E+00	1.62E+00	4.18E+00
V30	2.36E+01	3.70E+00	2.18E+00	4.19E+00	6.29E-01	3.15E+00	1.91E+00	2.54E+00	2.30E+01
V31	5.46E+00	3.27E+00	2.60E+00	7.61E-01	0.00E+00	5.19E+00	2.09E+00	2.89E+00	6.51E+00
V32	8.05E+00	3.15E+00	5.45E+00	5.81E-01	3.46E+00	0.00E+00	3.40E+00	8.45E+00	7.37E+00
V33	1.74E+00	1.33E+00	3.55E+00	3.65E-01	2.70E+00	1.08E+00	3.39E+00	3.41E+00	2.23E+00
V34	4.33E-01	7.57E-01	1.42E+00	3.33E+00	3.30E+00	5.47E-01	4.07E+00	1.72E+00	3.11E+00
V35	3.48E+00	1.50E+00	3.79E+00	2.47E+00	3.00E-01	4.67E+00	1.65E+00	3.57E+00	5.87E+00
V36	1.85E+00	2.21E-01	6.29E+00	1.36E+00	2.98E+00	1.42E+01	4.20E+00	8.90E+00	3.51E+00
V37	4.67E-01	4.99E-01	1.94E+00	7.33E-01	3.38E+00	2.53E+00	2.27E+00	1.19E+00	1.78E+00
V38	6.79E+00	1.48E+00	3.07E+00	7.20E+00	7.63E+00	8.60E+00	9.98E+00	6.12E+00	1.03E+01
V39	3.00E-01	3.33E-01	3.16E+00	7.09E+00	4.73E-01	2.53E+00	6.74E-01	4.18E+00	7.58E+00
V40	2.03E+01	7.00E-01	3.65E+00	5.96E-01	1.50E+01	7.34E+00	1.90E+01	8.56E+00	2.21E+01
V41	1.20E+00	8.31E-01	1.86E+00	9.95E+00	1.92E+00	1.33E+00	9.76E+00	8.14E-01	9.22E+00
V42	7.57E-01	0.00E+00	1.66E+00	3.12E+00	1.88E+00	1.28E+00	1.46E+00	4.00E-01	3.38E+00
V43	6.60E+00	1.75E+00	4.83E+00	9.61E+00	4.02E+00	7.27E+00	3.63E+00	4.38E+00	1.31E+01
