NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	122.949	22.681	24.896	14.223	0.095	0.985	120000.0
2	127.639	23.389	26.333	14.501	0.098	0.984	80000.0
3	126.629	23.158	25.887	14.471	0.094	0.984	60000.0
4	126.706	23.107	26.003	14.39	0.096	0.985	70000.0
5	126.665	23.054	25.996	14.233	0.096	0.985	110000.0
6	122.444	23.183	24.787	14.592	0.099	0.983	40000.0
7	127.139	23.076	25.93	14.278	0.097	0.985	120000.0
8	128.568	23.576	26.427	14.758	0.098	0.984	50000.0
9	127.765	23.59	26.152	14.721	0.1	0.983	60000.0
10	126.832	23.147	25.977	14.336	0.097	0.984	80000.0
