MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	5.36E-04	2.42E-07	6.31E-03	1.51E-02	3.31E-04	2.78E-02	1.91E-03	2.02E-02	4.11E-02	2.78E-02	5.24E-03
1:Del:C:1	3.40E-04	1.52E-04	7.11E-03	8.89E-03	1.45E-03	4.93E-03	2.78E-04	9.58E-03	9.94E-03	2.14E-02	1.56E-02
1:Del:C:2	3.14E-09	3.30E-04	1.44E-03	1.20E-03	1.16E-04	2.47E-03	4.21E-05	7.77E-04	1.13E-03	1.15E-03	5.39E-04
1:Del:C:3	6.14E-04	1.49E-03	5.67E-04	9.80E-04	4.39E-04	4.33E-03	2.48E-04	1.60E-03	1.48E-03	5.20E-03	3.57E-03
1:Del:C:4	2.53E-04	5.66E-04	3.82E-04	3.91E-03	3.15E-05	1.09E-03	8.07E-05	3.80E-03	1.03E-03	1.32E-03	2.63E-03
1:Del:C:5	5.10E-04	1.52E-03	3.07E-04	4.15E-04	0.00E+00	2.97E-03	2.62E-04	2.00E-04	1.34E-03	1.68E-03	5.84E-03
1:Del:T:0	1.52E-04	1.41E-03	6.39E-03	1.31E-02	9.77E-05	9.83E-03	1.24E-03	9.38E-03	9.45E-03	9.01E-03	1.13E-02
1:Del:T:1	4.80E-05	6.09E-04	2.43E-03	3.01E-03	9.09E-09	9.62E-03	7.47E-05	8.79E-03	2.52E-03	1.65E-04	2.62E-03
1:Del:T:2	6.20E-04	2.82E-03	6.66E-04	6.25E-03	6.06E-04	6.85E-03	8.16E-04	1.28E-02	1.88E-03	9.69E-03	2.90E-02
1:Del:T:3	2.01E-03	4.78E-03	2.44E-03	6.82E-03	0.00E+00	1.94E-02	7.60E-04	1.52E-02	3.13E-03	1.78E-03	1.06E-02
1:Del:T:4	1.06E-03	2.97E-03	0.00E+00	5.58E-03	3.01E-04	4.72E-03	1.21E-08	1.45E-02	0.00E+00	4.80E-03	1.66E-02
1:Del:T:5	6.06E-22	9.53E-03	4.04E-03	7.68E-08	3.85E-07	7.21E-03	6.95E-08	1.42E-02	1.12E-02	2.56E-02	1.10E-01
1:Ins:C:0	3.35E-08	2.90E-07	1.03E-03	5.17E-04	1.07E-07	1.74E-07	2.24E-08	8.22E-04	1.41E-03	1.26E-03	2.43E-05
1:Ins:C:1	2.54E-08	3.55E-05	8.81E-04	4.68E-04	1.62E-08	8.37E-08	1.12E-04	6.46E-08	1.37E-03	2.30E-04	3.78E-04
1:Ins:C:2	1.39E-08	1.16E-04	5.41E-04	1.11E-04	3.03E-08	9.07E-09	1.63E-06	3.44E-04	1.06E-03	1.02E-03	5.93E-04
1:Ins:C:3	1.85E-04	4.53E-08	6.03E-05	3.21E-08	8.39E-05	5.83E-08	1.46E-08	8.41E-07	5.31E-04	4.24E-04	9.85E-08
1:Ins:C:4	6.80E-04	3.73E-04	4.44E-05	1.87E-04	1.38E-04	4.90E-04	0.00E+00	7.55E-04	6.23E-04	1.38E-03	1.95E-03
1:Ins:C:5	1.22E-03	8.86E-04	4.94E-04	8.72E-04	7.79E-05	0.00E+00	2.79E-04	1.43E-03	1.52E-03	2.05E-03	3.22E-03
1:Ins:T:0	5.28E-04	9.42E-04	6.00E-04	3.45E-03	1.44E-02	0.00E+00	5.25E-04	6.59E-03	2.31E-02	3.36E-02	2.98E-03
1:Ins:T:1	3.12E-06	5.65E-05	1.01E-03	5.61E-03	1.70E-08	2.85E-03	1.91E-04	6.25E-03	1.16E-03	2.25E-03	1.30E-03
1:Ins:T:2	6.31E-04	3.84E-08	2.11E-04	6.15E-04	6.97E-04	5.73E-02	3.19E-02	6.53E-07	4.17E-03	3.42E-02	1.51E-02
1:Ins:T:3	4.37E-04	4.03E-04	1.21E-04	6.93E-04	4.87E-04	2.36E-04	2.82E-04	1.29E-03	1.87E-03	6.99E-04	1.03E-03
1:Ins:T:4	2.42E-03	1.26E-03	7.79E-05	3.38E-04	2.62E-04	5.33E-08	0.00E+00	2.20E-03	9.34E-04	5.09E-03	4.27E-03
1:Ins:T:5	9.48E-03	1.48E-08	5.82E-03	4.56E-04	4.81E-04	2.43E-03	5.73E-04	1.57E-02	4.69E-03	1.00E-01	2.65E-02
2:Del:R:0	5.60E-04	0.00E+00	1.21E-03	4.57E-03	2.70E-09	7.70E-03	0.00E+00	6.11E-03	2.44E-03	4.44E-03	4.14E-03
2:Del:R:1	2.19E-04	4.23E-04	7.91E-04	1.60E-03	7.40E-05	2.37E-03	3.06E-04	5.07E-03	1.63E-03	2.16E-03	2.74E-03
2:Del:R:2	2.93E-04	7.64E-04	2.44E-04	9.94E-04	1.87E-04	9.98E-04	0.00E+00	1.89E-03	9.37E-04	4.39E-04	0.00E+00
