Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V1	0	90	153	23	0	25	0	30	5	2	0	0
V2	108	6	10	15	6	0	16	0	22	13	19	0
V3	15	68	0	15	36	38	5	5	27	19	16	21
V4	593	4	0	0	10	0	237	19	0	8	0	0
V5	187	221	0	12	5	36	121	50	3	2	8	0
V6	13	6	152	0	1	42	7	35	0	2	2	0
V7	1	68	35	0	1	42	1	7	0	2	0	81
V8	0	49	0	73	48	0	3	0	81	48	0	0
V9	24	11	23	25	65	2	8	25	2	18	0	7
V10	58	0	95	0	9	17	29	27	0	1	2	5
V11	39	5	22	6	0	109	0	143	0	2	0	0
V12	0	4	27	63	0	4	0	13	69	11	44	0
V13	214	75	5	0	1	3	34	11	0	5	4	0
V14	32	16	0	36	30	0	1	0	23	45	30	0
V15	0	3	2	2	0	22	0	12	7	0	3	0
V16	105	0	5	18	0	23	4	0	19	3	43	0
V17	5	1	28	52	108	10	7	21	17	96	0	4
V18	1	0	0	0	22	2	1	6	0	0	10	1
V19	26	4	59	45	23	4	2	3	5	0	0	0
V20	1	37	139	120	25	13	4	0	37	19	25	24
V21	0	119	10	50	155	21	0	7	37	50	0	12
V22	114	40	48	8	0	26	35	66	4	17	13	41
V23	36	2	239	149	103	0	18	0	28	4	26	0
V24	2	11	18	4	0	33	1	16	4	0	0	45
V25	11	43	54	92	44	99	2	18	51	6	28	0
V26	14	37	36	9	59	45	11	22	12	0	29	0
V27	20	98	1	36	0	0	28	0	28	0	35	0
V28	58	3	42	21	0	0	2	0	1	1	4	0
V29	0	0	125	37	171	165	4	48	32	0	9	15
V30	13	17	28	72	21	9	4	3	311	15	49	0
V31	63	13	5	21	0	1	14	0	4	0	0	0
V32	4	0	121	2	0	56	3	8	0	0	1	0
V33	116	22	16	20	48	0	16	0	14	21	70	0
V34	24	123	0	85	0	0	41	0	52	9	14	0
V35	124	39	0	293	104	0	81	0	24	55	122	0
V36	0	0	28	5	0	7	0	9	1	8	2	5
V37	0	265	160	19	61	14	7	9	5	74	11	62
V38	0	54	0	12	5	21	0	20	0	0	0	39
V39	2	0	135	1	22	9	0	5	0	19	2	0
V40	7	71	29	0	22	45	1	26	0	22	0	0
V41	117	20	7	54	6	0	173	0	20	34	0	0
V42	4	2	24	0	4	55	7	37	0	7	0	0
V43	1	3	15	0	35	5	1	17	2	28	0	9
V44	25	10	60	24	30	11	11	33	25	0	15	0
V45	76	32	4	15	180	27	26	0	1	20	7	2
V46	13	3	32	28	89	6	8	0	16	48	10	2
V47	64	0	44	0	40	24	61	40	0	36	12	3
V48	37	0	59	42	53	0	45	6	24	63	14	4
V49	58	0	183	4	0	124	23	82	9	2	24	2
V50	119	8	21	0	107	17	26	39	0	89	6	63
V51	0	115	23	4	10	27	1	86	0	0	6	42
V52	24	84	25	41	0	17	6	28	12	2	29	14
V53	155	10	2	1	14	0	15	5	0	14	0	4
V54	7	2	26	16	12	8	0	0	15	0	7	0
V55	12	387	3	17	0	0	12	40	22	2	1	0
V56	28	106	7	27	2	20	97	64	30	0	0	47
V57	11	12	0	70	55	0	5	0	24	6	0	0
V58	38	219	31	282	4	0	12	17	53	0	0	0
V59	5	11	85	20	0	17	2	2	4	0	8	0
V60	86	96	12	18	0	176	21	71	8	4	34	13
V61	2	57	123	155	0	17	0	35	49	0	0	20
V62	1	21	7	18	0	4	3	7	5	3	5	0
V63	155	18	0	153	0	83	62	33	139	5	19	16
V64	1	49	9	0	76	33	6	21	0	12	0	14
V65	154	89	0	74	54	86	49	39	10	78	0	0
V66	0	0	124	2	2	0	0	7	0	1	0	0
V67	5	8	7	0	186	69	5	126	0	37	0	0
V68	28	2	34	69	0	0	5	0	35	0	9	0
V69	6	403	0	133	63	49	7	2	57	36	0	68
V70	60	28	0	10	1	7	13	11	5	0	2	0
V71	12	11	0	38	29	3	9	0	0	24	0	0
V72	16	2	0	6	10	36	10	27	0	14	0	0
V73	31	18	34	33	0	195	21	46	2	14	3	0
V74	89	72	3	15	6	2	69	2	1	7	6	0
V75	23	66	21	23	3	0	27	0	9	13	33	0
V76	68	9	10	0	41	10	53	0	0	10	0	0
V77	69	0	0	13	18	36	106	28	6	16	22	0
V78	50	0	73	28	50	0	29	7	10	29	1	3
V79	250	10	0	50	35	67	11	0	3	60	29	0
V80	5	91	5	60	5	0	0	0	32	0	31	0
V81	2	22	105	179	8	43	0	36	21	1	84	0
V82	0	4	98	12	33	14	2	14	7	29	2	0
V83	9	0	5	15	5	46	0	38	13	2	0	3
V84	0	36	0	4	0	10	0	13	8	0	19	0
V85	128	20	0	1	2	38	267	31	0	11	0	0
V86	0	1	4	63	0	0	1	0	35	0	7	0
V87	55	126	2	0	2	1	2	0	0	2	0	8
V88	7	0	15	48	0	5	21	11	17	0	13	8
V89	5	42	198	46	43	13	0	4	48	5	0	1
V90	13	47	45	0	4	145	4	104	0	3	0	0
V91	10	0	122	12	40	83	4	0	19	11	14	23
V92	89	27	45	8	0	4	31	0	0	23	3	1
V93	34	2	0	46	49	33	2	0	0	77	0	0
V94	55	0	12	0	13	1	9	1	0	1	0	0
V95	3	2	0	19	108	11	3	11	2	71	0	0
V96	39	55	148	2	0	0	4	4	0	0	2	0
V97	15	6	1	5	31	128	10	47	0	6	20	110
V98	11	77	65	0	1	9	2	7	0	1	0	5
V99	14	124	106	17	47	23	3	23	1	0	0	19
V100	0	83	29	115	12	1	0	0	7	17	10	0
