Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
V1	14	1	9	9	33	0	8	8	22	0	0	0	0
V2	186	17	60	5	6	3	12	27	10	0	0	0	0
V3	26	55	0	3	31	50	11	14	4	0	3	40	0
V4	29	0	10	3	18	0	29	27	33	0	28	0	0
V5	0	319	3	0	28	15	6	2	0	11	23	36	0
V6	0	3	115	0	0	3	4	15	0	0	0	0	0
V7	55	211	47	17	25	15	12	0	10	0	0	42	0
V8	26	52	10	5	2	0	16	37	0	0	5	11	0
V9	261	0	34	4	72	83	0	0	2	0	19	5	4
V10	37	89	129	10	3	0	1	0	2	0	0	15	6
V11	86	6	0	36	40	3	5	11	0	0	12	6	31
V12	13	117	237	3	2	0	7	8	0	0	0	7	0
V13	54	3	0	31	64	5	5	3	17	2	29	4	0
V14	17	52	1	50	37	27	100	25	0	0	0	0	0
V15	66	0	58	8	5	8	9	7	0	0	42	7	42
V16	54	13	110	10	0	0	1	3	0	2	0	0	36
V17	49	24	24	0	13	0	2	8	0	35	0	23	11
V18	8	22	13	17	53	24	0	1	0	12	0	1	8
V19	10	18	10	5	10	0	133	45	66	0	9	0	0
V20	29	0	2	1	34	25	0	0	0	0	43	10	0
V21	7	85	240	60	20	52	0	3	0	186	0	0	0
V22	9	138	39	37	0	1	7	15	5	21	0	9	0
V23	127	102	11	12	78	249	10	8	5	17	0	0	0
V24	102	355	91	10	127	0	108	86	136	0	56	0	0
V25	32	224	78	3	18	0	50	25	80	3	0	7	0
V26	533	23	0	9	5	0	35	31	42	17	15	2	0
V27	0	142	55	0	3	0	67	22	62	0	0	0	0
V28	2	43	25	5	14	0	19	59	79	11	16	7	0
V29	34	0	184	26	24	41	1	0	0	30	7	25	0
V30	22	1	162	30	0	0	15	20	87	3	0	0	0
V31	47	32	18	0	3	7	1	1	18	0	0	4	0
V32	62	10	11	28	0	47	24	37	20	0	93	0	0
V33	0	29	4	18	9	0	0	1	2	1	0	2	2
V34	0	55	4	18	3	0	7	3	1	0	0	0	8
V35	41	108	4	0	2	0	11	0	11	0	2	15	10
V36	0	32	17	0	42	0	1	5	62	0	0	0	0
V37	70	31	2	51	7	3	0	1	0	0	0	12	23
V38	218	14	15	3	1	4	1	3	0	0	0	9	0
V39	72	323	70	35	11	24	2	7	0	4	0	5	16
V40	68	51	0	84	0	88	17	0	16	89	14	40	0
V41	11	46	7	68	1	1	4	8	0	15	0	3	7
V42	79	14	5	4	27	17	3	24	10	1	2	9	26
V43	50	13	51	174	15	7	0	3	0	0	0	5	11
V44	28	101	8	34	78	37	0	16	0	16	57	22	0
V45	47	277	53	2	46	21	14	24	19	0	23	0	0
V46	65	6	223	4	5	3	10	12	35	0	13	5	0
V47	244	154	0	0	0	8	4	2	2	1	0	36	0
V48	19	1	33	41	33	18	35	9	5	0	12	0	0
V49	3	26	15	0	34	47	52	17	46	0	0	9	0
V50	1	374	3	6	38	36	2	0	3	9	0	20	0
V51	2	12	23	25	24	17	9	0	0	5	7	28	0
V52	1	65	0	10	2	10	0	2	0	7	0	8	0
V53	0	0	36	80	11	0	60	77	18	37	0	0	0
V54	0	84	2	1	11	4	26	0	24	0	0	18	0
V55	330	8	96	2	10	0	21	1	0	3	3	0	0
V56	24	28	8	43	161	42	14	52	0	34	0	0	6
V57	161	1	140	7	0	0	1	0	0	11	0	10	9
V58	29	13	39	10	144	65	3	0	0	6	102	0	0
V59	0	17	18	70	2	0	4	6	0	0	0	0	0
V60	30	75	34	3	9	17	0	0	0	0	2	10	0
V61	21	3	51	5	12	4	1	1	4	8	8	0	0
V62	0	221	55	4	11	11	0	0	0	2	13	12	0
V63	12	7	0	25	102	75	0	7	0	0	0	3	0
V64	49	48	7	0	11	0	38	30	76	0	12	0	25
V65	34	71	14	61	1	11	11	6	27	0	0	5	26
V66	79	0	27	14	7	0	1	1	1	2	5	20	44
V67	220	23	2	9	52	46	1	1	4	0	0	2	11
V68	60	4	32	13	0	5	9	6	0	0	0	2	5
V69	28	0	114	5	4	3	17	19	0	6	0	0	0
V70	332	0	8	135	17	7	13	8	10	109	0	0	0
V71	7	0	5	13	9	2	27	24	22	9	1	0	0
V72	34	5	2	57	0	0	0	0	0	28	0	0	5
V73	0	154	7	0	15	8	2	15	17	0	12	0	0
V74	33	46	61	44	0	2	3	0	0	32	0	0	10
V75	57	5	35	26	32	2	0	0	0	32	26	7	0
V76	5	99	7	0	21	49	5	2	1	0	24	9	6
V77	96	79	112	53	17	20	1	1	2	0	0	0	5
V78	42	36	8	98	10	46	15	28	88	70	33	0	0
V79	6	1	465	85	18	6	23	6	8	3	7	0	0
V80	157	82	3	8	3	4	164	77	15	8	1	0	81
V81	3	11	176	91	7	22	17	1	3	0	0	0	0
V82	198	75	42	1	7	9	0	0	0	0	0	23	0
V83	6	36	56	711	0	0	21	16	0	104	0	0	0
V84	10	175	125	16	59	7	16	9	4	23	7	26	0
V85	5	39	22	6	9	0	0	0	1	22	14	4	0
V86	7	75	91	2	4	0	0	0	0	0	0	4	31
V87	6	19	71	0	19	1	5	19	26	0	4	0	0
V88	228	61	11	3	6	7	5	17	25	0	0	16	0
V89	0	7	77	1	25	20	7	5	4	0	13	9	0
V90	1	2	32	4	43	16	24	101	0	0	7	10	0
V91	82	0	50	5	2	0	7	42	12	10	0	0	5
V92	117	1	1	8	0	0	5	5	0	0	3	0	3
V93	1	5	7	37	46	36	0	3	7	30	20	10	0
V94	8	229	9	324	3	0	1	0	0	0	0	6	67
V95	452	9	14	46	3	0	7	2	0	0	0	20	121
V96	32	6	11	0	10	20	5	4	4	3	16	8	0
V97	144	10	0	50	2	1	0	0	0	0	16	4	0
V98	5	20	3	31	27	10	11	104	54	29	85	15	0
V99	4	38	43	2	0	0	1	35	18	0	0	3	0
V100	12	254	0	0	13	10	3	2	0	0	0	13	15
