Samples	ID83A	ID83B	ID83C	ID83D
V1	4.59E+01	4.67E+01	2.82E+01	2.27E+01
V2	3.96E+00	1.11E+00	3.64E+00	4.02E+00
V3	3.78E+00	5.10E+00	9.44E+00	5.40E+00
V4	1.78E+01	3.89E-01	3.03E+01	1.68E+01
V5	1.31E+01	1.57E+00	8.73E+00	5.46E+00
V6	2.44E+01	2.38E+01	5.82E+00	1.94E+01
V7	9.69E+00	8.16E+00	3.25E+00	9.17E+00
V8	2.89E+01	3.00E+01	6.43E+00	1.08E+01
V9	4.05E+01	3.74E+01	1.51E+01	4.95E+00
V10	1.17E+01	1.10E+01	1.89E+00	9.36E-01
V11	2.54E+00	2.67E+00	1.19E+01	1.07E+01
V12	1.44E+00	2.98E-01	7.63E+00	7.30E+00
V13	8.93E+00	1.28E+00	5.84E+00	5.57E+00
V14	2.60E-01	7.48E-01	5.31E+00	5.29E+00
V15	1.30E+01	1.56E+01	5.01E+00	9.91E+00
V16	1.04E+00	2.12E+00	4.16E+00	3.87E+00
V17	9.01E+00	7.86E+00	4.09E+00	9.64E-01
V18	1.11E+01	1.13E+00	6.39E+00	9.20E+00
V19	1.92E+01	1.91E+01	3.68E+00	3.45E+00
V20	4.77E+01	9.45E-01	2.74E+01	3.86E+01
V21	1.68E+00	1.48E+00	4.33E+01	4.34E+01
V22	3.60E+00	1.94E+00	2.17E+01	2.23E+01
V23	3.68E+01	1.04E+00	2.31E+01	3.04E+01
V24	1.01E+01	4.46E+00	6.54E+00	8.69E+00
V25	4.39E+00	4.67E+00	7.35E+00	6.58E+00
V26	5.24E+00	4.17E+00	1.03E+01	8.23E+00
V27	9.12E-01	9.57E-01	2.34E+01	2.35E+01
V28	6.46E+00	5.87E+00	2.71E+00	2.69E+00
V29	1.70E+00	0.00E+00	3.91E+01	3.87E+01
V30	1.78E+01	1.68E+00	1.48E+01	4.55E+00
V31	6.75E+00	4.43E+00	4.43E+00	4.95E+00
V32	1.95E+01	1.49E+00	1.25E+01	1.45E+01
V33	5.98E+01	6.14E+01	1.24E+01	6.99E+00
V34	1.42E+01	1.24E+01	1.41E+01	1.44E+01
V35	5.67E+00	1.45E+00	1.09E+01	5.87E+00
V36	3.28E+00	2.58E+00	2.69E+01	2.76E+01
V37	1.19E+01	5.39E+00	5.79E+00	7.64E+00
V38	2.37E+01	4.54E+00	1.50E+01	2.11E+01
V39	6.53E+00	5.05E+00	2.05E+00	1.93E+00
V40	4.15E+00	1.28E+00	7.27E+00	4.37E+00
V41	1.11E+01	2.47E+00	7.59E+00	5.32E+00
V42	2.43E+01	4.85E+00	1.16E+01	2.08E+01
V43	1.89E+01	1.54E+01	1.23E+01	2.12E+01
V44	2.50E+01	3.27E+00	1.47E+01	1.80E+01
V45	2.04E+00	1.95E+00	3.88E+00	3.02E+00
V46	1.30E+01	1.14E+01	3.64E+00	0.00E+00
V47	1.53E+01	6.76E+00	9.47E+00	1.37E+01
