Samples	ID83A	ID83B	ID83C	ID83D
V1	499	7	37	203
V2	13	14	50	2
V3	0	356	88	0
V4	32	2	43	342
V5	36	21	107	76
V6	373	20	17	0
V7	130	46	15	0
V8	425	32	12	12
V9	396	235	99	0
V10	67	326	8	0
V11	11	47	1	115
V12	2	1	50	67
V13	38	7	43	50
V14	0	6	35	40
V15	191	3	97	0
V16	0	49	0	37
V17	78	47	72	0
V18	32	83	2	16
V19	194	75	33	0
V20	237	12	54	162
V21	0	25	163	357
V22	9	4	2	179
V23	170	8	57	67
V24	155	4	27	25
V25	36	0	0	53
V26	45	90	15	85
V27	0	3	0	181
V28	99	0	12	14
V29	0	0	23	301
V30	55	29	147	155
V31	77	84	14	13
V32	127	8	8	54
V33	604	3	0	84
V34	108	8	15	114
V35	33	18	15	106
V36	12	2	2	233
V37	113	101	0	49
V38	127	171	23	20
V39	53	6	72	0
V40	27	4	92	67
V41	34	40	18	70
V42	77	179	26	64
V43	313	84	107	9
V44	112	61	108	107
V45	16	19	16	34
V46	94	0	39	0
V47	139	147	50	60
V48	114	0	7	72
V49	0	673	38	26
V50	0	84	0	0
V51	89	25	77	0
V52	123	12	7	107
V53	0	181	0	62
V54	0	14	184	185
V55	45	362	0	29
V56	0	10	255	0
V57	221	42	58	8
V58	0	60	115	109
V59	225	10	0	36
V60	21	72	2	230
V61	149	4	100	16
V62	63	115	68	15
V63	69	67	78	9
V64	143	81	0	0
V65	7	1	422	0
V66	35	7	271	0
V67	63	3	228	0
V68	18	49	1	99
V69	200	102	92	0
V70	0	68	175	0
V71	320	16	21	40
V72	0	177	0	36
V73	34	23	109	75
V74	112	70	21	25
V75	26	124	95	0
V76	159	44	1	0
V77	36	103	2	34
V78	32	14	23	0
V79	273	54	56	0
V80	37	4	42	15
V81	53	143	3	76
V82	54	9	4	3
V83	0	52	5	77
V84	163	75	0	76
V85	28	347	44	15
V86	94	98	332	53
V87	147	102	189	0
V88	116	7	38	184
V89	27	46	3	72
V90	292	47	0	1
V91	100	21	5	0
V92	107	191	0	23
V93	340	2	0	28
V94	32	99	24	0
V95	0	45	213	146
V96	59	93	135	0
V97	187	37	0	16
V98	185	14	94	45
V99	19	0	237	0
V100	131	6	78	53
