Samples	ID83A	ID83B
V1	237	331
V2	0	373
V3	177	172
V4	265	25
V5	197	164
V6	63	42
V7	303	332
V8	124	35
V9	4	68
V10	289	0
V11	357	0
V12	94	48
V13	15	78
V14	488	0
V15	35	91
V16	257	84
V17	45	84
V18	99	61
V19	256	1
V20	329	130
V21	394	170
V22	194	107
V23	44	152
V24	60	319
V25	164	174
V26	92	0
V27	119	72
V28	0	155
V29	242	0
V30	408	49
V31	148	31
V32	163	87
V33	372	0
V34	263	87
V35	158	0
V36	191	95
V37	12	208
V38	219	42
V39	138	20
V40	224	27
V41	127	27
V42	106	24
V43	75	46
V44	112	14
V45	286	0
V46	446	36
V47	21	62
V48	189	97
V49	126	25
V50	297	21
V51	49	95
V52	37	150
V53	83	188
V54	158	253
V55	161	179
V56	55	32
V57	784	0
V58	151	149
V59	117	27
V60	302	192
V61	105	43
V62	422	21
V63	84	230
V64	68	3
V65	174	54
V66	143	11
V67	97	23
V68	0	393
V69	218	64
V70	0	125
V71	63	0
V72	243	22
V73	451	11
V74	105	267
V75	279	48
V76	0	140
V77	870	20
V78	0	642
V79	24	186
V80	91	13
V81	359	0
V82	136	50
V83	152	45
V84	0	43
V85	0	224
V86	257	23
V87	0	543
V88	235	15
V89	218	0
V90	123	120
V91	640	64
V92	175	150
V93	146	124
V94	0	559
V95	204	343
V96	236	95
V97	267	36
V98	338	134
V99	290	5
V100	473	0
