Samples	ID83A	ID83B
V1	27	69
V2	113	0
V3	301	47
V4	46	16
V5	240	13
V6	177	7
V7	111	28
V8	267	106
V9	190	0
V10	78	24
V11	100	5
V12	139	35
V13	236	0
V14	62	58
V15	34	80
V16	89	0
V17	18	381
V18	39	16
V19	0	328
V20	125	22
V21	357	25
V22	282	354
V23	247	5
V24	470	0
V25	0	614
V26	291	89
V27	314	93
V28	553	36
V29	0	231
V30	654	0
V31	660	37
V32	80	60
V33	148	15
V34	219	187
V35	148	19
V36	8	77
V37	38	18
V38	450	37
V39	0	756
V40	318	9
V41	0	112
V42	468	18
V43	0	125
V44	0	171
V45	431	16
V46	146	77
V47	107	78
V48	278	117
V49	150	37
V50	152	66
V51	155	4
V52	99	154
V53	139	37
V54	266	13
V55	16	19
V56	400	17
V57	34	90
V58	255	44
V59	162	20
V60	198	187
V61	219	99
V62	461	0
V63	45	12
V64	101	126
V65	188	0
V66	215	140
V67	331	11
V68	227	31
V69	59	274
V70	25	5
V71	150	370
V72	176	21
V73	335	1
V74	59	422
V75	387	142
V76	33	0
V77	146	59
V78	42	113
V79	131	4
V80	352	0
V81	185	22
V82	14	339
V83	532	129
V84	155	16
V85	91	59
V86	55	3
V87	64	13
V88	43	50
V89	115	30
V90	0	327
V91	245	174
V92	189	14
V93	103	0
V94	248	60
V95	90	10
V96	240	31
V97	0	337
V98	90	20
V99	471	26
V100	0	551
