NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	31.468	13.327	8.13	8.562	0.074	0.995	60000.0
2	33.318	14.403	8.148	8.688	0.077	0.995	50000.0
3	32.798	14.236	8.28	9.018	0.076	0.994	40000.0
4	32.85	14.226	8.135	8.803	0.079	0.994	50000.0
5	35.771	15.547	9.402	9.964	0.076	0.993	60000.0
6	33.0	14.261	8.225	8.591	0.077	0.995	40000.0
7	34.231	14.877	8.541	9.011	0.077	0.994	50000.0
8	34.077	14.864	8.424	9.021	0.083	0.994	50000.0
9	36.434	15.542	9.38	9.509	0.078	0.994	40000.0
10	37.114	16.114	9.414	9.971	0.082	0.993	50000.0
