Samples	ID83A	ID83B	ID83C
V1	234	94	0
V2	28	26	161
V3	58	174	33
V4	0	0	871
V5	0	321	324
V6	248	0	12
V7	97	135	6
V8	64	232	6
V9	118	46	46
V10	171	0	72
V11	221	20	85
V12	109	124	2
V13	0	80	272
V14	54	94	65
V15	32	18	1
V16	31	28	161
V17	255	71	23
V18	37	0	6
V19	111	32	28
V20	289	152	3
V21	162	295	4
V22	144	78	190
V23	467	94	44
V24	77	50	7
V25	237	191	20
V26	166	77	31
V27	0	201	45
V28	62	11	59
V29	553	47	6
V30	182	327	33
V31	5	31	85
V32	193	0	2
V33	82	66	195
V34	0	289	59
V35	151	423	268
V36	61	4	0
V37	328	359	0
V38	16	132	3
V39	195	0	0
V40	108	104	11
V41	59	80	292
V42	125	2	13
V43	101	10	5
V44	163	40	41
V45	162	70	158
V46	185	39	31
V47	184	0	140
V48	216	43	88
V49	432	0	79
V50	222	32	241
V51	87	227	0
V52	63	181	38
V53	5	5	210
V54	65	20	8
V55	0	483	13
V56	51	256	121
V57	45	113	25
V58	45	558	53
V59	133	17	4
V60	166	210	163
V61	246	211	1
V62	20	51	3
V63	94	283	306
V64	112	99	10
V65	129	223	281
V66	136	0	0
V67	390	22	31
V68	72	71	39
V69	9	798	17
V70	0	48	89
V71	39	59	28
V72	62	14	45
V73	255	70	72
V74	2	109	161
V75	49	122	47
V76	61	4	136
V77	64	19	231
V78	188	13	79
V79	74	58	383
V80	6	216	7
V81	289	209	3
V82	213	2	0
V83	82	34	20
V84	8	82	0
V85	42	19	437
V86	18	91	2
V87	0	141	57
V88	55	64	26
V89	337	68	0
V90	253	85	27
V91	313	11	14
V92	84	28	119
V93	116	58	69
V94	24	0	68
V95	177	34	19
V96	188	35	31
V97	204	114	61
V98	94	75	9
V99	204	158	15
V100	63	211	0
