Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	0	0	66	0	47	82	15	33	0	12	0	8	10	7
V2	27	0	54	0	115	4	0	0	0	3	0	24	0	11
V3	24	5	25	0	0	0	25	0	2	0	11	4	0	10
V4	20	75	31	17	129	8	69	37	19	0	10	4	0	5
V5	26	0	21	2	62	0	1	0	12	0	0	5	0	7
V6	1	65	26	32	0	0	17	0	14	0	0	0	0	0
V7	2	36	86	0	0	54	1	13	5	0	0	0	13	0
V8	121	11	9	7	0	0	0	3	25	61	0	0	0	0
V9	16	0	14	40	49	11	5	0	16	54	0	0	15	0
V10	27	7	14	13	99	6	71	0	0	11	0	68	21	0
V11	96	122	0	47	0	20	0	0	63	19	35	12	0	0
V12	71	0	32	2	0	14	4	8	0	0	0	2	10	16
V13	58	22	37	41	0	0	0	39	26	72	0	7	0	1
V14	7	10	3	0	98	0	43	12	0	0	2	21	0	0
V15	52	0	25	87	102	30	0	2	75	0	0	0	6	16
V16	52	14	90	1	1	43	0	58	11	5	13	0	0	0
V17	16	255	65	0	4	140	0	12	4	19	45	0	0	0
V18	33	48	20	79	4	0	33	0	12	20	32	13	0	3
V19	57	150	36	16	51	0	43	17	42	6	0	22	0	4
V20	111	0	79	12	0	0	0	0	1	7	0	5	0	21
V21	2	102	17	232	165	7	71	65	88	0	0	0	0	0
V22	19	0	32	3	67	0	0	20	12	32	3	12	10	0
V23	16	0	34	47	0	0	1	0	20	0	0	0	0	0
V24	328	100	137	3	83	0	7	9	0	52	0	0	18	3
V25	4	65	16	204	0	0	0	0	39	0	17	0	0	0
V26	115	89	6	0	0	27	1	0	0	0	0	25	28	0
V27	69	42	9	5	0	0	8	18	0	0	29	0	0	4
V28	40	0	132	170	0	80	0	52	82	0	0	0	0	0
V29	1	33	1	14	0	0	0	14	0	0	0	0	0	0
V30	176	86	53	51	43	0	0	17	12	54	0	0	9	5
V31	33	30	203	22	121	0	0	16	20	0	20	18	0	32
V32	146	0	67	124	37	51	1	23	19	53	0	0	0	0
V33	36	52	141	2	0	0	2	0	6	36	0	0	5	0
V34	6	33	24	3	0	26	0	11	0	0	0	51	5	0
V35	0	251	155	0	113	203	55	70	0	105	62	0	0	25
V36	0	0	5	1	0	75	10	0	0	0	1	0	20	0
V37	3	75	3	2	81	24	145	0	2	0	1	0	0	0
V38	14	0	2	211	391	15	0	77	56	0	9	0	4	7
V39	113	196	17	16	0	0	0	0	35	39	70	0	0	0
V40	0	10	10	13	0	96	9	114	14	0	21	0	14	0
V41	223	0	11	31	49	112	35	63	0	225	0	0	34	0
V42	0	27	115	17	0	8	0	0	14	0	0	7	1	2
V43	13	0	6	56	16	0	0	0	14	16	0	0	0	0
V44	137	0	23	113	0	99	4	8	62	0	0	0	0	7
V45	51	51	14	11	32	5	0	6	0	0	3	0	8	0
V46	57	0	1	6	0	34	0	0	6	0	0	0	16	0
V47	143	34	47	28	23	0	0	0	51	0	19	0	0	0
V48	1	9	0	0	4	28	12	18	6	0	7	17	2	0
V49	124	2	17	0	30	214	28	33	23	0	58	0	0	0
V50	23	54	2	5	1	24	0	1	0	0	0	0	4	0
V51	3	137	5	120	15	31	36	6	19	33	10	0	0	0
V52	51	7	32	132	58	1	11	10	0	0	0	0	0	0
V53	17	57	27	31	54	0	75	31	10	0	0	0	0	0
V54	77	0	4	4	0	3	54	0	1	0	0	0	21	0
V55	175	12	2	19	0	0	0	13	0	37	20	0	4	16
V56	0	0	6	4	0	150	0	47	9	16	0	19	21	6
V57	20	0	92	66	0	0	0	0	15	0	0	0	0	0
V58	0	77	56	0	47	49	51	2	15	0	0	15	8	0
V59	22	121	240	7	60	19	0	13	12	0	0	27	46	0
V60	228	20	6	32	9	117	12	58	9	0	32	0	55	0
V61	7	0	2	2	0	0	3	0	0	4	0	0	0	4
V62	52	190	0	0	0	14	16	0	40	37	7	0	32	0
V63	79	81	9	30	53	13	148	22	0	0	16	0	0	0
V64	3	22	1	25	1	0	0	0	3	0	0	0	0	0
V65	4	19	99	2	2	0	0	3	2	3	0	0	0	8
V66	43	212	154	301	0	0	0	30	126	0	0	0	0	4
V67	0	81	26	256	0	0	64	0	30	0	41	0	0	0
V68	66	0	118	83	3	33	0	49	14	0	0	0	20	23
V69	21	0	13	1	0	3	0	0	0	0	0	0	2	8
V70	0	332	54	206	4	3	6	39	57	0	30	7	0	0
V71	3	34	6	1	41	0	15	10	0	0	0	0	6	2
V72	2	60	0	150	0	0	0	15	17	0	0	0	0	0
V73	73	35	77	0	7	0	0	0	0	22	8	0	0	0
V74	120	12	0	6	32	2	99	0	3	8	17	10	0	0
V75	0	3	118	12	67	19	20	45	10	0	32	8	5	16
V76	14	0	13	0	0	14	22	0	0	0	0	8	14	0
V77	1	79	1	34	33	0	100	89	24	6	0	16	0	0
V78	0	11	131	0	11	8	0	10	3	10	12	20	8	0
V79	2	0	6	95	24	13	0	4	33	0	30	3	0	1
V80	45	0	0	0	0	0	0	10	0	0	0	0	0	14
V81	12	0	2	107	7	0	3	3	1	0	29	0	13	0
V82	9	90	47	0	0	123	0	51	0	16	0	34	0	0
V83	22	0	3	39	52	0	59	0	27	0	0	0	8	0
V84	13	32	34	0	2	26	5	17	12	20	9	48	0	0
V85	146	0	3	0	0	0	1	9	0	35	0	0	27	0
V86	2	1	185	0	0	8	110	9	0	0	3	6	0	0
V87	29	17	0	0	5	84	0	17	0	0	12	9	0	0
V88	47	0	35	23	6	0	0	21	10	61	0	5	27	0
V89	10	1	43	12	122	23	67	39	0	0	0	21	25	0
V90	19	115	0	57	0	102	0	61	23	35	0	8	0	0
V91	7	14	31	15	47	0	0	0	7	4	0	0	1	0
V92	0	0	12	21	98	68	25	0	6	0	0	13	0	0
V93	150	18	0	0	0	10	0	4	0	0	12	0	0	14
V94	0	133	13	0	203	41	45	0	18	0	37	2	12	4
V95	0	68	59	3	0	39	9	9	0	20	2	44	17	0
V96	10	78	9	0	74	26	33	32	0	0	0	0	40	0
V97	29	0	0	0	274	33	32	0	0	0	0	15	0	0
V98	0	9	8	35	66	0	18	1	0	0	24	0	0	10
V99	12	79	48	29	69	0	0	0	45	17	0	2	0	0
V100	171	30	42	118	118	0	0	0	31	27	0	6	0	10
