Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	1.99E+01	8.92E+00	1.04E+00	1.94E+00	0.00E+00	6.87E+00	1.08E+01	3.87E+00	3.24E+00	4.00E-01	6.55E+00	2.94E+01	5.65E+00	2.12E+00
V2	2.28E+01	1.53E-01	8.28E+00	9.78E-01	1.09E+00	2.19E+00	2.26E+01	1.06E+00	8.02E+00	7.78E-01	3.48E+00	1.52E+01	1.63E+00	8.06E-01
V3	0.00E+00	3.35E-01	1.22E+00	1.43E+01	0.00E+00	6.66E+00	0.00E+00	5.31E+00	2.52E+00	2.21E-01	4.37E+00	0.00E+00	5.54E-01	1.57E+01
V4	1.16E+00	2.21E-01	0.00E+00	1.05E+00	1.54E+00	0.00E+00	1.28E+00	2.67E-01	0.00E+00	9.17E-01	4.00E-01	1.34E+00	2.00E-01	8.03E-01
V5	3.29E+01	2.80E+00	3.48E-01	6.46E+00	5.97E-01	0.00E+00	3.74E+01	0.00E+00	0.00E+00	7.45E-01	2.17E+00	9.20E+00	1.55E+00	6.49E+00
V6	2.15E+01	5.34E+00	8.28E+00	2.32E+01	2.74E+00	6.67E+00	1.42E+01	5.83E+00	8.01E+00	1.65E+00	5.08E+00	1.87E+01	1.48E+01	2.17E+01
V7	1.91E+00	2.61E+00	0.00E+00	8.75E+00	9.13E+00	3.89E+00	2.45E+00	3.34E+00	0.00E+00	9.64E+00	3.89E+00	2.66E+00	3.67E+00	6.76E+00
V8	2.78E+00	4.07E-01	3.63E+01	6.93E+00	4.39E+00	1.13E+00	1.66E+00	2.09E+00	3.73E+01	3.03E+00	2.60E+00	2.56E+00	4.55E+00	8.06E+00
V9	1.37E+01	1.97E+00	1.43E+00	1.16E+01	2.41E+00	0.00E+00	1.47E+01	4.00E-01	1.87E+00	2.12E+00	1.84E+00	7.09E+00	2.98E+00	1.27E+01
V10	2.28E+00	3.54E+00	1.65E+00	1.71E+00	1.09E+00	9.78E+00	1.90E+00	6.75E+00	3.23E+00	2.35E+00	7.67E+00	8.33E-01	4.62E+00	4.99E+00
V11	0.00E+00	8.36E-01	3.14E-01	2.47E+00	1.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.21E-01	0.00E+00	0.00E+00	6.80E-01	2.27E+00
V12	1.54E+01	4.76E-01	2.86E+00	1.39E+00	4.07E-01	2.67E+00	1.61E+01	1.76E+00	3.22E+00	4.01E-01	3.75E+00	1.05E+01	2.04E+00	1.09E+00
V13	3.00E-01	5.34E+00	1.04E+00	8.73E+00	1.10E+00	3.42E-01	0.00E+00	6.16E-01	7.22E-01	9.43E-01	5.37E-01	5.00E-01	6.91E+00	9.11E+00
V14	4.94E+01	2.70E+01	7.90E-01	3.15E+00	0.00E+00	4.55E+00	5.22E+01	3.42E+00	1.10E+00	5.00E-01	6.54E+00	6.44E+01	4.90E+00	1.41E+00
V15	6.40E+00	2.64E+00	5.97E+00	1.00E+00	1.13E+01	3.52E+00	5.75E+00	1.54E+00	9.80E+00	1.15E+01	2.45E+00	4.28E+00	1.89E+00	3.49E+00
V16	8.49E-01	8.31E-01	6.11E-01	1.05E+00	2.21E-01	4.97E+00	0.00E+00	3.50E+00	1.11E+00	2.00E-01	3.89E+00	1.16E+00	9.00E-01	5.00E-01
V17	1.51E+01	2.21E-01	2.14E+00	1.10E+01	3.54E+00	6.15E-01	1.59E+01	2.48E+00	1.81E+00	4.42E+00	5.26E-01	1.22E+01	2.73E+00	8.05E+00
