MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
2:Del:R:0	1.94E-08	2.21E-04	8.70E-04	2.62E-03	4.43E-04	7.95E-04	0.00E+00	1.77E-03	5.21E-03	9.28E-04	9.44E-03	4.20E-03	7.74E-03	2.42E-02	4.77E-03	3.02E-03	2.29E-03
2:Del:R:1	0.00E+00	1.53E-04	9.35E-04	2.68E-04	1.99E-03	1.06E-03	9.95E-04	3.32E-04	6.75E-03	6.00E-03	2.01E-02	3.64E-07	4.77E-03	4.00E-03	1.68E-02	5.01E-03	2.57E-02
2:Del:R:2	8.23E-08	1.51E-08	2.73E-04	1.33E-04	1.71E-04	1.30E-04	5.91E-05	3.12E-04	7.64E-08	1.21E-03	7.99E-06	1.05E-03	8.96E-04	2.88E-03	4.20E-03	1.06E-03	1.54E-03
2:Del:R:3	2.55E-08	1.57E-04	4.33E-04	0.00E+00	8.53E-08	4.28E-05	0.00E+00	1.45E-04	2.77E-04	8.12E-08	9.26E-08	5.25E-04	0.00E+00	0.00E+00	1.59E-03	1.45E-04	1.03E-03
2:Del:R:4	1.89E-08	3.27E-05	2.62E-08	0.00E+00	0.00E+00	7.79E-08	0.00E+00	2.41E-04	6.73E-04	2.52E-04	6.04E-04	1.06E-04	4.97E-04	3.25E-04	1.13E-03	4.61E-04	2.03E-04
2:Del:R:5	6.58E-09	0.00E+00	0.00E+00	0.00E+00	1.30E-04	7.92E-04	1.84E-03	2.25E-04	2.70E-03	5.00E-04	1.44E-07	1.05E-08	8.38E-04	0.00E+00	9.25E-04	3.15E-03	5.62E-04
3:Del:R:0	2.02E-09	1.86E-04	3.25E-07	1.25E-04	1.02E-03	0.00E+00	5.49E-08	3.36E-03	1.62E-03	4.05E-03	2.28E-03	5.50E-03	1.44E-03	6.30E-03	3.51E-03	7.91E-03	7.03E-03
3:Del:R:1	5.40E-05	5.74E-04	1.31E-03	9.04E-04	4.72E-04	2.62E-04	8.78E-04	3.68E-04	0.00E+00	2.99E-03	7.13E-04	1.14E-03	4.34E-03	5.56E-03	4.08E-03	3.08E-03	9.05E-04
3:Del:R:2	0.00E+00	9.43E-09	3.60E-04	5.66E-04	4.02E-05	9.37E-06	4.67E-04	1.57E-04	6.15E-04	3.71E-04	8.22E-04	1.38E-03	3.22E-04	1.63E-03	6.33E-04	4.19E-03	2.12E-03
3:Del:R:3	1.38E-08	4.68E-08	1.29E-04	2.18E-08	0.00E+00	0.00E+00	2.71E-08	2.16E-07	1.36E-04	2.93E-04	7.87E-08	3.70E-08	1.14E-06	9.17E-04	6.89E-04	1.59E-04	1.41E-04
3:Del:R:4	1.14E-08	1.15E-08	3.06E-08	4.79E-08	0.00E+00	1.63E-08	4.60E-08	6.66E-08	1.06E-07	2.50E-07	2.36E-07	1.19E-07	6.05E-08	1.27E-07	1.84E-07	2.33E-07	2.70E-07
3:Del:R:5	1.14E-08	1.15E-08	3.06E-08	4.79E-08	0.00E+00	1.63E-08	4.60E-08	6.66E-08	1.06E-07	2.50E-07	2.36E-07	1.19E-07	6.05E-08	1.27E-07	1.84E-07	2.33E-07	2.70E-07
4:Del:R:0	1.50E-08	1.50E-04	5.87E-08	4.08E-04	1.90E-03	2.26E-04	0.00E+00	2.25E-03	2.61E-03	5.73E-04	8.10E-04	1.57E-04	4.42E-04	1.12E-03	3.52E-05	1.01E-03	7.95E-03
4:Del:R:1	7.97E-09	2.81E-04	0.00E+00	5.97E-04	3.88E-04	5.06E-04	3.32E-04	3.74E-04	1.17E-03	0.00E+00	1.08E-03	1.79E-02	1.84E-03	7.57E-03	1.72E-03	8.14E-03	2.01E-03
4:Del:R:2	1.17E-08	2.18E-08	4.80E-05	6.88E-04	0.00E+00	6.13E-09	3.26E-08	0.00E+00	6.91E-04	1.61E-07	4.65E-04	7.55E-04	1.78E-04	9.57E-04	2.37E-04	1.64E-04	3.68E-04
4:Del:R:3	7.14E-08	2.47E-08	1.78E-07	7.89E-08	5.77E-09	1.09E-04	6.25E-08	6.65E-08	9.65E-08	2.59E-07	3.34E-08	9.96E-08	5.77E-08	4.51E-07	2.49E-07	5.14E-04	2.41E-07
4:Del:R:4	1.14E-08	1.15E-08	3.06E-08	4.79E-08	0.00E+00	1.63E-08	4.60E-08	6.66E-08	1.06E-07	2.50E-07	2.36E-07	1.19E-07	6.05E-08	1.27E-07	1.84E-07	2.33E-07	2.70E-07
