Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
V1	16	26	6	20	118	2	53	0	4	23	0	0	0	0	1	0	0	0	0
V2	7	0	8	8	1	3	0	1	6	4	4	16	9	3	0	0	0	0	0
V3	11	0	11	42	1	5	3	0	13	4	10	4	5	10	7	0	3	5	0
V4	39	4	23	7	4	149	4	0	27	9	11	16	63	7	0	0	0	0	6
V5	0	123	23	50	0	2	1	0	0	19	40	37	0	9	3	18	21	2	1
V6	24	1	31	33	49	0	79	0	1	8	0	0	4	2	0	0	1	0	0
V7	99	0	0	17	119	3	92	86	14	0	0	3	4	5	1	8	0	11	3
V8	110	0	12	13	11	0	4	0	4	0	3	5	3	6	0	0	10	4	11
V9	32	62	6	24	5	5	0	54	9	9	3	2	0	5	6	0	0	0	3
V10	0	63	161	152	231	17	69	0	38	53	0	9	3	22	13	0	0	20	37
V11	164	17	0	0	2	7	17	0	9	0	0	1	9	6	1	7	5	3	0
V12	160	14	68	9	0	13	1	9	12	22	13	8	7	9	7	0	14	0	0
V13	83	12	0	4	5	0	2	7	11	0	1	0	1	2	0	6	9	2	0
V14	7	28	1	10	0	2	0	8	3	0	21	0	18	28	9	0	0	0	0
V15	0	69	31	0	19	1	2	0	0	0	0	1	0	0	2	0	1	0	4
V16	0	18	0	0	9	55	3	0	45	0	7	0	54	8	1	0	0	1	0
V17	0	7	107	6	7	2	3	0	0	35	0	4	0	0	0	0	0	5	0
V18	34	0	23	20	8	0	8	0	11	36	25	5	0	1	5	0	1	0	7
V19	99	0	2	37	1	0	0	0	0	0	25	1	0	6	12	0	4	5	8
V20	160	30	22	16	0	17	1	65	0	18	5	20	0	35	24	6	2	2	7
V21	7	27	32	31	12	14	9	0	14	0	12	19	6	15	12	16	5	7	0
V22	0	237	19	22	3	22	5	0	30	0	15	27	75	1	6	93	5	0	0
V23	0	123	36	48	52	32	36	42	3	13	35	7	4	0	9	0	7	5	9
V24	1	63	0	41	7	94	5	104	60	0	1	15	0	19	13	0	0	4	0
V25	7	5	0	11	6	67	2	61	25	0	3	2	44	15	0	0	0	0	0
V26	9	60	0	4	4	8	5	0	7	28	0	1	4	7	16	22	6	0	0
V27	3	8	60	9	16	80	16	0	44	41	0	9	59	0	0	0	0	0	6
V28	27	1	26	26	38	2	70	28	4	0	18	8	0	7	11	0	2	7	0
V29	127	0	0	0	1	0	0	0	0	0	4	0	0	1	0	0	14	0	0
V30	88	4	7	6	11	0	14	0	0	0	1	4	0	7	1	0	5	8	5
V31	17	0	3	21	0	5	2	0	1	17	44	1	0	19	21	1	0	0	0
V32	20	14	36	9	6	10	4	0	3	28	0	0	0	4	8	0	2	0	0
V33	23	0	17	0	2	5	1	19	0	4	0	0	12	0	1	2	0	0	0
V34	1	88	50	24	39	2	57	0	0	8	21	11	0	3	18	57	0	13	0
V35	124	3	0	19	57	3	37	0	8	0	0	0	41	1	0	12	20	4	0
V36	87	0	0	25	6	92	8	179	0	0	3	19	15	54	3	56	3	19	0
V37	33	86	36	11	4	8	6	0	5	4	12	60	0	5	5	2	0	2	0
V38	50	1	9	21	29	0	36	0	1	0	0	0	12	2	3	0	14	12	0
V39	2	30	63	16	13	13	17	30	5	5	15	7	2	31	10	0	2	4	0
V40	384	13	11	19	32	26	42	45	0	4	5	29	13	26	10	0	58	2	0
V41	7	3	0	10	0	6	6	2	13	0	11	10	10	12	8	0	0	0	0
V42	130	32	114	1	16	0	11	2	0	114	7	2	1	2	7	0	4	7	10
V43	0	26	3	31	5	128	5	226	16	0	49	19	0	10	2	0	0	11	26
V44	9	69	15	8	5	6	1	0	4	0	10	7	16	0	2	25	4	0	0
V45	60	25	1	12	25	41	13	96	88	4	3	0	18	11	1	0	0	0	0
V46	1	0	0	143	121	0	46	0	0	0	58	86	0	25	9	8	0	7	0
V47	96	2	13	0	21	0	12	0	0	0	0	0	0	0	0	0	9	0	6
V48	6	1	0	38	0	14	1	6	24	0	42	62	0	23	0	0	1	0	0
V49	28	11	39	2	15	8	4	8	16	17	5	4	0	0	0	0	0	2	21
V50	2	50	142	148	1	4	2	0	6	30	120	21	0	0	15	0	1	5	17
V51	1	236	6	35	72	2	28	0	4	0	5	5	0	1	2	3	3	5	0
V52	3	115	50	5	4	3	3	0	0	3	2	5	0	0	6	13	2	0	0
V53	6	51	125	0	8	2	34	0	16	69	0	0	20	0	7	0	0	11	0
V54	0	170	0	47	64	8	69	0	5	0	7	5	17	1	6	15	6	3	7
V55	50	96	11	0	0	0	1	0	1	4	0	1	0	0	21	0	16	0	0
V56	8	0	5	15	52	15	13	22	6	0	1	5	0	3	2	2	0	6	0
V57	12	0	32	6	3	16	3	12	19	13	9	8	0	0	0	0	1	6	0
V58	4	17	5	17	17	2	6	0	1	0	0	3	0	2	5	4	0	0	3
V59	123	130	44	37	12	1	9	0	0	30	15	30	1	1	22	0	26	5	43
V60	4	0	16	25	6	0	0	0	0	0	22	6	0	1	9	20	0	15	0
V61	368	46	0	9	5	0	6	0	0	0	2	19	0	0	12	3	27	3	20
V62	4	25	195	3	6	30	7	0	21	42	0	0	20	7	3	0	0	0	0
V63	4	48	1	15	21	1	35	0	1	0	7	2	0	0	6	12	0	1	0
V64	0	1	4	4	0	0	2	0	0	0	3	3	0	3	1	3	0	0	0
V65	0	46	71	20	28	0	13	0	0	22	0	0	0	0	5	0	0	11	0
