Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	20	33	8	8	8	11	9	0	0	13	0	18	0	7
V2	126	12	305	38	6	6	10	38	10	0	20	13	0	32
V3	33	10	16	64	6	3	1	73	12	0	2	14	1	0
V4	28	0	12	24	18	9	0	21	34	0	0	3	0	10
V5	108	0	17	40	0	4	0	41	33	7	0	0	0	20
V6	10	12	15	23	18	21	11	7	0	3	9	0	33	10
V7	145	11	161	14	4	9	12	2	4	17	0	0	6	13
V8	2	56	22	9	2	45	56	0	0	46	0	33	0	0
V9	145	15	6	2	8	0	1	1	0	6	5	4	0	9
V10	8	17	15	1	82	24	3	0	14	44	29	0	0	0
V11	39	47	0	0	10	4	25	0	0	2	26	0	0	7
V12	33	173	175	7	16	5	0	14	36	23	14	63	0	3
V13	2	180	11	196	0	21	0	127	48	23	0	0	18	0
V14	1	46	10	54	9	51	67	50	20	34	2	0	0	0
V15	6	12	2	97	0	1	1	37	32	4	0	0	0	0
V16	26	122	31	28	28	0	2	32	23	0	12	16	0	0
V17	14	19	3	6	0	8	5	0	6	4	1	0	11	9
V18	20	10	17	2	25	45	117	1	3	0	24	5	0	2
V19	82	147	57	0	22	9	0	0	4	7	0	0	37	8
V20	227	7	95	8	10	15	5	12	5	29	8	0	0	0
V21	98	3	0	329	66	46	40	111	80	22	0	0	0	31
V22	48	29	79	17	24	7	7	43	56	0	7	0	0	11
V23	198	15	2	0	0	0	0	0	1	0	10	1	0	13
V24	50	28	4	12	1	7	22	9	0	0	1	0	0	2
V25	25	36	4	61	0	0	0	28	33	5	0	0	0	0
V26	55	1	86	1	198	0	0	1	13	0	0	4	0	9
V27	141	10	9	34	7	7	12	5	0	35	0	0	0	5
V28	0	267	139	9	32	6	0	0	22	0	46	59	37	0
V29	0	20	42	20	46	0	0	6	19	0	0	86	0	0
V30	15	1	0	58	3	25	9	45	2	0	0	0	0	6
V31	1	0	124	2	28	2	9	0	6	0	12	2	0	1
V32	3	0	0	28	42	24	0	1	10	21	20	4	52	0
V33	3	11	104	38	97	52	0	0	55	23	57	0	0	2
V34	3	22	1	11	169	0	0	31	19	20	27	0	0	0
