De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature 83-A, 0, 0, 0, 1, 1
Signature 83-B, Signature ID2 (100.00%), 16.35,  3.54, 0.330, 1.00, 1.00
Signature 83-C, Signature ID1 (100.00%), 4.46,  0.93, 0.229, 1.00, 1.00
Signature 83-D, Signature ID8 (100.00%), 22.16,  20.88, 0.206, 0.98, 0.98
Signature 83-E, Signature 83-E, 0, 0, 0, 1, 1
Signature 83-F, Signature ID9 (100.00%), 13.07,  7.96, 0.061, 1.00, 1.00
