MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	3.17E-04	1.77E-04	4.68E-03	7.73E-03	1.87E-03	1.74E-04	1.11E-02	7.87E-03	1.78E-02	7.40E-03
1:Del:C:1	7.29E-05	4.84E-04	2.70E-03	5.30E-03	1.11E-03	1.02E-04	3.00E-03	3.78E-03	8.38E-03	5.33E-03
1:Del:C:2	1.50E-04	3.94E-04	1.98E-03	2.05E-03	6.39E-04	1.53E-04	2.28E-03	2.69E-03	4.52E-03	2.63E-03
1:Del:C:3	4.06E-04	2.77E-04	1.03E-03	2.38E-03	3.73E-04	0.00E+00	2.25E-03	1.89E-03	3.58E-03	2.27E-03
1:Del:C:4	1.45E-03	1.07E-04	4.69E-03	1.07E-03	3.78E-04	6.46E-10	6.39E-04	1.19E-03	1.18E-03	2.07E-03
1:Del:C:5	5.43E-03	7.60E-04	1.32E-02	7.91E-04	2.99E-04	8.86E-05	9.19E-04	2.80E-46	8.10E-03	4.86E-03
1:Del:T:0	3.43E-04	3.00E-04	3.88E-03	4.51E-03	7.99E-04	1.11E-04	6.52E-03	4.85E-03	6.28E-03	3.81E-03
1:Del:T:1	3.23E-04	5.75E-04	1.02E-03	5.07E-03	3.50E-04	1.13E-04	4.11E-03	3.71E-03	6.94E-03	1.01E-03
1:Del:T:2	2.59E-04	4.05E-04	2.49E-03	4.55E-03	1.08E-03	8.30E-05	5.28E-03	3.37E-03	7.50E-03	3.01E-03
1:Del:T:3	2.87E-03	6.11E-04	2.10E-03	3.16E-03	1.44E-03	1.12E-04	4.33E-03	3.86E-03	8.55E-03	2.65E-03
1:Del:T:4	8.50E-03	1.72E-03	9.80E-03	3.65E-03	1.39E-03	1.92E-04	7.97E-03	2.48E-03	2.69E-02	6.40E-03
1:Del:T:5	2.44E-02	9.02E-03	4.87E-02	2.31E-03	2.33E-03	1.29E-03	1.85E-02	3.66E-03	4.93E-19	4.27E-07
1:Ins:C:0	1.12E-03	1.38E-03	3.15E-03	4.11E-03	1.04E-03	4.26E-03	4.78E-03	3.58E-03	2.94E-03	4.12E-03
1:Ins:C:1	2.91E-04	4.40E-04	4.95E-04	7.07E-04	3.16E-04	8.59E-04	0.00E+00	0.00E+00	6.24E-04	7.73E-04
1:Ins:C:2	3.89E-04	3.65E-04	7.27E-04	1.92E-03	7.00E-05	8.52E-04	7.93E-04	2.20E-04	0.00E+00	7.71E-04
1:Ins:C:3	5.04E-05	1.59E-04	1.38E-04	2.42E-04	9.64E-06	2.65E-04	0.00E+00	1.67E-04	1.19E-04	1.55E-04
1:Ins:C:4	7.77E-05	5.49E-05	3.72E-05	1.31E-04	4.49E-05	2.80E-04	1.11E-04	0.00E+00	0.00E+00	1.81E-04
1:Ins:C:5	4.58E-05	5.16E-05	2.15E-04	3.84E-04	0.00E+00	6.06E-05	3.39E-04	2.88E-05	5.61E-04	2.36E-04
1:Ins:T:0	8.69E-03	8.28E-03	1.81E-02	2.84E-02	5.11E-03	2.06E-03	3.11E-02	1.57E-02	2.45E-02	2.64E-02
1:Ins:T:1	3.65E-03	3.95E-03	7.72E-03	1.13E-02	1.42E-03	2.05E-03	9.19E-03	5.26E-03	8.55E-03	1.44E-02
1:Ins:T:2	9.52E-04	1.27E-03	2.00E-03	3.35E-03	1.40E-46	6.94E-04	5.49E-03	1.89E-03	2.92E-03	3.88E-03
1:Ins:T:3	6.63E-04	7.83E-04	2.64E-03	2.73E-03	2.98E-04	4.65E-04	3.41E-03	1.94E-03	2.87E-03	2.70E-03
1:Ins:T:4	8.08E-04	9.74E-04	2.73E-03	2.11E-03	3.72E-04	4.68E-04	5.58E-04	9.48E-05	3.37E-03	0.00E+00
1:Ins:T:5	7.88E-04	6.33E-04	2.93E-03	3.84E-03	3.68E-04	6.19E-04	1.43E-03	1.67E-03	1.29E-03	3.02E-03
