Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
V1	11	14	91	5	19	40	25	13	18	30	12	7	4
V2	99	3	45	13	6	0	15	0	0	0	1	0	5
V3	0	162	44	29	15	0	21	2	1	0	5	0	3
V4	0	5	16	107	90	3	14	0	1	0	0	0	0
V5	97	34	87	51	25	5	9	0	0	0	10	8	6
V6	11	6	70	36	32	14	7	80	51	0	16	40	4
V7	1	76	0	33	62	10	0	8	2	0	0	3	1
V8	192	9	3	20	12	41	5	1	25	7	0	3	0
V9	47	7	19	19	34	21	94	0	0	14	19	49	0
V10	8	58	46	204	176	8	69	3	0	7	28	9	0
V11	0	6	0	6	5	17	0	27	9	0	0	0	0
V12	0	17	32	3	8	5	13	0	1	23	47	0	0
V13	1	30	113	43	43	23	42	0	0	1	18	4	0
V14	65	2	10	3	4	6	0	3	0	0	0	5	0
V15	30	20	0	2	1	140	0	58	14	36	0	0	0
V16	44	81	0	206	127	3	0	79	80	0	0	7	0
V17	9	0	14	0	0	60	12	95	80	0	8	1	0
V18	50	13	95	3	2	6	65	117	152	28	10	68	0
V19	84	44	11	0	0	3	12	36	64	0	51	0	31
V20	7	159	62	0	1	28	35	19	0	22	50	65	0
V21	152	33	0	56	5	7	0	7	0	5	0	0	82
V22	34	0	15	3	4	76	12	1	5	55	49	0	0
V23	1	65	0	22	38	27	0	0	0	36	24	0	0
V24	0	44	8	86	37	1	2	17	19	13	7	0	0
V25	0	65	14	2	5	31	12	65	107	36	1	4	9
V26	3	127	4	2	12	1	31	8	0	10	1	0	4
V27	17	63	95	1	5	25	48	0	59	35	1	15	0
V28	2	1	3	12	42	4	9	17	21	3	1	0	0
V29	4	17	32	3	8	0	11	10	0	3	0	0	0
V30	44	0	127	33	31	0	73	0	3	0	0	6	4
V31	35	11	1	120	73	6	0	43	40	9	0	0	6
V32	1	5	15	0	0	13	2	13	18	0	0	3	2
V33	41	175	18	5	4	54	12	3	0	59	0	0	33
V34	65	449	5	6	17	192	2	0	0	45	0	0	0
V35	47	5	3	8	7	17	0	24	70	15	0	0	11
V36	76	4	5	2	2	38	0	0	0	23	18	0	9
V37	192	10	145	8	7	23	33	51	21	13	4	15	41
V38	1	0	11	12	13	15	0	0	2	34	5	2	1
V39	28	9	32	0	0	0	40	20	11	0	16	9	0
V40	22	45	0	46	34	0	0	0	1	17	7	0	6
V41	0	46	23	233	151	19	0	45	5	26	52	3	0
V42	2	12	181	28	11	0	26	5	12	0	0	13	3
V43	17	2	0	22	43	3	0	0	0	5	0	1	3
V44	6	24	36	4	7	1	9	47	71	0	0	16	0
V45	1	0	0	2	1	22	0	7	6	9	3	0	1
V46	2	2	0	16	9	21	0	0	1	40	29	4	0
V47	0	20	24	3	1	11	13	0	0	0	10	23	0
V48	52	30	246	58	131	5	119	22	21	0	17	0	15
V49	339	27	6	17	26	22	2	0	0	12	11	3	39
V50	50	71	50	12	36	12	19	21	7	3	0	0	16
V51	1	3	91	29	26	36	46	73	14	0	0	6	0
V52	26	9	35	0	0	6	2	0	0	9	0	7	0
V53	0	170	0	16	62	17	0	43	21	11	0	9	5
V54	34	42	3	37	100	64	0	141	66	8	0	12	15
V55	1	18	182	1	5	34	107	10	35	0	0	93	13
V56	94	175	2	0	0	0	2	21	13	8	14	3	0
V57	1	77	0	7	2	17	0	3	2	24	0	1	1
V58	283	0	13	5	1	0	5	0	0	0	2	23	1
V59	7	0	5	1	2	0	13	3	0	2	1	6	1
V60	8	1	12	0	1	2	12	0	0	0	0	8	0
V61	18	0	180	0	1	0	33	11	0	0	0	67	0
V62	13	45	13	0	0	19	2	5	14	4	31	0	2
V63	39	68	73	6	13	2	42	10	0	0	5	2	2
V64	11	6	138	2	3	2	111	7	4	0	0	4	2
V65	6	0	53	0	1	110	12	0	0	41	68	4	0
V66	42	14	5	0	2	9	0	3	57	12	0	0	11
V67	36	25	31	2	2	6	20	0	11	77	36	0	0
V68	243	3	0	0	0	0	0	7	14	8	0	2	10
V69	4	5	42	41	21	8	21	0	1	0	10	0	0
V70	39	43	32	17	6	0	34	10	7	1	0	0	0
V71	51	1	26	26	44	23	0	3	0	2	0	0	0
V72	33	0	79	0	0	2	5	2	3	0	0	0	0
V73	7	11	3	2	1	68	0	0	0	0	47	5	4
V74	21	43	12	0	0	79	30	9	3	0	52	0	0
V75	220	49	74	36	20	56	12	8	0	19	3	0	36
V76	12	13	0	9	12	0	0	2	0	3	3	0	5
V77	0	15	111	2	23	0	57	1	0	7	0	36	0
V78	3	155	44	17	7	7	0	13	7	4	23	12	19
V79	1	106	0	62	116	2	9	3	38	1	0	0	1
V80	13	123	24	28	11	32	2	10	2	25	0	0	9
V81	12	29	3	0	1	1	5	5	2	9	10	3	3
V82	108	24	0	269	183	1	2	117	113	10	28	0	8
V83	26	14	11	0	0	26	0	0	0	9	11	0	3
V84	32	81	2	0	0	85	9	0	0	0	13	1	6
V85	25	1	1	4	6	10	5	4	7	0	14	2	2
V86	12	6	9	1	1	5	4	0	0	2	0	0	10
V87	65	58	3	15	17	104	5	15	27	58	9	0	2
V88	14	0	3	0	0	71	0	7	3	17	20	0	0
V89	26	1	0	56	32	0	0	1	0	0	0	0	1
V90	13	8	49	45	44	0	72	10	32	0	0	45	0
V91	0	15	0	25	43	15	0	0	4	9	4	0	1
V92	50	112	69	4	19	0	31	2	0	0	14	29	0
V93	15	0	2	22	12	144	5	0	0	82	20	0	0
V94	131	39	192	0	0	0	69	7	6	1	0	34	2
V95	41	8	1	2	0	1	0	0	2	0	17	0	16
V96	98	0	0	6	18	0	5	0	0	3	0	0	0
V97	4	0	3	1	3	48	0	1	1	14	14	3	7
V98	62	19	198	0	0	68	137	41	49	48	0	39	0
V99	161	30	16	13	22	78	7	1	5	15	0	27	35
V100	119	0	0	107	77	9	4	159	111	0	22	9	23
