Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
V1	1.71E+00	1.67E+00	5.16E+00	7.92E-01	1.72E+00	6.78E+00	3.75E+00	1.92E+00	3.58E+00	5.73E+00	8.00E+00	4.70E+00	1.99E+00
V2	4.75E+00	6.29E-01	2.93E+00	1.04E+00	8.43E-01	0.00E+00	1.59E+00	2.00E-01	0.00E+00	9.45E-01	8.97E-01	6.05E-01	5.32E+00
V3	0.00E+00	3.39E+00	4.26E+00	3.60E+00	2.65E+00	0.00E+00	2.84E+00	4.23E-01	4.33E-01	4.00E-01	5.54E-01	1.55E+00	9.67E-01
V4	0.00E+00	7.27E-01	9.67E-01	4.83E+00	4.71E+00	5.47E-01	1.76E+00	1.00E-01	3.40E-01	0.00E+00	0.00E+00	7.48E-01	0.00E+00
V5	2.47E+00	2.20E+00	4.92E+00	5.21E+00	3.54E+00	1.07E+00	5.62E+00	0.00E+00	4.23E-01	2.00E-01	2.48E+00	3.73E+00	1.81E+00
V6	9.48E-01	1.54E+00	8.97E+00	2.80E+00	2.68E+00	2.90E+00	4.41E+00	1.07E+01	1.17E+01	1.40E+01	2.51E+00	8.69E+00	8.76E+00
V7	2.00E-01	1.96E+00	0.00E+00	3.10E+00	3.89E+00	1.71E+00	0.00E+00	1.04E+00	7.16E-01	2.32E+00	1.63E+00	1.24E+00	6.00E-01
V8	3.03E+00	1.40E+00	5.62E-01	1.35E+00	1.14E+00	3.66E+00	8.31E-01	1.00E+00	2.69E+00	2.96E+00	2.65E+00	6.29E+00	1.65E+00
V9	2.81E+00	1.99E+00	9.26E+00	1.95E+00	2.00E+00	5.96E+00	1.01E+01	2.00E-01	0.00E+00	3.61E+00	6.35E+00	6.79E+00	2.20E+00
V10	1.03E+00	3.00E+00	6.43E+00	1.07E+01	1.13E+01	3.14E+00	6.43E+00	1.57E+00	0.00E+00	2.24E+00	6.39E+00	4.00E+00	9.67E-01
V11	0.00E+00	7.81E-01	0.00E+00	9.19E-01	1.17E+00	2.09E+00	0.00E+00	2.45E+00	3.02E+00	3.27E+00	2.32E+00	1.66E+00	9.00E-01
V12	0.00E+00	1.58E+00	4.09E+00	2.58E-01	1.07E+00	6.46E+00	4.82E+00	0.00E+00	4.07E-01	4.92E+00	5.29E+00	2.31E+00	8.00E-01
V13	4.00E-01	2.00E+00	6.05E+00	3.36E+00	3.33E+00	2.45E+00	6.65E+00	0.00E+00	0.00E+00	1.33E+00	2.62E+00	3.81E+00	4.67E-01
V14	1.60E+00	4.00E-01	1.77E+00	7.00E-01	8.59E-01	6.84E-01	1.90E+00	4.58E-01	4.16E-01	1.53E-01	3.42E-01	1.28E+00	1.17E+00
V15	1.81E+00	1.29E+00	0.00E+00	4.27E-01	3.59E-01	1.10E+01	0.00E+00	8.97E+00	6.25E+00	1.00E+01	8.08E+00	5.53E+00	1.19E+00
V16	1.88E+00	2.44E+00	0.00E+00	1.07E+01	1.22E+01	1.37E+00	0.00E+00	1.03E+01	1.45E+01	4.77E+00	1.73E+00	1.32E+01	2.60E+00
V17	1.39E+00	1.00E-01	2.52E+00	0.00E+00	0.00E+00	3.95E+00	1.69E+00	1.15E+01	1.35E+01	9.22E+00	2.89E+00	5.97E+00	1.26E+01
V18	2.31E+00	2.69E+00	1.55E+01	6.40E-01	4.96E-01	7.38E+00	1.28E+01	1.79E+01	2.72E+01	5.23E+00	6.64E+00	3.16E+01	1.54E+01
V19	7.60E+00	6.33E+00	1.43E+00	0.00E+00	0.00E+00	3.36E+00	1.66E+00	6.52E+00	6.97E+00	7.49E+00	1.15E+01	3.31E+00	8.48E+00
V20	7.33E-01	5.66E+00	1.03E+01	0.00E+00	3.67E-01	8.87E+00	8.83E+00	4.48E+00	3.15E+00	7.28E+00	9.07E+00	1.03E+01	2.62E+00
V21	1.35E+01	2.53E+00	0.00E+00	3.80E+00	2.47E+00	1.38E+00	0.00E+00	2.20E+00	6.05E-01	2.88E+00	4.51E+00	2.15E+00	1.72E+01
V22	1.52E+00	9.80E-01	2.20E+00	8.31E-01	4.99E-01	1.49E+01	2.04E+00	8.30E-01	1.02E+00	8.82E+00	1.40E+01	8.50E+00	1.00E+00
V23	2.49E-01	9.02E+00	0.00E+00	2.17E+00	2.18E+00	5.67E+00	0.00E+00	5.00E-01	5.26E-01	3.33E+00	1.36E+01	1.89E+00	2.00E-01
V24	0.00E+00	2.67E+00	9.32E-01	7.21E+00	6.06E+00	1.87E+00	1.08E+00	3.45E+00	2.89E+00	2.79E+00	2.90E+00	3.06E-01	1.50E+00
V25	4.71E-01	2.16E+00	2.58E+00	7.57E-01	7.27E-01	6.22E+00	1.71E+00	1.14E+01	1.25E+01	1.07E+01	4.60E+00	1.28E+01	1.04E+01
V26	9.07E-01	2.74E+00	2.38E+00	3.40E-01	7.92E-01	2.33E-01	2.44E+00	8.31E-01	0.00E+00	2.06E+00	3.08E+00	1.96E+00	1.36E+00
V27	7.72E-01	2.91E+00	7.43E+00	2.60E-01	6.15E-01	5.58E+00	6.58E+00	1.90E+00	7.63E+00	5.77E+00	1.84E+00	5.70E+00	6.27E+00
V28	3.94E-01	3.00E-01	1.00E+00	1.32E+00	2.64E+00	1.05E+00	1.25E+00	2.50E+00	2.78E+00	1.64E+00	4.07E-01	1.48E+00	6.90E-01
V29	6.70E-01	1.11E+00	1.71E+00	5.39E-01	8.16E-01	0.00E+00	1.66E+00	8.75E-01	1.53E-01	5.81E-01	0.00E+00	1.90E+00	0.00E+00
V30	2.38E+00	3.06E-01	9.12E+00	2.67E+00	2.04E+00	2.13E-01	1.03E+01	0.00E+00	5.58E-01	0.00E+00	0.00E+00	6.08E+00	1.28E+00
V31	2.33E+00	1.53E+00	3.96E-01	7.47E+00	7.16E+00	1.45E+00	0.00E+00	5.29E+00	4.18E+00	4.72E+00	2.14E+00	3.42E+00	1.01E+00
V32	5.16E-01	6.86E-01	2.05E+00	0.00E+00	0.00E+00	1.54E+00	9.07E-01	2.18E+00	3.08E+00	2.75E+00	7.18E-01	2.07E+00	7.42E-01
V33	5.66E+00	5.05E+00	3.05E+00	3.42E-01	6.84E-01	8.62E+00	2.41E+00	2.15E+00	6.57E-01	8.50E+00	7.15E+00	6.31E+00	7.45E+00
V34	2.97E+00	5.14E+00	9.68E-01	7.81E-01	1.74E+00	1.91E+01	6.18E-01	7.22E-01	0.00E+00	7.76E+00	1.37E+01	1.76E+01	2.18E+00
V35	1.61E+00	7.77E-01	8.06E-01	9.33E-01	8.43E-01	2.94E+00	0.00E+00	4.52E+00	8.59E+00	5.73E+00	2.92E+00	4.24E+00	7.13E+00
V36	2.80E+00	1.59E+00	8.33E-01	5.43E-01	5.62E-01	6.54E+00	0.00E+00	0.00E+00	0.00E+00	4.75E+00	5.70E+00	1.61E+00	2.67E+00
V37	7.29E+00	1.27E+00	1.00E+01	9.52E-01	7.22E-01	3.97E+00	1.25E+01	5.05E+00	5.97E+00	9.52E+00	3.77E+00	7.02E+00	8.04E+00
V38	4.23E-01	0.00E+00	9.87E-01	1.25E+00	9.12E-01	5.90E+00	0.00E+00	6.84E-01	1.05E+00	4.15E+00	2.05E+00	5.59E-01	3.67E-01
V39	1.54E+00	1.97E+00	6.64E+00	0.00E+00	0.00E+00	9.89E-01	7.12E+00	4.16E+00	3.38E+00	1.94E+00	2.61E+00	4.53E+00	2.63E+00
V40	1.91E+00	1.12E+00	0.00E+00	3.52E+00	2.60E+00	1.73E+00	0.00E+00	2.00E-01	9.32E-01	1.72E+00	2.04E+00	1.90E+00	1.71E+00
V41	0.00E+00	5.53E+00	1.47E+00	1.21E+01	1.27E+01	6.50E+00	0.00E+00	3.64E+00	5.28E+00	6.21E+00	6.96E+00	3.30E+00	1.00E+00
V42	7.45E-01	9.89E-01	7.62E+00	2.49E+00	1.68E+00	5.93E-01	5.85E+00	1.05E+00	1.97E+00	1.46E+00	4.01E-01	6.37E+00	7.52E-01
V43	1.38E+00	3.33E-01	0.00E+00	1.50E+00	2.49E+00	1.09E+00	0.00E+00	0.00E+00	0.00E+00	1.19E+00	3.06E-01	1.53E-01	1.08E+00
V44	9.98E-01	2.40E+00	5.00E+00	7.18E-01	7.19E-01	6.00E-01	2.05E+00	6.78E+00	9.49E+00	5.17E+00	2.24E+00	5.92E+00	3.35E+00
V45	2.24E-01	0.00E+00	0.00E+00	7.00E-01	2.98E-01	1.46E+00	0.00E+00	1.32E+00	2.19E+00	2.26E+00	1.14E+00	6.40E-01	1.41E+00
V46	3.94E-01	1.51E+00	0.00E+00	1.15E+00	1.16E+00	7.83E+00	0.00E+00	8.17E-01	1.52E+00	6.35E+00	4.70E+00	3.62E+00	9.21E-01
V47	0.00E+00	2.71E+00	5.41E+00	4.52E-01	5.97E-01	2.59E+00	4.20E+00	0.00E+00	0.00E+00	1.07E+00	4.91E+00	5.82E+00	0.00E+00
V48	3.75E+00	3.21E+00	1.82E+01	3.78E+00	2.74E+00	1.71E+00	2.01E+01	3.19E+00	3.86E+00	1.51E+00	4.14E+00	3.98E+00	4.31E+00
V49	9.52E+00	2.31E+00	9.07E-01	1.55E+00	1.64E+00	4.06E+00	8.47E-01	8.84E-01	1.27E+00	2.67E+00	3.01E+00	1.80E+00	1.02E+01
V50	4.68E+00	1.88E+00	4.19E+00	1.33E+00	1.82E+00	2.03E+00	4.34E+00	2.46E+00	2.85E+00	3.29E+00	8.70E-01	2.16E+00	5.49E+00
V51	2.21E-01	5.62E-01	1.09E+01	2.60E+00	2.06E+00	3.70E+00	1.17E+01	8.52E+00	7.38E+00	8.78E+00	2.92E+00	3.17E+00	3.00E-01
V52	2.78E+00	9.91E-01	4.50E+00	0.00E+00	0.00E+00	1.74E+00	8.06E-01	6.00E-01	0.00E+00	1.27E+00	6.05E-01	4.46E+00	4.28E+00
V53	0.00E+00	3.50E+00	0.00E+00	1.86E+00	3.93E+00	2.52E+00	0.00E+00	6.83E+00	7.43E+00	4.70E+00	1.93E+00	4.59E+00	2.63E+00
V54	2.71E+00	4.49E+00	4.99E-01	2.71E+00	3.51E+00	6.34E+00	0.00E+00	1.54E+01	2.05E+01	1.19E+01	7.28E+00	1.28E+01	1.36E+01
V55	8.49E-01	2.07E+00	2.82E+01	3.06E-01	4.58E-01	5.49E+00	2.39E+01	4.47E+00	6.59E+00	1.14E+01	5.57E+00	2.44E+01	5.70E+00
V56	2.35E+00	4.06E+00	4.82E-01	0.00E+00	0.00E+00	1.14E+00	6.63E-01	3.77E+00	1.97E+00	1.54E+00	3.84E+00	3.03E+00	1.94E+00
V57	3.94E-01	2.12E+00	0.00E+00	8.46E-01	4.00E-01	2.29E+00	0.00E+00	2.24E+00	7.86E-01	2.30E+00	1.42E+00	3.45E+00	8.69E-01
V58	2.86E+00	4.00E-01	2.91E+00	8.75E-01	4.27E-01	6.16E-01	2.53E+00	0.00E+00	0.00E+00	0.00E+00	9.33E-01	3.61E+00	2.30E+00
V59	1.09E+00	0.00E+00	1.53E+00	4.76E-01	3.71E-01	6.40E-01	1.65E+00	1.05E+00	2.69E-01	6.05E-01	5.37E-01	1.41E+00	1.77E+00
V60	7.95E-01	2.49E-01	2.32E+00	0.00E+00	2.91E-01	4.52E-01	3.12E+00	0.00E+00	2.13E-01	0.00E+00	3.00E-01	9.17E-01	1.10E+00
V61	1.33E+00	0.00E+00	1.99E+01	0.00E+00	3.59E-01	0.00E+00	1.83E+01	2.59E+00	2.11E+00	1.00E+00	1.00E-01	1.36E+01	3.06E-01
V62	2.06E+00	5.44E+00	9.83E-01	0.00E+00	0.00E+00	4.20E+00	6.53E-01	1.30E+00	1.48E+00	1.85E+00	7.31E+00	2.19E+00	2.48E+00
V63	2.37E+00	5.37E+00	4.52E+00	7.27E-01	1.78E+00	1.00E+00	3.16E+00	2.40E+00	0.00E+00	8.00E-01	7.38E+00	3.37E+00	1.11E+00
V64	9.40E-01	1.10E+00	1.49E+01	6.53E-01	5.81E-01	6.18E-01	1.70E+01	1.45E+00	1.52E+00	2.67E-01	0.00E+00	6.14E+00	1.02E+00
V65	6.87E-01	4.52E-01	5.11E+00	0.00E+00	3.96E-01	1.61E+01	4.40E+00	7.57E-01	0.00E+00	1.08E+01	1.74E+01	4.22E+00	0.00E+00
V66	3.32E+00	1.04E+00	8.83E-01	0.00E+00	3.59E-01	1.34E+00	0.00E+00	1.70E+00	6.26E+00	1.93E+00	1.98E+00	3.04E+00	4.57E+00
V67	1.21E+00	4.21E+00	3.98E+00	4.77E-01	4.96E-01	1.08E+01	3.31E+00	9.78E-01	2.25E+00	1.04E+01	1.03E+01	3.99E+00	1.32E+00
V68	3.47E+00	6.33E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.47E+00	2.25E+00	1.26E+00	1.01E+00	1.20E+00	4.38E+00
