MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
3:Del:R:5	4.39E-05	3.36E-08	4.54E-08	1.54E-04	9.87E-08	1.43E-07	4.24E-08	5.87E-09	1.56E-07	1.29E-03	1.01E-03	0.00E+00	9.30E-09	6.93E-04	3.97E-04	5.00E-08
4:Del:R:0	3.20E-08	2.64E-04	3.49E-08	1.33E-04	7.61E-04	9.22E-04	7.16E-08	3.40E-03	3.66E-04	2.51E-03	0.00E+00	0.00E+00	1.27E-02	2.50E-03	3.52E-08	3.53E-04
4:Del:R:1	1.32E-08	6.17E-04	9.17E-05	0.00E+00	1.36E-03	9.27E-04	7.03E-04	7.49E-04	2.07E-03	3.41E-04	2.15E-03	6.93E-03	6.70E-04	3.21E-03	6.30E-04	5.92E-07
4:Del:R:2	0.00E+00	1.35E-04	3.47E-05	0.00E+00	4.47E-04	1.09E-04	2.02E-04	2.75E-04	1.04E-03	1.20E-03	3.17E-03	0.00E+00	1.16E-03	7.61E-04	2.40E-04	4.42E-07
4:Del:R:3	9.67E-09	3.10E-08	1.22E-08	1.61E-08	5.49E-08	3.57E-08	7.40E-08	4.83E-08	8.24E-08	2.52E-07	1.17E-07	1.62E-07	1.55E-07	1.79E-07	2.00E-07	3.33E-07
4:Del:R:4	9.67E-09	3.10E-08	1.22E-08	1.61E-08	5.49E-08	3.57E-08	7.40E-08	4.83E-08	8.24E-08	2.52E-07	1.17E-07	1.62E-07	1.55E-07	1.79E-07	2.00E-07	3.33E-07
4:Del:R:5	9.67E-09	3.10E-08	1.22E-08	1.61E-08	5.49E-08	3.57E-08	7.40E-08	4.83E-08	8.24E-08	2.52E-07	1.17E-07	1.62E-07	1.55E-07	1.79E-07	2.00E-07	3.33E-07
5:Del:R:0	1.14E-06	3.84E-04	1.47E-04	8.39E-04	0.00E+00	0.00E+00	2.10E-02	3.31E-02	1.92E-03	3.34E-02	0.00E+00	3.25E-03	9.40E-04	5.04E-02	2.45E-07	3.41E-03
5:Del:R:1	3.51E-05	5.86E-04	0.00E+00	0.00E+00	2.19E-08	6.28E-04	1.41E-03	7.75E-06	2.82E-03	1.29E-04	4.48E-03	1.36E-03	1.58E-03	6.47E-04	3.60E-03	1.74E-04
5:Del:R:2	1.00E-06	9.21E-09	6.28E-05	1.50E-04	1.64E-08	2.26E-04	1.78E-04	1.40E-46	7.88E-08	1.27E-06	1.50E-03	7.87E-05	1.90E-03	6.15E-05	6.63E-04	1.87E-03
5:Del:R:3	2.05E-08	2.04E-08	3.99E-08	1.20E-07	8.86E-08	9.20E-05	2.82E-07	2.49E-08	2.23E-07	3.40E-04	3.89E-04	4.25E-04	2.29E-04	1.43E-04	4.40E-04	3.17E-04
5:Del:R:4	2.77E-08	2.33E-08	3.56E-08	6.33E-08	9.02E-08	1.79E-06	9.92E-08	5.26E-08	1.01E-07	2.40E-07	9.50E-05	5.11E-04	1.37E-04	1.95E-07	1.89E-07	2.11E-04
5:Del:R:5	2.47E-08	2.12E-08	5.20E-08	2.11E-08	7.26E-08	4.73E-07	1.75E-07	3.07E-04	1.38E-04	2.85E-04	7.66E-08	5.82E-07	1.31E-07	8.54E-05	2.18E-04	3.52E-07
2:Ins:R:0	0.00E+00	1.09E-04	0.00E+00	2.52E-04	0.00E+00	0.00E+00	2.77E-08	2.37E-03	1.00E-03	1.36E-03	1.40E-03	8.10E-04	6.30E-03	2.80E-46	3.93E-04	9.02E-04
2:Ins:R:1	0.00E+00	0.00E+00	1.11E-04	0.00E+00	0.00E+00	7.11E-04	5.87E-04	7.65E-05	1.09E-06	2.47E-03	8.71E-04	1.93E-03	5.48E-03	1.22E-03	8.23E-04	1.13E-03
2:Ins:R:2	0.00E+00	4.89E-04	0.00E+00	2.87E-03	3.13E-04	1.92E-03	9.66E-04	1.25E-04	1.64E-03	0.00E+00	1.54E-02	2.53E-03	8.43E-04	3.03E-03	1.09E-03	6.14E-03
2:Ins:R:3	1.49E-05	6.60E-05	3.90E-08	1.45E-04	2.25E-05	0.00E+00	2.21E-07	3.90E-04	7.34E-08	1.84E-03	2.08E-04	7.66E-04	2.58E-04	1.60E-04	2.12E-08	5.97E-04
2:Ins:R:4	2.67E-04	1.03E-03	7.36E-05	2.24E-08	9.20E-08	9.95E-05	5.52E-09	3.53E-04	5.17E-03	2.23E-07	1.67E-03	8.70E-03	6.94E-04	1.37E-03	3.80E-03	5.80E-03
2:Ins:R:5	1.97E-03	1.50E-03	1.17E-04	8.37E-09	1.94E-08	0.00E+00	1.02E-25	1.68E-08	1.53E-02	6.37E-08	4.15E-07	1.28E-02	1.54E-03	4.96E-03	5.10E-02	5.76E-02
3:Ins:R:0	8.24E-09	3.25E-05	3.13E-08	2.33E-08	1.55E-07	1.60E-04	2.80E-46	6.63E-04	7.44E-08	3.92E-04	3.70E-04	5.28E-08	5.06E-04	2.09E-07	1.06E-04	4.74E-07
3:Ins:R:1	5.74E-09	4.17E-04	3.15E-08	1.20E-07	7.37E-08	9.03E-08	1.28E-05	1.62E-08	1.36E-03	4.39E-08	1.89E-03	9.75E-08	1.79E-07	1.02E-07	2.31E-07	4.41E-03
3:Ins:R:2	2.19E-08	5.55E-08	6.04E-03	3.01E-07	9.74E-08	8.66E-46	4.24E-07	3.76E-06	2.99E-02	5.92E-07	1.59E-02	1.61E-06	2.11E-06	1.13E-01	1.41E-02	8.08E-07
3:Ins:R:3	1.99E-08	2.90E-08	6.44E-05	3.48E-08	6.81E-08	4.25E-08	2.94E-04	3.01E-08	9.46E-08	5.29E-04	5.20E-08	1.82E-07	1.69E-07	1.50E-04	3.15E-04	2.78E-07
3:Ins:R:4	3.32E-08	1.39E-07	6.61E-05	5.27E-03	0.00E+00	1.40E-46	0.00E+00	0.00E+00	2.97E-04	1.40E-46	2.55E-02	1.21E-03	0.00E+00	2.61E-04	1.68E-03	1.02E-02
3:Ins:R:5	0.00E+00	3.06E-04	4.35E-03	1.13E-08	3.89E-04	0.00E+00	3.44E-04	0.00E+00	6.64E-04	1.55E-02	2.76E-03	4.41E-04	0.00E+00	3.49E-02	9.79E-03	1.94E-02
4:Ins:R:0	8.05E-05	8.58E-05	7.53E-09	0.00E+00	2.11E-04	3.10E-08	2.78E-05	0.00E+00	6.13E-05	4.84E-04	1.41E-07	7.25E-04	1.50E-03	5.96E-08	2.60E-06	9.98E-05
4:Ins:R:1	8.43E-05	7.86E-09	0.00E+00	2.13E-04	3.56E-04	9.32E-04	8.48E-04	1.06E-03	5.23E-08	1.22E-03	4.51E-05	0.00E+00	2.05E-03	8.86E-04	8.59E-04	1.50E-03
4:Ins:R:2	9.67E-09	3.10E-08	1.22E-08	1.61E-08	5.49E-08	3.57E-08	7.40E-08	4.83E-08	8.24E-08	2.52E-07	1.17E-07	1.62E-07	1.55E-07	1.79E-07	2.00E-07	3.33E-07
4:Ins:R:3	1.86E-05	1.91E-08	3.72E-08	3.49E-07	4.67E-08	2.56E-08	7.93E-08	1.26E-04	7.30E-08	1.78E-07	3.21E-04	1.97E-07	1.93E-04	1.44E-07	3.70E-04	7.59E-07
4:Ins:R:4	7.49E-05	1.75E-04	3.67E-08	2.64E-08	1.74E-04	6.67E-09	4.41E-04	2.83E-04	8.20E-05	1.31E-04	1.95E-04	1.86E-04	4.64E-04	1.21E-08	1.32E-07	5.45E-04
