Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V1	0.00E+00	2.45E+00	1.20E+00	9.71E-01	1.49E+00	9.55E-01	7.18E-01	0.00E+00	0.00E+00
V2	1.38E+00	1.56E+00	9.40E-01	1.95E+00	2.43E+00	1.89E+00	1.59E+00	5.59E-01	0.00E+00
V3	1.92E+00	4.33E-01	1.17E+01	0.00E+00	0.00E+00	5.57E+00	1.49E+01	1.84E+00	3.44E+00
V4	4.71E+00	1.81E+00	1.94E+00	4.06E+00	7.08E+00	6.52E+00	1.50E+01	7.40E+00	8.69E+00
V5	1.54E+00	3.06E+00	2.16E+00	2.78E+00	1.44E+01	1.10E+01	7.72E+00	7.21E+00	5.51E+00
V6	1.43E+00	1.71E+00	1.33E+00	2.21E-01	1.61E+00	1.89E+00	1.00E-01	0.00E+00	1.00E+00
V7	3.18E+00	8.67E-01	9.99E+00	6.70E-01	3.45E+00	3.27E+00	8.29E+00	1.15E+01	7.60E+00
V8	9.69E-01	7.22E-01	8.17E-01	8.82E-01	9.69E+00	9.84E+00	6.78E+00	1.49E+00	3.85E+00
V9	1.17E+00	0.00E+00	0.00E+00	2.65E+00	6.32E+00	6.44E+00	3.62E+00	5.96E-01	2.60E+00
V10	5.12E+00	6.37E-01	9.67E-01	1.75E+00	8.94E-01	1.19E+00	5.84E+00	5.58E-01	0.00E+00
V11	2.64E+00	1.33E-01	0.00E+00	1.71E+00	7.10E+00	7.03E+00	5.78E+00	6.84E-01	4.48E-01
V12	1.99E+00	8.46E-01	2.23E+00	4.27E+00	5.02E+00	4.13E+00	6.49E+00	6.28E+00	5.60E+00
V13	0.00E+00	1.08E+00	9.52E-01	2.05E+00	8.97E-01	7.52E-01	1.79E+00	5.73E-01	3.07E-01
V14	5.39E-01	7.16E-01	4.16E+00	1.94E+00	2.94E+00	2.72E+00	3.05E+00	0.00E+00	2.98E-01
V15	2.43E+00	2.03E+00	1.11E+00	1.86E+00	2.44E+00	1.27E+00	3.70E+00	2.60E+00	6.33E-01
V16	2.49E-01	9.80E-01	9.32E-01	7.67E-01	2.54E+00	2.00E+00	2.05E+00	7.37E-01	6.53E-01
V17	3.27E-01	3.34E+00	1.00E-01	3.31E+00	1.47E+01	1.38E+01	7.72E+00	0.00E+00	0.00E+00
