Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V1	70	6	41	41	43	1	17	0	0	0	0	3
V2	80	11	35	3	47	0	12	1	0	0	7	0
V3	1	10	0	49	0	67	18	7	31	0	1	0
V4	488	38	62	2	21	6	5	0	0	110	65	0
V5	32	17	6	23	7	71	0	33	0	15	0	0
V6	16	47	28	76	30	21	22	8	0	0	0	0
V7	0	2	0	27	22	3	2	21	3	0	29	7
V8	10	18	6	63	101	19	4	190	0	9	0	0
V9	16	11	141	16	10	0	7	4	1	11	0	0
V10	115	20	3	23	28	3	20	21	17	0	10	17
V11	42	63	1	123	22	13	7	33	9	20	0	15
V12	0	24	12	24	28	89	0	10	115	0	100	0
V13	16	32	132	70	115	0	62	14	0	29	0	45
V14	157	0	0	7	0	25	14	2	46	0	1	0
V15	20	18	51	15	11	0	19	22	19	7	0	0
V16	1	0	95	0	49	38	0	0	36	0	0	0
V17	47	19	4	24	19	8	3	31	2	0	10	0
V18	38	6	4	118	29	23	11	131	23	2	66	5
V19	20	79	1	2	2	169	0	0	0	0	0	46
V20	0	45	35	38	28	9	53	0	2	4	0	1
V21	50	11	2	71	14	13	35	47	1	0	14	0
V22	69	6	35	27	18	0	0	3	0	16	0	0
V23	79	17	5	7	0	37	0	4	31	4	1	9
V24	5	1	32	11	60	38	16	1	28	59	0	1
V25	0	0	20	13	10	37	16	17	8	0	7	4
V26	33	11	34	34	40	43	36	0	0	46	0	24
V27	240	0	237	20	258	47	0	8	0	51	41	1
V28	6	346	11	3	3	4	5	3	0	0	73	28
V29	66	2	4	8	0	43	0	2	0	21	0	0
V30	21	2	95	12	33	4	2	6	0	0	0	0
V31	8	0	2	35	0	2	48	0	1	0	0	21
V32	47	51	0	194	11	15	169	31	21	9	0	0
V33	8	26	22	25	38	8	0	18	0	6	0	0
V34	21	15	25	2	20	0	2	1	0	0	0	0
V35	10	77	0	0	0	3	1	3	0	0	28	0
V36	46	7	49	16	59	0	7	3	0	0	2	0
V37	76	23	34	98	43	30	31	0	17	28	0	15
V38	47	37	0	0	0	5	1	0	8	0	37	7
V39	123	155	18	30	19	12	0	6	8	2	41	21
V40	8	155	22	45	26	66	34	0	57	0	0	73
V41	180	63	51	0	33	0	0	0	0	0	0	32
V42	0	0	0	32	16	167	31	29	0	14	0	0
V43	152	118	111	41	38	0	47	1	1	21	5	0
V44	2	0	15	4	11	0	4	1	0	5	0	0
V45	45	34	182	2	42	2	0	9	2	7	4	16
V46	8	7	0	4	3	63	0	0	15	14	0	9
V47	0	86	36	16	16	47	8	5	0	1	21	33
V48	0	129	15	35	26	15	6	22	5	5	0	0
V49	116	0	12	14	16	26	20	6	7	0	0	7
V50	82	15	3	59	6	119	72	0	76	0	31	0
V51	6	0	32	2	30	98	8	34	16	0	0	35
V52	0	0	114	0	148	21	26	0	10	11	0	23
V53	0	28	1	3	0	9	0	0	0	8	0	0
V54	23	31	0	17	0	0	30	9	6	0	0	1
V55	126	0	1	40	0	0	37	8	0	6	11	0
V56	2	20	4	5	2	35	12	10	6	6	0	2
V57	270	36	3	15	12	0	0	12	0	41	67	0
V58	2	12	46	0	0	6	0	1	0	0	1	0
V59	0	17	2	43	37	82	8	25	29	42	0	5
V60	240	26	15	11	19	19	0	1	16	0	23	0
V61	50	18	50	10	9	0	11	0	0	9	22	0
V62	62	4	0	59	9	6	3	82	22	27	0	15
V63	96	76	48	1	40	1	0	4	11	41	0	0
V64	80	165	1	12	6	58	0	8	16	8	19	6
V65	39	0	0	30	13	24	100	63	3	0	0	5
V66	0	226	0	148	20	12	63	45	54	10	0	27
V67	85	40	11	64	2	1	46	0	0	0	19	0
V68	2	10	1	15	20	4	0	21	0	0	7	4
V69	51	10	0	7	2	37	16	0	11	0	24	38
V70	0	2	8	92	6	1	62	0	0	0	0	0
V71	12	6	19	18	17	0	4	12	0	13	0	0
V72	24	15	60	179	17	0	100	12	3	0	0	19
V73	11	3	4	60	21	19	0	55	21	34	0	10
V74	213	93	154	22	172	159	14	73	26	0	4	0
V75	63	0	0	60	4	39	24	0	71	19	0	0
V76	27	0	43	3	66	95	0	0	0	33	0	0
V77	11	26	0	1	0	0	1	0	0	6	24	0
V78	0	18	43	25	39	6	70	12	20	0	0	18
V79	15	27	6	110	67	2	0	60	1	25	0	0
V80	12	16	2	52	1	4	1	91	15	10	28	0
V81	76	78	41	3	34	0	5	0	0	37	0	25
V82	257	45	6	61	69	55	1	93	40	52	0	6
V83	1	11	7	5	0	4	59	36	13	10	0	0
V84	6	136	212	34	84	0	14	21	22	5	0	0
V85	25	184	0	44	2	38	16	7	28	34	29	18
V86	4	0	4	16	9	38	18	4	0	16	0	0
V87	9	82	14	53	3	32	114	0	53	0	0	36
V88	3	190	38	3	38	0	0	7	0	0	17	38
V89	77	5	9	36	0	7	8	0	15	11	0	3
V90	0	5	23	18	26	13	4	38	6	7	0	0
V91	11	2	3	50	11	10	0	30	0	0	0	0
V92	15	5	102	2	31	122	0	0	39	0	33	115
V93	25	6	49	63	45	90	27	0	59	0	20	0
V94	0	76	1	2	6	3	24	0	0	2	21	0
V95	313	67	155	0	59	13	13	0	4	16	35	0
V96	43	30	78	0	28	107	2	3	0	0	13	8
V97	32	10	28	5	51	7	0	0	0	23	0	5
V98	45	8	14	20	16	0	0	1	21	37	0	4
V99	30	147	76	25	15	17	59	4	0	10	10	0
V100	1	0	21	7	19	0	9	0	1	0	0	0
