Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V1	2.66E+00	1.14E+00	3.82E+00	2.54E+00	4.29E+00	1.53E-01	2.32E+00	1.00E-01	1.80E+00	2.13E-01	4.00E-01	1.33E+00
V2	2.02E+00	2.46E+00	4.87E+00	7.37E-01	5.23E+00	0.00E+00	9.87E-01	0.00E+00	6.74E-01	9.45E-01	2.95E+00	5.54E-01
V3	2.60E-01	2.10E+00	0.00E+00	1.99E+00	0.00E+00	6.36E+00	1.97E+00	2.47E+00	3.29E+00	1.16E+00	5.02E+00	2.33E+00
V4	4.72E+01	8.72E+00	3.29E+00	1.05E+00	3.36E+00	3.45E+00	1.64E+00	0.00E+00	1.39E+00	4.85E+01	1.15E+01	3.19E+00
V5	1.78E+00	2.35E+00	7.75E-01	2.50E+00	1.96E+00	4.82E+00	0.00E+00	4.03E+00	4.02E+00	6.10E+00	3.44E+00	3.38E+00
V6	1.22E+00	1.89E+00	4.28E+00	2.38E+00	3.70E+00	2.56E+00	3.52E+00	1.49E+00	7.48E-01	1.29E+00	1.43E+00	2.10E+00
V7	1.67E-01	3.24E+00	0.00E+00	2.75E+00	2.87E+00	1.49E+00	7.48E-01	3.02E+00	2.07E+00	1.26E+00	4.09E+00	2.44E+00
V8	1.76E+00	2.35E+00	1.07E+00	9.01E+00	1.18E+01	2.71E+00	2.14E+00	1.78E+01	3.89E+00	5.10E+00	1.89E+00	7.13E+00
V9	3.01E+00	1.58E+00	2.60E+00	1.54E+00	3.34E+00	2.67E-01	1.09E+00	1.02E+00	5.12E-01	2.24E+00	1.12E+00	1.78E+00
V10	5.05E+00	3.06E+00	7.57E-01	2.36E+00	1.99E+00	1.73E+00	5.39E+00	4.41E+00	3.33E+00	5.94E+00	5.24E+00	2.56E+00
V11	3.13E+00	4.48E+00	8.62E-01	3.42E+00	3.64E+00	1.92E+00	1.91E+00	5.64E+00	3.10E+00	3.64E+00	6.91E+00	4.93E+00
V12	4.42E-01	9.15E+00	1.30E+00	2.39E+00	2.37E+00	2.45E+01	5.26E-01	5.23E+00	2.46E+01	2.90E+00	1.62E+01	5.06E+00
