NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	86.697	34.302	22.397	23.613	0.211	0.96	50000.0
2	86.126	33.838	21.464	22.759	0.206	0.963	30000.0
3	87.11	33.589	21.921	22.723	0.199	0.963	30000.0
4	85.31	33.381	21.305	22.346	0.2	0.966	50000.0
5	85.433	33.088	21.578	22.681	0.196	0.965	20000.0
6	85.712	33.305	22.267	22.951	0.199	0.963	30000.0
7	84.539	32.461	21.418	22.044	0.194	0.965	30000.0
8	85.289	34.142	21.73	23.543	0.213	0.961	20000.0
9	87.72	34.467	22.185	23.302	0.207	0.964	40000.0
10	84.344	33.02	21.261	22.162	0.207	0.965	40000.0
