Samples	ID83A	ID83B	ID83C
V1	2.11E+00	1.42E+00	9.80E-01
V2	2.55E+00	1.64E+00	2.41E+00
V3	2.30E+00	2.22E+00	2.98E-01
V4	6.16E-01	5.73E-01	9.07E-01
V5	2.95E+00	2.78E+00	5.12E+00
V6	6.60E+00	6.96E+00	3.09E+00
V7	2.56E+00	2.41E+00	4.71E-01
V8	1.51E+00	1.83E+00	8.41E-01
V9	3.26E+00	2.49E+00	1.30E+00
V10	3.69E+00	3.04E+00	3.81E+00
V11	1.90E+00	1.90E+00	0.00E+00
V12	3.00E+00	3.63E+00	4.00E+00
V13	2.60E+00	2.13E-01	2.54E+00
V14	2.39E+00	7.61E-01	2.18E+00
V15	3.29E+00	3.48E+00	2.91E+00
V16	1.58E+00	1.02E+00	8.03E-01
V17	5.60E+00	1.68E+00	4.83E+00
V18	5.05E+00	3.02E+00	2.91E+00
V19	1.21E+00	9.00E-01	7.42E-01
V20	2.89E+00	2.12E+00	1.09E+00
V21	2.95E+00	2.19E+00	3.90E+00
V22	1.12E+00	1.11E+00	7.63E-01
V23	1.35E+01	1.32E+01	2.15E+00
V24	3.63E+00	4.66E+00	3.85E+00
V25	1.93E+00	9.94E-01	1.49E+00
V26	2.10E+00	2.10E+00	0.00E+00
V27	5.71E+00	5.64E+00	8.92E-01
V28	2.39E+00	1.61E+00	3.38E+00
V29	2.02E+00	7.42E-01	1.73E+00
V30	1.55E+00	2.90E+00	2.73E+00
V31	2.02E+00	1.28E+00	2.26E+00
V32	2.02E+01	2.05E+01	1.05E+00
V33	3.97E+00	3.55E+00	1.21E+00
V34	3.30E+00	3.21E+00	8.57E-01
V35	1.05E+00	1.70E+00	1.48E+00
V36	2.59E+00	2.50E+00	9.67E-01
V37	1.83E+00	1.61E+00	7.61E-01
V38	1.26E+00	1.26E+00	0.00E+00
V39	1.17E+00	1.75E+00	8.31E-01
V40	4.45E+00	3.75E+00	1.54E+00
V41	1.46E+00	1.35E+00	2.98E-01
V42	9.55E+00	8.24E+00	3.05E+00
V43	3.64E+00	1.06E+00	3.47E+00
V44	2.99E+00	3.07E+00	1.09E+00
V45	5.85E+00	5.78E+00	1.41E+00
V46	4.23E+00	3.26E+00	2.96E+00
V47	7.49E+00	7.08E+00	7.34E-01
V48	1.81E+00	1.83E+00	5.21E-01
V49	2.73E+00	2.73E+00	0.00E+00
V50	3.16E+00	1.67E+00	2.26E+00
V51	2.37E+00	0.00E+00	2.37E+00
V52	2.51E+00	2.54E+00	8.44E-01
V53	2.58E+00	1.84E+00	1.25E+00
V54	2.22E+00	8.67E-01	2.12E+00
V55	2.80E+00	2.80E+00	0.00E+00
V56	3.07E+00	3.18E+00	5.67E-01
V57	6.80E-01	0.00E+00	6.80E-01
V58	2.36E+00	2.62E+00	2.45E+00
V59	4.70E+00	5.72E+00	2.15E+00
V60	3.78E+00	0.00E+00	3.78E+00
V61	2.16E+00	2.33E+00	1.08E+00
V62	1.48E+01	1.56E+01	2.73E+00
V63	5.84E+00	1.46E+00	6.53E+00
V64	4.67E+00	3.98E+00	1.21E+00
V65	2.50E+00	1.80E+00	1.80E+00
V66	6.24E+00	5.68E+00	2.69E+00
V67	2.50E+00	2.51E+00	6.96E-01
V68	7.63E+00	7.71E+00	1.87E+00
V69	2.24E+00	1.57E+00	1.22E+00
V70	3.88E+00	3.87E+00	5.12E-01
V71	5.22E+00	4.97E+00	2.06E+00
V72	3.83E+00	2.28E+00	2.51E+00
V73	2.37E+01	2.40E+01	2.90E+00
V74	1.89E+01	1.78E+01	2.27E+00
V75	2.81E+00	3.31E+00	3.66E+00
V76	1.68E+00	3.79E-01	1.56E+00
V77	1.72E+00	1.48E+00	7.16E-01
V78	7.72E-01	1.27E+00	8.83E-01
V79	5.67E+00	3.74E+00	3.76E+00
V80	3.97E+00	4.28E+00	2.31E+00
V81	1.18E+00	1.26E+00	1.70E+00
V82	4.03E+00	7.90E-01	3.83E+00
V83	2.00E+01	1.96E+01	1.12E+00
V84	6.90E-01	5.00E-01	5.39E-01
V85	2.22E+00	1.28E+00	1.39E+00
V86	1.40E+00	1.61E+00	9.68E-01
V87	3.03E+00	3.62E+00	1.48E+00
V88	9.55E-01	1.24E+00	7.72E-01
V89	3.16E+00	1.63E+00	3.24E+00
V90	7.95E-01	1.12E+00	8.44E-01
V91	2.37E+00	2.15E+00	1.43E+00
V92	2.43E+00	1.81E+00	2.11E+00
V93	2.38E+00	2.35E+00	4.52E-01
V94	2.00E-01	5.51E+00	5.38E+00
V95	8.72E-01	7.92E-01	4.42E-01
V96	7.27E+00	1.58E+00	7.41E+00
V97	2.66E+00	1.96E+00	1.43E+00
V98	4.00E+00	3.95E+00	2.05E+00
V99	2.01E+00	1.87E+00	6.18E-01
V100	2.27E+00	2.27E+00	0.00E+00
