Samples	ID1	ID2	ID8	ID9	ID83A	ID83E
V1	0	0	0	166	0	0
V2	0	0	201	53	42	28
V3	53	0	60	119	0	0
V4	44	48	0	0	89	188
V5	0	158	0	0	258	30
V6	0	48	0	207	0	0
V7	138	46	0	0	0	0
V8	0	0	129	81	0	49
V9	0	0	33	72	71	39
V10	18	23	92	70	29	0
V11	0	23	0	0	41	211
V12	28	0	152	0	0	77
V13	45	90	275	0	129	116
V14	27	110	39	45	0	0
V15	0	0	141	0	0	0
V16	0	0	0	19	10	72
V17	0	71	0	36	0	22
V18	25	0	0	158	0	75
V19	14	44	0	0	8	0
V20	128	0	38	0	74	0
V21	20	0	136	0	41	15
V22	0	0	0	0	655	0
V23	0	0	0	0	245	175
V24	0	0	30	0	27	0
V25	0	0	85	88	0	24
V26	0	0	0	0	499	0
V27	12	24	129	29	0	0
V28	96	15	0	33	94	38
V29	120	27	0	0	100	0
V30	113	26	175	45	0	0
V31	0	0	70	0	0	0
V32	73	62	143	206	0	0
V33	27	0	33	0	51	10
V34	456	0	0	0	0	58
V35	0	42	0	0	40	25
V36	60	13	42	68	36	31
V37	0	0	0	0	31	16
V38	17	31	0	0	24	12
V39	0	0	161	0	45	77
V40	0	90	67	0	18	50
V41	26	18	14	0	0	7
V42	0	111	0	0	0	41
V43	195	238	0	0	125	71
V44	0	38	0	451	72	0
V45	69	0	131	0	0	0
V46	0	0	27	0	12	41
V47	33	35	53	145	0	0
V48	104	28	0	0	0	106
V49	47	0	78	70	197	80
V50	0	0	0	0	59	62
V51	33	0	157	375	0	0
V52	0	34	49	381	46	0
V53	59	0	0	332	122	112
V54	0	128	66	0	29	38
V55	0	57	0	265	0	321
V56	52	16	0	29	0	0
V57	34	17	97	0	53	20
V58	70	0	55	0	88	61
V59	261	0	0	0	155	57
V60	140	0	0	0	0	0
V61	0	61	0	47	0	76
V62	47	190	0	0	148	0
V63	18	0	102	0	0	72
V64	0	0	40	0	0	81
V65	71	0	25	0	39	11
V66	87	214	0	0	80	0
V67	157	23	40	41	30	0
V68	0	33	0	0	0	16
V69	52	103	26	0	18	0
V70	0	71	0	100	0	247
V71	76	0	0	163	140	73
V72	131	0	0	0	234	0
V73	43	0	264	134	27	0
V74	10	0	0	79	0	0
V75	53	0	0	0	11	0
V76	0	60	352	82	0	0
V77	176	0	65	0	125	223
V78	193	0	0	84	314	0
V79	75	0	126	0	139	48
V80	446	0	0	0	278	0
V81	72	26	138	91	44	26
V82	0	25	0	0	233	0
V83	0	0	78	0	85	18
V84	0	0	0	0	0	160
V85	61	0	0	177	45	0
V86	0	0	139	66	150	35
V87	141	64	0	0	526	0
V88	18	74	0	0	78	0
V89	93	33	0	0	0	76
V90	35	104	0	0	222	43
V91	39	0	73	0	39	45
V92	66	0	0	76	84	232
V93	93	0	0	0	0	58
V94	28	0	0	73	0	128
V95	170	0	0	244	0	0
V96	21	0	0	34	133	33
V97	37	198	0	0	0	0
V98	0	199	0	0	30	0
V99	59	19	0	41	125	0
V100	0	475	0	0	181	0
