Samples	ID83A	ID83B	ID83C	ID83D
V1	2.76E+00	9.35E+00	2.88E+00	1.18E+01
V2	3.58E+01	3.81E+00	3.27E+00	3.60E+01
V3	3.49E+00	7.54E+00	3.47E+00	7.63E+00
V4	1.50E+01	5.33E-01	9.83E-01	1.47E+01
V5	4.75E+00	2.92E+00	8.09E-01	4.64E+00
V6	1.35E+01	2.49E+01	9.64E-01	2.01E+01
V7	3.23E+00	5.45E+00	0.00E+00	6.16E+00
V8	8.17E+00	4.03E+00	3.14E-01	6.40E+00
V9	7.00E-01	9.30E+00	2.06E+00	1.02E+01
V10	1.67E+01	3.33E-01	9.98E-01	1.66E+01
V11	8.97E+00	3.64E+00	1.11E+00	1.04E+01
V12	2.07E+00	2.40E+00	2.26E+00	3.89E-01
V13	1.29E+01	1.94E+00	3.02E+00	1.42E+01
V14	0.00E+00	6.11E+00	2.40E+00	6.57E+00
V15	1.56E+01	3.33E+00	1.36E+00	1.53E+01
V16	5.36E+00	2.44E+00	1.57E+00	5.46E+00
V17	2.14E+01	9.89E-01	3.14E-01	2.15E+01
V18	5.88E+00	1.43E+00	0.00E+00	4.58E+00
V19	3.65E+01	1.00E+00	9.55E-01	3.72E+01
V20	2.38E+00	2.79E+00	1.79E+00	3.00E+00
V21	8.56E+00	2.97E+00	7.94E+00	1.18E+01
V22	4.16E+00	1.96E+00	2.44E+00	1.89E+00
V23	7.90E-01	1.97E+00	4.07E-01	1.85E+00
V24	1.68E+01	1.99E+00	0.00E+00	1.76E+01
V25	4.16E+00	4.35E+00	6.06E+00	3.37E+00
V26	6.57E+00	5.84E+00	1.92E+00	5.14E+00
V27	1.71E+00	0.00E+00	1.65E+00	1.67E+00
V28	2.82E+01	6.95E+00	1.17E+00	2.21E+01
V29	1.07E+00	8.85E+00	1.03E+00	9.55E+00
V30	5.34E+00	5.28E+00	1.20E+00	5.90E+00
V31	1.44E+01	2.36E+00	0.00E+00	1.29E+01
V32	2.46E+00	2.21E-01	1.66E+00	2.60E+00
V33	1.06E+01	6.74E-01	5.37E-01	1.08E+01
V34	3.31E+00	1.31E+01	2.33E-01	1.23E+01
V35	4.48E+00	9.91E+00	7.27E-01	9.00E+00
V36	1.78E+00	7.56E+00	3.90E+00	8.72E+00
V37	5.56E+00	4.73E+01	9.55E-01	4.52E+01
V38	1.25E+01	2.26E+01	3.63E+00	2.54E+01
V39	1.09E+00	4.40E+00	4.56E+00	1.31E+00
V40	2.44E+01	6.57E+00	2.02E+00	2.54E+01
