MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
4:Ins:R:5	3.97E-10	1.17E-09	4.02E-08	2.32E-08	1.80E-09	1.23E-10	1.49E-08
5:Ins:R:0	3.74E-06	3.68E-04	3.41E-03	4.15E-03	4.84E-04	1.03E-04	2.93E-03
5:Ins:R:1	2.34E-11	6.04E-06	2.14E-05	6.50E-05	2.27E-05	1.99E-09	8.41E-05
5:Ins:R:2	4.75E-10	2.50E-06	3.75E-08	4.98E-08	5.93E-10	3.58E-09	3.77E-08
5:Ins:R:3	3.97E-10	1.17E-09	4.02E-08	2.32E-08	1.80E-09	1.23E-10	1.49E-08
5:Ins:R:4	3.97E-10	1.17E-09	4.02E-08	2.32E-08	1.80E-09	1.23E-10	1.49E-08
5:Ins:R:5	3.97E-10	1.17E-09	4.02E-08	2.32E-08	1.80E-09	1.23E-10	1.49E-08
2:Del:M:1	1.02E-04	1.59E-04	2.93E-03	1.73E-03	2.44E-04	4.87E-05	1.76E-03
3:Del:M:1	4.80E-06	2.66E-05	6.65E-04	1.01E-03	1.99E-04	3.92E-05	6.15E-04
3:Del:M:2	8.46E-05	7.41E-05	2.04E-03	1.41E-03	2.25E-04	5.71E-05	1.01E-03
4:Del:M:1	1.94E-05	1.52E-05	6.55E-04	6.48E-04	1.76E-04	1.29E-09	3.18E-04
4:Del:M:2	2.82E-05	8.99E-05	1.04E-03	7.10E-04	2.11E-04	1.20E-09	8.27E-04
4:Del:M:3	6.08E-05	7.34E-05	1.90E-03	1.25E-03	2.49E-04	7.83E-05	1.53E-03
5:Del:M:1	3.17E-05	2.75E-04	2.64E-03	5.78E-03	1.20E-03	4.59E-05	1.39E-03
5:Del:M:2	2.99E-05	4.02E-04	4.52E-04	1.84E-03	1.95E-03	7.81E-05	1.12E-03
5:Del:M:3	2.85E-05	1.45E-05	5.74E-04	7.10E-04	1.71E-03	7.76E-05	9.89E-04
5:Del:M:4	1.07E-05	1.36E-04	2.14E-04	2.49E-04	1.15E-03	9.26E-10	5.74E-04
5:Del:M:5	5.94E-05	1.91E-04	5.58E-04	6.31E-04	9.80E-04	5.34E-05	1.25E-03
