NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	218.821	76.657	76.297	59.833	0.487	0.779	20000.0
2	221.89	77.603	77.461	60.693	0.486	0.775	40000.0
3	228.974	77.748	81.735	61.228	0.506	0.767	20000.0
4	224.354	77.268	78.719	59.903	0.498	0.782	30000.0
5	218.515	76.577	77.583	60.56	0.485	0.776	30000.0
6	221.942	77.061	78.318	60.697	0.496	0.776	20000.0
7	222.746	76.804	79.309	60.406	0.488	0.778	30000.0
8	221.892	77.452	78.167	60.808	0.5	0.772	30000.0
9	223.193	78.239	78.454	60.79	0.499	0.773	30000.0
10	223.075	77.984	78.312	61.209	0.498	0.771	40000.0
