MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Del:C:0	4.94E-03	5.61E-07	5.04E-03	7.80E-04	4.53E-03	4.62E-02	9.75E-03	3.85E-07	4.21E-02	4.86E-02	3.91E-03	2.16E-02
1:Del:C:1	4.78E-04	7.24E-04	4.72E-03	2.23E-03	2.32E-03	1.43E-02	0.00E+00	7.13E-03	2.20E-02	4.49E-02	9.71E-03	2.79E-03
1:Del:C:2	2.67E-04	0.00E+00	8.37E-04	2.80E-04	4.02E-04	8.50E-04	3.95E-04	2.77E-04	4.93E-03	3.38E-03	1.19E-02	1.05E-03
1:Del:C:3	5.97E-04	1.87E-04	8.58E-04	5.10E-04	8.72E-04	3.20E-03	8.83E-04	4.49E-03	1.19E-02	6.12E-03	4.89E-03	6.27E-03
1:Del:C:4	1.00E-03	1.92E-08	1.18E-07	1.14E-03	1.29E-03	2.82E-03	1.92E-03	1.67E-07	5.74E-04	1.23E-02	9.51E-04	6.69E-03
1:Del:C:5	2.23E-04	8.75E-05	2.16E-04	1.57E-03	3.97E-03	8.58E-05	4.02E-03	8.30E-03	1.91E-03	7.23E-03	7.21E-03	4.57E-03
1:Del:T:0	9.45E-03	5.81E-04	3.90E-03	5.38E-03	2.06E-03	2.32E-02	8.92E-03	1.33E-02	2.05E-02	1.90E-02	4.78E-03	4.29E-02
1:Del:T:1	2.86E-03	1.35E-04	1.32E-03	1.25E-07	8.95E-04	6.45E-03	1.11E-03	4.93E-05	1.55E-02	2.24E-02	1.16E-03	7.53E-03
1:Del:T:2	4.38E-03	1.10E-03	1.40E-03	4.90E-03	6.50E-04	1.42E-02	1.78E-03	1.68E-03	3.67E-02	2.42E-02	7.53E-04	5.21E-03
1:Del:T:3	2.18E-02	1.18E-03	1.87E-46	4.87E-03	2.22E-03	2.29E-02	1.62E-02	1.75E-02	1.10E-02	4.06E-02	8.58E-03	2.44E-02
1:Del:T:4	9.96E-04	6.26E-04	0.00E+00	6.97E-03	2.55E-03	1.07E-02	1.04E-02	2.94E-02	5.46E-03	3.90E-02	4.48E-03	1.87E-02
1:Del:T:5	1.37E-07	1.71E-07	2.61E-07	2.40E-02	2.76E-07	1.29E-07	5.57E-02	5.05E-07	5.90E-07	2.88E-07	7.12E-02	6.87E-02
1:Ins:C:0	8.16E-05	6.15E-08	3.08E-04	1.72E-04	2.08E-04	5.55E-08	4.30E-04	6.94E-04	9.99E-04	1.97E-03	4.38E-04	1.51E-04
1:Ins:C:1	5.39E-08	1.24E-04	3.66E-04	1.91E-04	7.28E-08	3.01E-08	5.24E-04	1.91E-03	3.08E-04	2.26E-03	8.52E-04	2.67E-08
1:Ins:C:2	7.69E-07	3.50E-05	6.37E-04	2.03E-08	5.45E-04	5.37E-04	2.25E-04	4.29E-09	1.49E-03	2.03E-03	1.51E-03	1.41E-03
1:Ins:C:3	8.55E-05	9.68E-05	1.21E-08	4.86E-08	2.22E-04	1.95E-04	8.09E-09	6.08E-05	5.05E-04	9.00E-08	0.00E+00	5.43E-04
1:Ins:C:4	4.01E-04	8.07E-08	1.07E-04	2.15E-03	0.00E+00	1.32E-07	2.19E-03	3.29E-03	2.14E-07	1.34E-06	1.84E-03	3.25E-07
1:Ins:C:5	1.69E-03	2.62E-03	0.00E+00	1.84E-03	1.81E-04	3.03E-05	4.97E-03	1.51E-03	5.88E-03	2.05E-06	4.27E-03	4.36E-04
1:Ins:T:0	4.21E-05	7.89E-09	1.61E-03	1.01E-03	1.31E-04	2.10E-03	1.79E-04	2.98E-03	9.82E-03	1.08E-02	1.39E-03	1.70E-03
1:Ins:T:1	2.55E-03	0.00E+00	1.80E-03	4.64E-04	5.34E-05	1.43E-03	2.20E-03	2.53E-02	2.03E-03	1.08E-02	5.94E-02	1.56E-03
1:Ins:T:2	1.73E-04	1.47E-04	3.75E-04	5.51E-05	9.49E-04	1.35E-07	1.27E-03	3.96E-04	1.76E-03	3.73E-03	3.74E-03	1.24E-03
1:Ins:T:3	3.19E-04	7.66E-04	3.48E-04	8.08E-08	6.32E-08	2.19E-04	1.83E-04	1.07E-04	3.38E-03	4.65E-03	1.30E-04	4.52E-04
1:Ins:T:4	7.44E-04	2.58E-03	0.00E+00	2.90E-04	7.77E-05	1.67E-03	1.71E-03	1.78E-03	4.26E-02	1.89E-02	0.00E+00	3.29E-04
1:Ins:T:5	6.00E-04	8.56E-03	7.14E-03	2.99E-46	2.99E-46	1.96E-07	6.29E-03	1.43E-03	9.85E-02	9.66E-03	6.15E-03	1.34E-02
2:Del:R:0	0.00E+00	2.81E-04	7.13E-04	4.08E-04	1.72E-03	2.01E-03	8.97E-04	0.00E+00	6.00E-03	2.09E-03	1.21E-03	7.50E-03
