Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.8,0.76,NO,N/A,59.03%,73.66%,140.9%,55.33%,93.55,0.4749,1.2388,0.203,0.561,0.779,0.408
3,0.7,0.3,NO,N/A,50.17%,59.7%,147.18%,45.09%,95.85,0.39,1.4542,0.146,0.564,0.841,0.383
4,0.62,0.23,NO,N/A,40.68%,49.98%,123.8%,37.66%,88.89,0.3108,1.0894,0.094,0.508,0.896,0.439
5,0.77,0.55,NO,N/A,28.41%,36.68%,130.6%,25.47%,94.61,0.2177,1.1315,0.055,0.577,0.939,0.364
6*,1.0,1.0,YES,Most Stab Sigs,18.9%,25.86%,51.38%,17.9%,43.2,0.1212,0.6094,0.02,0.091,0.978,0.895
7,0.79,-0.32,NO,N/A,14.0%,23.22%,63.66%,14.21%,43.96,0.1249,0.6167,0.015,0.099,0.983,0.886
8,0.67,-0.67,NO,N/A,11.07%,20.74%,49.98%,12.29%,41.23,0.1137,0.593,0.012,0.088,0.987,0.899
9,0.71,-0.31,NO,N/A,8.69%,17.72%,51.52%,10.77%,43.83,0.1053,0.6301,0.009,0.101,0.99,0.884
10,0.59,-0.55,NO,N/A,8.09%,17.26%,52.33%,9.62%,30.36,0.1018,0.5621,0.007,0.046,0.993,0.947
11,0.6,-0.78,NO,N/A,7.45%,14.45%,48.54%,8.05%,31.7,0.098,0.5201,0.006,0.051,0.993,0.945
12,0.57,-0.78,NO,N/A,9.35%,13.87%,46.45%,7.22%,31.96,0.0912,0.5498,0.005,0.044,0.994,0.953
13,0.57,-0.53,NO,N/A,5.9%,13.99%,44.83%,6.96%,25.84,0.0914,0.4974,0.004,0.033,0.996,0.964
14,0.52,-0.56,NO,N/A,5.71%,13.02%,46.92%,6.56%,28.27,0.0859,0.5389,0.004,0.04,0.996,0.957
15,0.55,-0.7,NO,N/A,4.63%,11.36%,36.47%,5.83%,23.0,0.0802,0.4445,0.003,0.026,0.997,0.972
16,0.51,-0.67,NO,N/A,4.71%,12.01%,34.05%,5.64%,21.89,0.0824,0.4516,0.002,0.024,0.997,0.974
17,0.47,-0.73,NO,N/A,4.47%,11.3%,41.94%,5.36%,24.89,0.0784,0.4388,0.002,0.027,0.997,0.971
18,0.46,-0.62,NO,N/A,3.8%,10.6%,37.14%,5.07%,21.39,0.0733,0.3754,0.002,0.023,0.998,0.975
19,0.42,-0.7,NO,N/A,3.82%,10.57%,35.63%,4.98%,21.14,0.0727,0.3878,0.002,0.022,0.998,0.976
20,0.38,-0.82,NO,N/A,3.54%,10.08%,36.81%,4.64%,23.29,0.0709,0.3953,0.002,0.021,0.998,0.978
