Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
V1	30	23	10	18	10	11	0	33
V2	7	139	326	3	52	14	28	47
V3	13	37	20	4	93	4	64	0
V4	0	32	12	8	26	23	58	0
V5	0	123	19	4	50	0	74	0
V6	33	13	16	34	32	27	0	17
V7	11	153	169	18	16	3	4	24
V8	45	0	24	90	12	0	3	97
V9	16	156	8	1	3	13	0	5
V10	19	12	19	47	1	123	16	0
V11	42	39	0	16	0	21	0	42
V12	186	42	206	11	2	37	69	9
V13	204	4	11	23	260	0	124	0
V14	36	0	3	101	69	3	58	74
V15	13	6	1	0	122	0	50	0
V16	130	29	36	1	36	40	48	0
V17	28	16	2	11	7	0	9	13
V18	0	8	8	110	2	28	0	115
V19	177	91	61	13	1	27	3	0
V20	7	239	101	29	10	15	20	0
V21	1	110	0	81	419	83	103	29
V22	30	52	82	12	15	31	106	0
V23	16	216	2	0	0	5	1	0
V24	23	47	1	17	16	0	0	32
V25	37	26	3	0	73	0	53	0
V26	1	57	87	0	0	223	0	0
V27	5	149	8	18	44	7	0	34
V28	325	0	172	12	8	77	23	0
V29	22	2	71	0	26	78	28	12
V30	2	18	0	38	84	0	22	0
V31	0	1	130	9	2	40	0	5
V32	38	5	0	40	40	70	12	0
V33	11	5	112	69	39	154	52	0
V34	23	3	1	3	18	221	27	7
V35	18	1	25	0	29	36	7	0
V36	0	4	24	125	5	21	20	157
V37	54	0	0	81	199	20	25	154
V38	399	234	170	0	39	0	21	0
V39	115	0	55	10	65	57	0	17
V40	270	15	1	0	58	86	69	40
V41	5	11	86	8	41	4	0	0
V42	0	39	0	15	2	19	5	0
V43	49	12	6	9	6	0	1	17
V44	1	0	3	148	0	110	65	51
V45	223	72	27	14	0	1	5	21
V46	209	162	110	0	20	3	7	2
V47	134	2	60	0	170	0	40	0
V48	2	5	52	6	106	33	18	4
V49	0	0	52	21	53	5	15	46
V50	4	0	122	39	0	13	2	34
V51	13	99	83	30	28	41	12	0
V52	0	16	29	10	129	120	40	12
V53	14	19	131	164	8	64	58	55
V54	0	0	17	53	6	17	27	52
V55	3	318	141	0	0	36	22	24
V56	36	7	81	19	20	4	13	0
V57	109	0	92	28	20	31	13	32
V58	26	2	6	62	0	21	15	0
V59	24	139	15	54	2	17	0	0
V60	0	1	27	0	6	65	54	0
V61	4	0	11	0	5	6	2	0
V62	31	73	72	63	5	10	14	27
V63	10	70	0	1	2	5	6	0
V64	0	0	30	48	3	1	6	21
V65	163	308	1	6	45	0	15	0
V66	14	0	2	20	44	4	0	26
V67	184	0	18	112	2	18	1	0
V68	37	88	0	19	3	6	1	0
V69	2	32	86	130	0	45	19	20
V70	92	12	5	1	34	0	56	13
V71	9	17	7	26	5	169	0	71
V72	0	133	0	7	1	7	0	6
V73	0	9	96	76	15	13	0	40
V74	7	43	14	628	9	69	0	0
V75	70	10	15	0	1	40	11	5
V76	5	131	9	1	2	15	0	116
V77	23	28	10	4	37	110	22	20
V78	0	39	1	20	220	26	12	33
V79	82	3	0	48	6	48	21	0
V80	226	2	58	40	37	77	0	46
V81	43	0	0	23	36	0	7	0
V82	3	8	39	0	34	0	16	9
V83	4	2	12	12	11	95	38	0
V84	29	46	15	0	0	6	5	16
V85	20	55	116	8	5	4	1	49
V86	3	22	20	3	1	13	2	0
V87	38	3	0	42	3	0	10	0
V88	45	80	15	22	10	171	18	51
V89	67	42	7	4	38	0	34	10
V90	0	3	62	4	59	0	55	0
V91	1	6	19	34	35	7	37	0
V92	12	10	13	53	136	219	196	0
V93	181	50	0	0	1	0	1	11
V94	0	26	140	44	8	63	0	13
V95	14	47	32	79	52	32	0	0
V96	0	0	19	44	2	0	2	25
V97	0	41	11	24	0	20	0	10
V98	37	0	75	30	3	8	4	0
V99	12	10	16	120	9	5	7	0
V100	19	161	58	0	2	7	4	6
