Samples	ID83A	ID83B
V1	2.12E+01	2.12E+01
V2	4.40E+01	4.40E+01
V3	1.21E+01	1.21E+01
V4	4.07E-01	4.07E-01
V5	6.51E+00	6.51E+00
V6	2.03E+01	2.03E+01
V7	3.33E+01	3.33E+01
V8	2.54E+01	2.54E+01
V9	9.85E+00	9.85E+00
V10	3.11E+01	3.11E+01
V11	6.34E+00	6.34E+00
V12	4.59E+00	4.59E+00
V13	1.94E+01	1.94E+01
V14	1.31E+01	1.31E+01
V15	7.01E+00	7.01E+00
V16	2.54E+01	2.54E+01
V17	9.12E+00	9.12E+00
V18	2.44E+01	2.44E+01
V19	8.03E-01	8.03E-01
V20	1.68E+01	1.69E+01
V21	1.81E+01	1.81E+01
V22	5.42E+00	5.42E+00
V23	3.13E+01	3.13E+01
V24	1.92E+01	1.92E+01
V25	4.18E+00	4.18E+00
V26	2.80E+01	2.80E+01
V27	4.63E+00	4.63E+00
V28	6.93E+00	6.93E+00
V29	1.22E+01	1.22E+01
V30	1.23E+01	1.23E+01
V31	1.12E+01	1.12E+01
V32	1.37E+00	1.37E+00
V33	4.99E+00	4.99E+00
V34	1.27E+01	1.27E+01
V35	8.03E+00	8.03E+00
V36	1.54E+01	1.54E+01
V37	1.43E+01	1.43E+01
V38	2.04E+00	2.04E+00
V39	1.60E+01	1.60E+01
V40	6.68E+00	6.68E+00
V41	1.69E+01	1.69E+01
V42	4.23E+00	4.23E+00
V43	5.39E+00	5.39E+00
V44	2.15E+01	2.15E+01
V45	6.14E+00	6.14E+00
V46	1.64E+01	1.64E+01
V47	5.34E+00	5.34E+00
V48	1.78E+00	1.78E+00
V49	3.40E+01	3.40E+01
V50	9.74E+00	9.74E+00
V51	1.23E+01	1.23E+01
V52	1.09E+01	1.09E+01
V53	1.82E+01	1.82E+01
V54	2.28E+01	2.28E+01
V55	6.20E+00	6.20E+00
V56	1.65E+01	1.65E+01
V57	1.55E+01	1.55E+01
V58	3.83E+01	3.83E+01
V59	2.28E+01	2.28E+01
V60	7.27E+00	7.27E+00
V61	4.68E+01	4.68E+01
V62	8.36E+00	8.36E+00
V63	5.34E+01	5.34E+01
V64	2.15E+01	2.15E+01
V65	3.96E+00	3.96E+00
V66	3.50E+00	3.50E+00
V67	4.44E+01	4.44E+01
V68	6.02E+00	6.02E+00
V69	3.39E+00	3.39E+00
V70	1.62E+01	1.62E+01
V71	1.43E+01	1.43E+01
V72	3.89E+00	3.89E+00
V73	6.05E+00	6.05E+00
V74	4.57E+00	4.57E+00
V75	1.02E+01	1.02E+01
V76	1.57E+01	1.57E+01
V77	6.42E+00	6.42E+00
V78	6.91E+00	6.91E+00
V79	3.21E+00	3.21E+00
V80	2.55E+01	2.55E+01
V81	1.32E+01	1.32E+01
V82	1.04E+01	1.04E+01
V83	2.40E+00	2.40E+00
V84	1.24E+01	1.24E+01
V85	4.75E+00	4.75E+00
V86	1.66E+01	1.65E+01
V87	2.79E+01	2.79E+01
V88	5.44E+01	5.44E+01
V89	1.89E+01	1.89E+01
V90	4.39E+01	4.39E+01
V91	1.21E+01	1.21E+01
V92	2.13E+01	2.13E+01
V93	6.25E+01	6.25E+01
V94	1.12E+01	1.12E+01
V95	2.42E+01	2.42E+01
V96	6.32E+01	6.32E+01
V97	2.36E+01	2.36E+01
V98	8.07E+00	8.04E+00
V99	1.51E+01	1.51E+01
V100	7.07E+00	7.07E+00
