MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
1:Del:C:0	2.90E-08	5.62E-46	0.00E+00	1.11E-02	4.94E-08	5.48E-03	2.36E-03	1.91E-02	1.40E-02	4.15E-02	3.96E-02	3.68E-02	1.06E-02
1:Del:C:1	7.94E-07	2.63E-05	0.00E+00	1.00E-02	0.00E+00	7.08E-03	1.33E-06	1.48E-03	8.15E-03	2.00E-02	3.12E-04	1.50E-02	3.08E-02
1:Del:C:2	1.49E-04	8.52E-08	1.58E-08	7.50E-04	6.33E-08	8.02E-04	2.51E-04	9.47E-04	9.51E-04	3.86E-04	1.78E-03	8.61E-05	3.97E-03
1:Del:C:3	4.32E-04	8.28E-07	0.00E+00	1.43E-03	8.76E-05	1.23E-03	3.21E-07	3.15E-05	1.42E-03	1.05E-02	5.98E-04	7.53E-03	7.41E-03
1:Del:C:4	4.42E-04	7.20E-09	1.27E-03	1.69E-03	5.76E-04	4.15E-04	4.02E-03	1.06E-03	7.52E-04	5.61E-03	7.15E-03	2.01E-07	1.09E-03
1:Del:C:5	1.18E-03	9.61E-04	5.55E-03	7.77E-04	9.50E-04	8.71E-04	3.69E-03	1.03E-02	3.30E-03	2.92E-03	5.73E-03	1.56E-02	2.63E-03
1:Del:T:0	1.12E-02	1.40E-46	2.26E-03	6.00E-03	1.87E-46	6.68E-03	1.48E-02	1.77E-02	9.04E-03	3.52E-02	1.85E-02	2.80E-02	2.96E-02
1:Del:T:1	4.58E-04	3.80E-07	1.96E-04	5.58E-03	2.50E-08	2.93E-03	0.00E+00	4.12E-03	4.54E-03	1.51E-02	4.48E-03	6.03E-03	8.20E-03
1:Del:T:2	1.63E-03	0.00E+00	1.68E-04	6.10E-03	1.14E-03	2.84E-03	1.08E-03	0.00E+00	9.40E-03	9.42E-03	5.46E-03	8.51E-03	1.11E-02
1:Del:T:3	8.79E-04	5.61E-04	1.51E-03	6.07E-03	2.64E-03	3.76E-03	1.40E-46	1.72E-02	2.05E-03	1.36E-02	1.52E-02	2.42E-02	1.74E-02
1:Del:T:4	8.89E-04	4.53E-04	5.12E-04	1.04E-02	2.71E-03	4.09E-04	1.62E-04	4.96E-02	8.79E-03	2.31E-02	1.39E-02	1.27E-02	1.21E-02
1:Del:T:5	7.49E-03	6.34E-08	1.77E-07	1.08E-07	7.79E-03	5.78E-07	4.26E-03	4.39E-07	2.15E-03	4.50E-07	4.87E-02	1.18E-07	3.69E-02
1:Ins:C:0	2.37E-03	1.00E-07	2.81E-05	1.13E-04	3.80E-08	9.11E-05	4.69E-04	2.14E-04	5.74E-03	1.87E-03	7.91E-04	1.39E-02	2.25E-03
1:Ins:C:1	1.67E-08	8.74E-05	1.52E-04	1.17E-07	5.62E-08	5.02E-04	6.69E-08	1.14E-07	2.97E-03	2.09E-04	8.06E-04	3.32E-04	1.76E-03
1:Ins:C:2	2.17E-07	1.38E-08	1.56E-04	4.66E-09	4.16E-08	6.24E-04	2.12E-04	1.28E-06	2.69E-04	4.18E-04	2.72E-06	3.16E-07	2.11E-03
1:Ins:C:3	4.94E-04	2.78E-04	2.15E-08	1.33E-04	0.00E+00	1.18E-04	2.23E-04	2.40E-08	1.88E-04	2.14E-08	0.00E+00	6.23E-08	3.47E-04
1:Ins:C:4	1.45E-03	2.85E-07	1.03E-04	2.41E-05	7.32E-04	3.35E-04	9.01E-04	4.73E-08	4.12E-05	2.34E-07	3.80E-04	8.59E-03	1.40E-46
1:Ins:C:5	1.63E-03	2.77E-03	1.10E-03	6.43E-07	2.13E-03	6.48E-04	8.24E-04	3.62E-02	5.34E-04	3.19E-03	5.50E-03	1.98E-02	1.16E-03
1:Ins:T:0	9.27E-05	3.36E-04	2.73E-04	1.47E-03	8.71E-06	2.85E-03	1.87E-04	1.16E-02	2.97E-03	4.04E-03	5.73E-03	3.40E-03	2.28E-03
