Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	69	370	0	1206	658	46	0
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	11	81	42	15	68	13	4
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	61	249	133	15	76	36	6
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	333	292	139	510	204	28	0
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	55	94	135	2	78	2	9
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	189	187	90	10	4	55	5
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	0	363	102	13	33	37	11
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	121	459	62	11	158	26	46
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	104	77	131	21	110	134	40
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	154	161	120	37	77	71	91
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	154	404	114	22	57	28	32
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	623	244	151	21	109	258	32
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	74	205	54	27	221	43	20
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	0	123	123	23	58	33	3
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	66	171	85	26	150	24	12
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	19	64	94	6	88	8	24
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	40	89	0	744	199	97	0
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	31	250	104	5	104	57	24
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	117	185	100	25	195	18	1
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	76	144	45	19	64	32	7
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	158	282	55	7	91	32	5
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	191	283	73	23	113	69	14
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	30	55	114	11	73	25	1
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	473	538	147	27	226	64	0
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	75	212	88	18	18	23	68
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	446	433	170	9	181	64	0
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	30	294	89	5	51	68	5
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	189	158	84	14	26	56	53
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	82	142	75	12	89	34	21
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	76	31	120	13	58	19	4
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	33	175	136	513	0	8	0
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	11	30	96	11	43	10	8
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	27	57	64	7	48	8	6
X2102558b.87b0.447b.bb9a.e4ae9df8b75e..Panc.AdenoCA..DO33032	347	299	127	7	12	47	5
X21b1a37f.e91e.4ce1.83cf.bb89b8d0fb35..Panc.AdenoCA..DO33028	24	162	129	11	50	25	2
X228fb827.c05e.494c.8a21.e1d925e100cb..Panc.AdenoCA..DO51537	189	247	131	3	46	44	0
X230f53ef.be3f.495e.9b95.b0f670bd6908..Panc.AdenoCA..DO51508	0	11	0	2	10	10	21
X241abdfd.e6de.4830.a233.4bbc5f622725..Panc.AdenoCA..DO49138	213	324	110	30	124	59	0
X2564a262.03e8.467b.9ea2.f3ab38d75ae1..Panc.AdenoCA..DO49457	312	611	93	1	11	58	1
X25c32aca.6738.43ef.a103.243f2f9a3b43..Panc.AdenoCA..DO51492	69	93	57	7	82	26	6
