NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	37.883	12.254	8.861	7.45	0.074	0.996	30000.0
2	40.482	12.84	9.5	7.808	0.075	0.995	50000.0
3	36.789	12.072	8.507	7.352	0.072	0.996	70000.0
4	40.482	12.983	9.537	8.139	0.074	0.995	50000.0
5	38.004	12.224	9.02	7.568	0.072	0.996	30000.0
6	39.614	12.532	9.584	7.954	0.075	0.995	30000.0
7	41.555	13.365	9.771	8.334	0.077	0.994	60000.0
8	39.107	12.276	9.019	7.351	0.074	0.996	30000.0
9	39.731	12.477	9.294	7.557	0.074	0.996	80000.0
10	39.486	12.488	9.529	7.811	0.071	0.996	50000.0
