Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	0.00E+00	9.45E-01	3.79E-01	1.48E+00	1.17E+00
V2	2.21E+00	2.06E+00	3.39E+00	1.19E+00	2.74E+00
V3	3.13E+00	2.35E+00	3.94E+00	2.81E+00	2.01E+00
V4	2.62E+00	1.99E+00	2.12E+00	7.95E-01	2.63E+00
V5	1.44E+00	9.89E-01	2.23E+00	2.02E+00	6.01E-01
V6	4.31E+00	2.54E+00	6.29E-01	7.52E-01	1.98E+00
V7	1.43E+00	0.00E+00	1.58E+00	4.00E-01	2.43E+00
V8	3.02E+00	8.17E-01	7.30E-01	2.51E+00	2.71E+00
V9	2.77E-01	1.62E+00	1.38E+00	1.14E+00	6.57E-01
V10	1.94E+00	1.84E+00	3.83E+00	9.43E-01	5.28E+00
V11	2.18E+00	1.48E+00	1.76E+00	0.00E+00	1.12E+00
V12	6.16E-01	1.93E+00	4.48E-01	1.83E+00	4.16E-01
V13	3.38E+00	2.13E-01	1.09E+00	7.95E-01	3.09E+00
V14	5.23E+00	3.31E+00	1.12E+00	3.00E-01	3.72E+00
V15	2.25E+00	2.23E+00	3.62E+00	3.59E+00	1.51E+00
V16	1.01E+00	0.00E+00	1.84E+00	1.51E+00	0.00E+00
V17	2.51E+00	1.52E+00	3.82E+00	9.67E-01	8.00E-01
V18	0.00E+00	1.71E+00	1.18E+00	1.28E+00	6.54E-01
V19	2.21E-01	2.02E+00	4.16E-01	1.84E+00	9.67E-01
V20	4.20E+00	1.12E+00	2.89E+00	7.27E-01	1.52E+00
V21	2.36E+00	2.21E-01	3.12E+00	0.00E+00	3.57E+00
V22	2.93E+00	3.50E+00	1.10E+00	3.48E-01	2.16E+00
V23	1.00E+00	1.90E+00	2.24E+00	2.84E+00	1.17E+00
V24	1.67E+00	1.20E+00	1.45E+00	1.58E+00	2.28E+00
V25	2.89E+00	1.29E+00	2.75E+00	3.00E+00	4.99E-01
V26	1.75E+00	1.22E+00	0.00E+00	1.20E+00	2.62E+00
V27	2.96E+00	6.19E-01	1.22E+00	3.75E+00	4.16E+00
V28	4.94E-01	8.83E-01	9.33E-01	1.63E+00	8.00E-01
V29	1.26E+00	1.07E+00	2.22E+00	3.65E-01	7.61E-01
V30	3.36E+00	3.06E-01	3.79E+00	5.17E-01	3.24E+00
V31	1.35E+00	0.00E+00	1.19E+00	1.48E+00	1.32E+00
V32	1.72E+00	2.71E+00	2.20E+00	2.96E+00	6.96E-01
V33	1.98E+00	2.48E+00	1.72E+00	5.16E-01	1.56E+00
V34	6.88E+00	2.10E+00	6.66E+00	2.03E+00	7.31E-01
V35	2.57E+00	2.18E+00	2.69E+00	2.38E+00	1.64E+00
V36	2.63E+00	2.30E+00	6.74E-01	3.28E+00	5.17E-01
V37	2.95E+00	2.70E+00	2.77E-01	1.46E+00	6.40E-01
V38	1.05E+00	0.00E+00	1.81E+00	7.72E-01	1.37E+00
V39	2.13E-01	9.07E-01	9.57E-01	8.14E-01	9.67E-01
V40	8.69E-01	1.56E+00	1.58E+00	1.18E+00	1.70E+00
V41	3.66E+00	2.50E+00	1.64E+00	1.72E+00	5.54E+00
V42	8.70E-01	2.28E+00	0.00E+00	3.05E+00	8.56E-01
V43	2.30E+00	3.85E+00	2.86E+00	1.07E+00	7.15E-01
V44	4.00E+00	2.76E+00	4.25E+00	1.95E+00	6.40E-01
V45	2.34E+00	1.13E+00	2.03E+00	8.92E-01	2.24E+00
V46	1.80E+00	3.75E+00	2.50E+00	1.81E+00	7.89E-01
V47	8.56E-01	1.86E+00	1.02E+00	1.61E+00	2.12E+00
V48	1.02E+00	0.00E+00	1.02E+00	0.00E+00	0.00E+00
V49	1.64E+00	8.85E-01	1.14E+00	6.57E-01	0.00E+00
V50	1.37E+00	1.68E+00	1.90E+00	4.52E-01	2.33E-01
V51	4.32E+00	3.21E+00	2.12E+00	2.13E+00	7.02E-01
V52	0.00E+00	1.53E-01	1.21E+00	1.89E+00	1.09E+00
V53	1.11E+00	2.89E+00	2.72E+00	2.58E-01	6.36E-01
V54	1.37E+00	1.81E+00	1.61E+00	7.18E-01	1.51E+00
V55	2.10E+00	5.33E-01	0.00E+00	1.76E+00	8.57E-01
V56	1.79E+00	1.99E+00	7.92E-01	3.14E-01	6.86E-01
V57	2.70E+00	3.08E+00	2.40E+00	2.14E+00	1.00E+00
V58	3.29E+00	1.67E+00	2.60E+00	1.75E+00	7.06E-01
V59	1.69E+00	1.66E+00	3.03E+00	4.16E+00	0.00E+00
V60	0.00E+00	0.00E+00	2.64E+00	2.64E+00	0.00E+00
V61	3.30E+00	1.09E+00	3.45E+00	4.52E-01	2.37E+00
V62	6.00E-01	3.79E+00	2.40E+00	3.46E+00	5.17E+00
V63	4.91E+00	2.39E+00	0.00E+00	2.76E+00	5.84E+00
V64	1.10E+00	9.60E-01	9.20E-01	1.63E+00	7.48E-01
V65	2.85E+00	9.57E-01	2.21E+00	2.16E+00	1.09E+00
V66	8.97E-01	1.53E+00	1.27E+00	9.55E-01	0.00E+00
V67	1.87E+00	1.51E+00	1.37E+00	0.00E+00	8.62E-01
V68	1.49E+00	2.08E+00	1.46E+00	1.51E+00	0.00E+00
V69	4.26E+00	5.27E+00	2.85E+00	1.31E+00	4.82E+00
V70	1.63E+00	5.17E-01	1.54E+00	0.00E+00	8.67E-01
V71	4.08E+00	4.67E+00	0.00E+00	3.19E+00	2.32E+00
