Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
V63	1.75E+00	1.70E+00	8.97E-01	3.06E-01	6.52E+00	9.43E-01	1.39E+00	7.41E+00	8.35E+00	7.09E+00	2.24E+00	3.00E-01	5.67E-01	1.70E+00	2.77E+00	1.33E-01	7.52E+00	2.68E+00
V64	0.00E+00	1.33E-01	0.00E+00	1.04E+00	8.00E+00	1.83E+00	2.50E+00	4.35E+00	4.24E+00	1.33E-01	1.48E+00	8.85E-01	1.01E+00	2.00E-01	8.00E-01	3.42E-01	8.55E+00	0.00E+00
V65	2.27E+00	4.53E+00	0.00E+00	4.56E+00	1.10E+00	1.29E+00	0.00E+00	2.06E+00	1.78E+00	3.04E+00	0.00E+00	4.42E+00	1.21E+00	7.00E-01	1.97E+00	5.26E-01	9.33E-01	1.46E+00
V66	6.17E+00	7.93E+00	2.37E+01	7.84E+00	7.75E-01	3.00E-01	1.47E+00	3.42E-01	1.10E+00	4.00E-01	5.26E-01	1.26E+01	6.83E-01	9.80E-01	8.52E+00	1.31E+01	1.73E+00	2.37E+01
V67	4.72E+00	3.19E+00	1.95E+00	3.36E+00	6.11E-01	3.38E+00	5.82E+00	3.15E+00	4.31E+00	3.38E+00	0.00E+00	6.40E+00	1.89E+00	5.10E+00	5.15E+00	1.86E+00	3.06E-01	3.18E+00
V68	0.00E+00	4.00E-01	2.78E+00	4.58E-01	1.39E+00	4.27E-01	1.23E+00	0.00E+00	0.00E+00	4.00E-01	3.65E-01	4.23E-01	5.00E-01	5.93E-01	0.00E+00	0.00E+00	1.50E+00	2.77E+00
V69	4.68E+00	1.56E+00	8.91E+00	1.80E+00	0.00E+00	1.40E+00	8.23E-01	1.62E+00	3.09E+00	2.21E+00	1.19E+00	2.63E+00	3.00E-01	2.28E+00	5.12E+00	7.24E+00	5.78E-01	3.18E+00
V70	1.06E+00	1.87E+00	2.83E+00	1.88E+00	1.53E+01	3.75E+00	1.00E+01	5.47E-01	0.00E+00	2.05E+00	8.01E+00	1.46E+00	1.61E+00	7.02E+00	1.70E+00	3.28E+00	1.71E+01	2.30E+00
V71	6.08E+00	1.25E+01	7.86E-01	1.08E+01	6.98E+00	1.18E+01	1.19E+01	1.42E+00	2.30E+00	7.75E+00	7.20E+00	8.27E+00	4.79E+00	7.25E+00	6.49E+00	1.71E+00	7.40E+00	4.07E+00
V72	4.49E+00	2.02E+01	4.07E-01	2.13E+01	0.00E+00	1.67E+00	6.05E-01	1.32E+00	1.46E+00	0.00E+00	0.00E+00	1.09E+01	4.73E-01	2.43E+00	2.43E+00	8.62E-01	2.23E+00	1.50E+00
V73	2.25E+00	2.86E+00	1.16E+00	1.68E+00	5.73E-01	1.19E+01	9.30E+00	1.95E+01	1.71E+01	1.77E+01	6.87E-01	2.66E+00	9.08E+00	5.28E+00	1.58E+00	1.23E+00	9.89E-01	5.62E+00
V74	8.41E-01	0.00E+00	0.00E+00	4.96E-01	0.00E+00	6.65E+00	6.53E+00	1.27E+00	1.74E+00	7.30E-01	0.00E+00	9.17E-01	1.30E+00	3.30E+00	1.45E+00	9.00E-01	0.00E+00	7.06E-01
