MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
4:Del:R:4	3.42E-08	2.80E-08	5.67E-08	3.74E-08	9.71E-05	5.51E-08	3.95E-08	2.10E-06	6.51E-08	2.26E-07	1.30E-04	3.89E-07	3.09E-04
4:Del:R:5	3.43E-08	3.43E-05	9.50E-08	4.98E-08	9.64E-05	5.20E-08	8.72E-08	9.87E-08	6.39E-08	1.94E-07	1.54E-06	1.43E-04	3.27E-07
5:Del:R:0	3.42E-07	1.18E-03	8.14E-04	2.45E-02	7.00E-06	3.42E-07	1.86E-06	1.49E-02	1.46E-02	8.70E-03	1.08E-02	1.13E-02	3.43E-02
5:Del:R:1	1.41E-04	1.31E-08	6.82E-04	1.33E-04	1.18E-07	3.99E-04	4.42E-04	1.09E-03	1.42E-04	3.19E-04	2.76E-03	3.40E-04	6.17E-04
5:Del:R:2	8.94E-04	2.60E-02	0.00E+00	9.46E-03	4.99E-02	1.38E-03	0.00E+00	9.04E-03	4.05E-03	6.06E-03	1.63E-03	2.59E-02	8.33E-03
5:Del:R:3	8.02E-09	2.06E-08	1.87E-08	4.27E-08	5.09E-08	5.34E-08	1.20E-07	7.14E-08	6.78E-08	9.89E-08	4.54E-08	1.79E-07	2.31E-07
5:Del:R:4	8.02E-09	2.06E-08	1.87E-08	4.27E-08	5.09E-08	5.34E-08	1.20E-07	7.14E-08	6.78E-08	9.89E-08	4.54E-08	1.79E-07	2.31E-07
5:Del:R:5	2.17E-08	2.99E-08	5.07E-08	5.28E-05	6.42E-08	9.90E-08	9.91E-08	6.45E-08	1.38E-04	1.07E-07	7.71E-08	2.28E-07	1.38E-07
2:Ins:R:0	9.37E-05	3.67E-04	6.49E-05	8.91E-04	3.55E-04	8.96E-04	1.61E-03	1.18E-03	8.11E-04	2.88E-03	6.60E-04	3.18E-03	0.00E+00
2:Ins:R:1	1.62E-08	2.31E-04	6.94E-05	4.67E-05	4.37E-04	8.53E-04	1.09E-03	5.80E-04	3.18E-04	2.03E-04	3.09E-04	1.34E-03	0.00E+00
2:Ins:R:2	2.14E-08	6.30E-08	3.76E-04	3.52E-05	1.88E-04	4.67E-08	1.17E-03	5.33E-05	5.59E-07	2.43E-04	5.38E-04	9.34E-04	1.03E-03
2:Ins:R:3	1.06E-04	1.52E-08	2.70E-04	1.32E-04	1.44E-07	2.40E-08	0.00E+00	7.36E-05	8.43E-06	2.64E-04	8.09E-04	1.40E-04	7.94E-05
2:Ins:R:4	5.13E-04	6.19E-02	9.85E-08	5.22E-03	2.80E-02	3.53E-08	7.81E-07	0.00E+00	2.65E-04	1.56E-02	1.77E-03	3.56E-03	5.14E-03
2:Ins:R:5	9.03E-04	3.46E-03	1.71E-03	2.05E-03	1.35E-02	0.00E+00	0.00E+00	1.32E-03	9.76E-04	2.63E-03	1.11E-02	1.17E-02	2.60E-02
