Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.95,0.94,NO,N/A,53.49%,73.53%,140.47%,58.29%,112.28,0.522,1.4745,0.205,0.718,0.779,0.221
3,0.99,0.98,NO,N/A,34.79%,54.09%,127.41%,40.55%,108.18,0.3693,1.1582,0.117,0.593,0.873,0.349
4,0.97,0.9,NO,N/A,22.57%,40.82%,124.77%,26.02%,96.46,0.2743,1.1519,0.068,0.578,0.926,0.37
5,0.92,0.73,NO,N/A,12.65%,27.65%,98.1%,13.88%,76.47,0.1777,0.7411,0.029,0.355,0.968,0.613
6*,1.0,1.0,YES,Most Stab Sigs,5.13%,16.87%,54.07%,8.6%,33.52,0.112,0.7189,0.006,0.054,0.993,0.944
7,0.75,-0.73,NO,N/A,5.08%,16.87%,53.1%,8.24%,33.49,0.1128,0.7283,0.006,0.054,0.994,0.944
8,0.53,-0.87,NO,N/A,5.05%,17.0%,51.08%,8.17%,33.54,0.1143,0.77,0.006,0.055,0.994,0.943
9,0.4,-0.89,NO,N/A,5.02%,17.74%,57.53%,7.88%,36.4,0.1134,0.7414,0.006,0.059,0.994,0.939
10,0.3,-0.82,NO,N/A,5.0%,16.71%,58.97%,7.53%,36.75,0.1118,0.7091,0.006,0.06,0.994,0.938
11,0.23,-0.84,NO,N/A,5.36%,16.64%,58.62%,7.55%,32.62,0.112,0.5761,0.005,0.05,0.994,0.948
12,0.19,-0.78,NO,N/A,5.12%,17.42%,46.42%,8.09%,32.39,0.1117,0.668,0.005,0.052,0.994,0.947
13,0.17,-0.64,NO,N/A,4.55%,16.37%,68.92%,7.01%,40.82,0.1094,0.7077,0.005,0.066,0.995,0.933
14,0.05,-0.79,NO,N/A,4.86%,16.57%,72.82%,7.02%,43.39,0.1139,0.7356,0.005,0.075,0.995,0.924
15,0.02,-0.73,NO,N/A,6.35%,17.7%,60.62%,8.24%,33.08,0.1177,0.6728,0.005,0.049,0.995,0.95
16,0.01,-0.76,NO,N/A,4.91%,16.01%,61.22%,7.03%,33.86,0.1111,0.6534,0.004,0.057,0.995,0.941
17,0.01,-0.78,NO,N/A,5.32%,16.71%,65.68%,7.16%,34.24,0.1067,0.5209,0.004,0.051,0.996,0.947
18,0.03,-0.76,NO,N/A,4.28%,14.9%,43.08%,6.31%,29.79,0.1055,0.5432,0.004,0.045,0.996,0.954
19,-0.02,-0.73,NO,N/A,5.53%,17.42%,65.88%,7.42%,33.52,0.1091,0.525,0.004,0.05,0.996,0.949
20,-0.01,-0.64,NO,N/A,8.21%,19.08%,73.63%,9.21%,37.67,0.1178,0.6986,0.004,0.052,0.996,0.948
