Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
V1	1.02E+01	2.76E+01	9.57E+00	1.00E+00	2.65E+01	1.10E+00	9.60E-01	2.60E+00	3.04E+00	8.83E-01	9.09E+00	2.30E+00	1.18E+01	4.11E+00	1.14E+00	3.86E+00	4.05E+00
V2	1.08E+01	8.95E+00	1.48E+00	4.29E+00	9.45E+00	3.77E+01	0.00E+00	4.23E+01	1.48E+01	1.20E+00	1.25E+00	1.99E+01	9.65E+00	1.02E+01	5.75E+00	1.99E+00	2.10E+00
V3	5.05E+01	1.52E+01	6.64E+00	1.15E+00	1.24E+01	5.54E-01	3.83E+00	0.00E+00	3.06E-01	5.48E+00	7.67E+00	0.00E+00	3.98E+01	1.41E+01	3.19E+00	2.62E+01	1.18E+00
V4	7.15E-01	1.72E+00	1.85E+00	8.84E-01	1.96E+00	1.01E+01	1.68E+00	1.18E+01	8.35E+00	1.73E+00	3.23E+00	8.42E+00	6.00E-01	1.00E-01	1.17E+00	2.98E+00	1.90E+00
V5	1.28E+01	1.07E+00	1.01E+00	3.04E+00	1.70E+00	2.85E+00	1.00E+00	3.06E+00	2.92E+00	2.63E+00	1.30E+00	3.00E+00	1.17E+01	1.16E+01	4.85E+00	2.48E+00	3.33E+00
V6	1.31E+01	1.25E+00	2.99E+01	9.78E+00	2.57E+00	2.38E+00	8.09E-01	4.28E+00	3.00E-01	1.02E+00	2.87E+01	4.47E+00	4.40E+00	1.22E+01	1.32E+01	7.30E-01	4.34E+00
V7	4.01E-01	0.00E+00	7.69E+00	1.27E+00	0.00E+00	4.35E+00	3.06E-01	3.35E+00	4.43E+00	0.00E+00	9.11E+00	1.36E+00	6.05E-01	6.29E-01	1.70E+00	4.67E-01	3.79E+00
V8	4.24E+01	4.90E-01	1.06E+00	4.56E+00	1.20E+00	3.89E+00	0.00E+00	6.31E+00	3.96E+00	9.07E-01	6.40E-01	4.81E+00	3.73E+01	3.14E+01	6.21E+00	8.00E-01	2.60E+00
V9	3.26E+00	6.55E+00	7.26E+00	7.63E-01	6.32E+00	0.00E+00	9.83E-01	3.00E-01	1.00E-01	0.00E+00	5.96E+00	0.00E+00	1.50E+00	2.86E+00	5.59E-01	7.00E-01	8.20E+00
V10	2.69E-01	1.29E+00	0.00E+00	0.00E+00	1.33E+00	1.17E+01	3.96E+00	7.43E+00	1.30E+01	1.69E+00	0.00E+00	7.92E+00	7.00E-01	0.00E+00	2.00E-01	2.39E+00	1.07E+00
V11	8.80E+00	2.55E+00	6.16E+00	0.00E+00	2.69E+00	6.27E+00	0.00E+00	5.54E+00	9.37E+00	0.00E+00	5.87E+00	3.08E+00	2.13E+00	1.18E+01	0.00E+00	3.00E-01	6.60E+00
V12	4.17E+00	4.28E+01	1.33E-01	1.65E+00	4.14E+01	2.24E+00	0.00E+00	0.00E+00	1.29E+00	0.00E+00	0.00E+00	1.54E+00	4.09E+00	2.96E+00	1.00E-01	0.00E+00	1.27E+01
V13	4.12E+01	1.05E+01	6.53E-01	7.95E-01	1.50E+01	2.54E+00	1.75E+01	2.84E+00	2.47E+00	1.59E+01	0.00E+00	1.71E+00	4.51E+01	7.71E+00	1.06E+00	1.52E+01	9.74E+00
V14	1.75E+01	8.00E+00	2.97E+00	7.33E-01	7.55E+00	1.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.56E+00	0.00E+00	2.27E+01	8.53E+00	2.00E-01	3.33E+00	2.89E+00
V15	6.44E+00	2.28E+00	5.04E-01	6.92E+00	3.19E+00	1.49E+01	1.26E+00	1.02E+01	1.13E+01	1.52E+00	1.02E+00	9.81E+00	6.49E+00	1.76E+00	8.11E+00	4.10E+00	7.79E+00
V16	1.83E+01	6.16E+00	1.33E-01	1.14E+00	7.67E+00	8.00E-01	6.65E+00	1.30E+00	3.42E-01	7.07E+00	0.00E+00	1.16E+00	1.78E+01	6.30E+00	1.32E+00	8.93E+00	7.12E-01
V17	1.29E+00	3.06E-01	3.50E+00	7.83E+00	9.00E-01	2.04E+00	1.60E+01	2.87E+00	2.38E+00	1.68E+01	1.31E+01	5.86E+00	4.00E-01	6.00E-01	8.14E+00	1.75E+00	2.04E+00
V18	4.58E-01	0.00E+00	1.92E+00	2.18E+00	3.00E-01	5.44E+00	2.29E+00	2.57E+00	5.07E+00	1.87E+00	2.12E+00	2.73E+00	8.46E-01	2.82E+00	1.03E+00	4.00E+00	1.74E+00
V19	9.64E-01	1.17E+00	3.00E+00	6.01E+00	1.32E+00	6.04E+00	2.37E+01	6.41E+00	8.30E+00	2.35E+01	7.93E+00	7.79E+00	7.67E-01	1.58E+00	1.33E+01	1.23E+01	7.33E+00
V20	1.65E+00	5.63E+00	3.81E+00	1.18E+00	4.65E+00	3.00E-01	2.52E+00	2.00E-01	3.06E-01	2.76E+00	4.09E+00	1.90E+00	2.47E+00	1.36E+00	9.22E-01	1.88E+00	2.23E+00
V21	1.19E+00	7.25E+01	7.04E+00	2.52E+00	6.07E+01	7.61E+00	8.44E+00	3.79E+00	6.96E+00	6.05E+00	9.37E+00	5.56E+00	1.51E+00	2.24E+00	2.83E+00	2.05E+00	1.30E+01
V22	4.68E+00	1.56E+01	2.41E+00	2.17E+00	1.46E+01	2.25E+00	1.84E+00	3.47E+00	2.60E+00	1.29E+00	2.77E+00	2.82E+00	4.78E+00	3.88E+00	2.07E+00	5.96E+00	3.23E+00
V23	9.34E-01	3.27E-01	2.44E+00	0.00E+00	0.00E+00	1.00E-01	2.00E-01	0.00E+00	6.11E-01	5.86E-01	1.79E+00	0.00E+00	6.53E-01	1.19E+00	3.00E-01	8.70E-01	1.16E+00
V24	4.38E+00	0.00E+00	2.06E+00	5.65E+00	0.00E+00	5.47E+00	8.18E+00	2.47E+00	4.60E+00	7.27E+00	6.96E+00	4.47E+00	3.22E+00	2.88E+00	7.83E+00	0.00E+00	5.46E+00
V25	1.35E+01	5.23E+01	2.53E+00	2.92E+00	5.10E+01	5.04E+00	2.24E+00	5.70E+00	3.32E+00	2.19E+00	2.45E+00	6.01E+00	1.83E+01	9.11E+00	4.23E+00	1.74E+00	6.32E+00
V26	6.69E+00	5.89E+00	8.21E+00	5.53E+00	4.03E+00	5.12E+00	9.91E-01	2.15E+00	3.97E+00	2.90E+00	7.72E+00	2.98E+00	5.43E+00	9.39E+00	6.04E+00	1.64E+00	2.31E+00
V27	0.00E+00	4.57E+01	0.00E+00	6.36E-01	4.10E+01	2.88E+00	1.13E+00	2.83E+00	1.94E+00	1.20E+00	2.67E-01	2.19E+00	0.00E+00	0.00E+00	2.13E-01	0.00E+00	2.23E+01
V28	1.00E+00	1.54E+00	2.44E+01	4.77E+00	1.85E+00	1.00E+01	2.90E+01	7.15E+00	5.85E+00	3.04E+01	3.15E+01	2.71E+00	1.50E+00	1.12E+00	7.22E+00	8.63E+00	6.80E+00
V29	5.00E+00	1.31E+00	7.05E+00	9.29E-01	8.72E-01	1.00E-01	3.06E-01	1.97E+00	6.96E-01	0.00E+00	8.71E+00	1.41E+00	4.02E+00	4.14E+00	1.79E+00	4.16E-01	9.67E-01
