Samples	ID83A	ID83B	ID83C	ID83D
V1	3.06E+01	2.91E+01	2.07E+00	1.69E+01
V2	3.69E+00	2.74E+00	2.06E+00	1.11E+00
V3	1.06E+01	1.09E+01	2.57E+00	1.31E+00
V4	3.69E+01	2.33E+01	3.34E+01	2.11E+00
V5	1.46E+01	1.91E+01	5.59E-01	1.74E+01
V6	2.63E+01	2.58E+01	1.48E+00	1.55E+01
V7	3.06E+01	3.46E+01	1.11E+01	1.79E+01
V8	3.99E+00	3.62E+00	3.20E+00	1.47E+00
V9	7.50E+00	1.03E+01	9.14E+00	7.08E+00
V10	7.15E+01	6.92E+01	3.51E+00	3.32E+01
V11	3.02E+00	2.62E+00	2.73E+00	1.72E+00
V12	6.43E+00	4.50E+00	6.04E+00	3.47E+00
V13	2.59E+00	2.27E+00	2.64E+00	7.00E-01
V14	7.21E+00	8.00E+00	5.74E+00	2.89E+00
V15	3.19E+00	7.37E+00	5.00E-01	7.38E+00
V16	2.16E+01	1.46E+01	1.96E+01	8.88E-01
V17	2.26E+00	3.25E+00	0.00E+00	3.10E+00
V18	6.74E+00	8.42E+00	3.21E+00	3.44E+00
V19	1.26E+01	1.21E+01	2.39E+00	6.05E-01
V20	1.71E+01	1.06E+01	1.50E+01	2.77E+00
V21	1.13E+01	1.13E+01	3.72E+00	4.60E+00
V22	1.75E+01	3.87E+01	7.68E+00	3.32E+01
V23	1.88E+01	2.13E+01	6.58E+00	1.26E+01
V24	3.66E+01	2.93E+01	3.31E+01	4.60E+00
V25	2.90E+01	2.01E+01	2.53E+01	0.00E+00
V26	3.90E+00	9.62E+00	1.59E+00	8.07E+00
V27	2.19E+01	1.54E+01	2.08E+01	3.38E+00
V28	2.48E+01	2.64E+01	4.61E+00	1.02E+01
V29	5.00E-01	0.00E+00	5.00E-01	0.00E+00
V30	6.53E+00	4.76E+00	2.52E+00	1.65E+00
V31	1.43E+01	1.31E+01	1.55E+00	1.74E+00
V32	1.28E+00	2.49E+00	2.22E+00	2.01E+00
V33	4.73E+00	2.98E+00	4.70E+00	1.28E+00
V34	2.70E+01	2.62E+01	5.17E-01	1.29E+01
V35	1.47E+01	1.57E+01	5.69E+00	5.06E+00
V36	4.79E+01	3.32E+01	4.57E+01	0.00E+00
V37	6.24E+00	1.09E+01	2.76E+00	1.10E+01
V38	1.55E+01	1.54E+01	2.93E+00	8.44E+00
V39	9.60E+00	9.27E+00	8.12E+00	4.99E+00
V40	1.14E+01	1.29E+01	1.13E+01	2.99E+00
V41	6.13E+00	7.58E+00	3.93E+00	1.00E-01
V42	5.24E+00	7.17E+00	4.76E+00	6.35E+00
V43	5.82E+01	4.17E+01	5.27E+01	1.10E+00
V44	2.37E+00	1.14E+01	1.82E+00	1.15E+01
V45	3.02E+01	2.16E+01	3.00E+01	1.68E+00
V46	7.81E+01	7.80E+01	3.96E-01	0.00E+00
V47	4.92E+00	3.18E+00	3.96E+00	1.38E+00
V48	1.74E+01	1.94E+01	9.25E+00	0.00E+00
V49	3.33E+00	4.14E+00	4.13E+00	2.50E+00
V50	3.91E+01	3.82E+01	1.99E+00	8.09E+00
V51	2.12E+01	2.92E+01	2.60E-01	2.68E+01
V52	1.46E+00	1.28E+01	6.23E-01	1.28E+01
