NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	117.976	22.037	23.868	13.824	0.094	0.985	90000.0
2	120.141	21.894	24.4	13.45	0.088	0.987	50000.0
3	122.22	22.631	24.489	14.012	0.092	0.985	100000.0
4	120.591	22.165	24.376	13.543	0.091	0.987	70000.0
5	123.785	22.629	25.305	13.961	0.093	0.985	150000.0
6	119.841	22.245	24.104	13.859	0.09	0.986	130000.0
7	120.713	22.087	24.911	13.827	0.092	0.985	130000.0
8	121.579	22.221	24.51	13.539	0.091	0.987	110000.0
9	120.677	22.195	24.855	13.959	0.093	0.986	100000.0
10	123.413	22.511	25.699	14.081	0.094	0.984	60000.0
11	123.031	22.284	25.333	13.947	0.09	0.985	130000.0
12	118.146	22.107	23.964	13.969	0.093	0.985	100000.0
13	121.88	22.424	25.152	14.119	0.093	0.984	240000.0
14	121.35	22.419	24.691	14.093	0.091	0.985	110000.0
15	121.508	22.065	24.819	13.649	0.091	0.986	60000.0
16	123.972	22.755	25.602	14.325	0.091	0.985	80000.0
17	119.088	21.72	24.177	13.305	0.089	0.987	110000.0
18	118.31	22.13	23.973	13.92	0.091	0.985	140000.0
19	120.97	22.095	24.517	13.756	0.091	0.986	80000.0
20	122.782	22.42	25.389	13.969	0.091	0.986	110000.0
21	119.451	21.997	24.509	13.916	0.092	0.986	70000.0
22	122.477	22.109	24.969	13.756	0.09	0.985	100000.0
23	117.39	21.994	23.494	13.603	0.091	0.985	130000.0
24	119.846	22.139	24.424	13.936	0.092	0.986	190000.0
25	118.377	22.035	23.783	13.582	0.09	0.986	130000.0
