Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.74,0.73,NO,N/A,62.92%,76.45%,141.44%,63.87%,107.14,0.5663,1.3586,0.235,0.609,0.745,0.318
3,0.61,0.51,NO,N/A,49.69%,63.07%,129.79%,45.55%,108.8,0.4561,1.2398,0.161,0.611,0.824,0.313
4,0.99,0.99,NO,N/A,32.31%,45.2%,112.87%,30.75%,102.8,0.3017,0.9316,0.088,0.546,0.903,0.378
5,0.93,0.72,NO,N/A,20.24%,34.5%,90.1%,20.45%,74.88,0.2103,0.6296,0.045,0.331,0.95,0.622
6*,1.0,1.0,YES,Most Stab Sigs,13.42%,25.55%,53.07%,16.9%,39.72,0.1393,0.3874,0.017,0.082,0.981,0.912
7,0.75,-0.59,NO,N/A,12.2%,25.04%,53.26%,15.2%,40.55,0.1496,0.3707,0.015,0.083,0.984,0.906
8,0.66,-0.4,NO,N/A,11.2%,23.87%,50.14%,12.85%,46.4,0.1441,0.3427,0.013,0.114,0.985,0.87
9,0.49,-0.62,NO,N/A,11.53%,23.87%,60.45%,13.29%,38.94,0.1474,0.4108,0.013,0.075,0.986,0.915
10,0.53,-0.66,NO,N/A,9.38%,21.18%,47.5%,12.17%,35.26,0.1361,0.3578,0.009,0.063,0.991,0.931
11,0.53,-0.6,NO,N/A,7.89%,20.01%,45.93%,9.93%,32.62,0.1241,0.3388,0.007,0.053,0.992,0.942
12,0.54,-0.53,NO,N/A,7.42%,17.42%,44.0%,9.07%,33.21,0.1149,0.3522,0.007,0.055,0.992,0.94
13,0.53,-0.56,NO,N/A,6.95%,17.46%,47.77%,8.92%,34.54,0.1159,0.3167,0.007,0.06,0.993,0.935
14,0.51,-0.47,NO,N/A,6.33%,16.22%,44.97%,8.08%,34.34,0.108,0.3152,0.005,0.058,0.994,0.937
15,0.47,-0.68,NO,N/A,5.99%,15.87%,49.03%,8.13%,34.12,0.1074,0.311,0.005,0.056,0.995,0.939
16,0.43,-0.79,NO,N/A,6.3%,15.61%,42.05%,7.89%,29.58,0.1058,0.3282,0.005,0.041,0.994,0.955
17,0.32,-0.93,NO,N/A,6.4%,16.84%,43.81%,7.72%,28.82,0.1117,0.3416,0.005,0.038,0.994,0.959
18,0.35,-0.8,NO,N/A,6.11%,15.1%,50.61%,7.1%,34.67,0.1075,0.3261,0.005,0.05,0.994,0.947
19,0.33,-0.82,NO,N/A,5.47%,14.55%,38.65%,7.19%,28.93,0.0999,0.2764,0.004,0.041,0.996,0.955
20,0.38,-0.68,NO,N/A,5.07%,12.89%,40.87%,6.0%,25.0,0.0966,0.325,0.003,0.025,0.996,0.971
