Samples	ID83A	ID83B	ID83C	ID83D
V1	80	83	177	92
V2	95	175	25	39
V3	0	101	227	4
V4	0	287	41	42
V5	7	116	8	147
V6	40	656	327	96
V7	66	0	21	5
V8	49	289	27	36
V9	0	39	53	115
V10	63	108	70	7
V11	2	90	22	28
V12	117	383	3	18
V13	67	24	460	83
V14	8	43	142	191
V15	80	102	6	119
V16	0	0	222	175
V17	163	12	120	1
V18	407	15	16	81
V19	145	71	0	210
V20	10	30	198	256
V21	152	5	17	27
V22	52	117	17	0
V23	55	1	140	32
V24	55	214	180	4
V25	262	110	35	1
V26	440	0	3	12
V27	67	58	0	192
V28	40	2	29	29
V29	3	4	200	70
V30	69	37	211	139
V31	79	0	36	108
V32	91	8	63	291
V33	140	0	16	41
V34	9	64	2	3
V35	102	10	146	18
V36	321	0	18	1
V37	80	0	3	3
V38	215	345	134	14
V39	70	98	0	1
V40	243	94	212	4
V41	15	254	3	15
V42	41	34	4	0
V43	219	124	65	67
V44	179	0	3	16
V45	141	57	117	312
V46	41	205	0	54
V47	11	51	38	248
V48	173	35	14	84
V49	236	0	99	7
V50	63	248	43	11
V51	7	12	11	184
V52	86	0	0	29
V53	6	143	7	283
V54	3	65	4	0
V55	86	235	57	48
V56	34	179	0	7
V57	105	0	36	128
V58	179	342	8	3
V59	141	151	250	32
V60	307	0	12	8
V61	42	0	359	1
V62	106	96	11	7
V63	282	32	266	25
V64	444	0	287	4
V65	31	80	122	0
V66	116	0	8	201
V67	38	78	9	4
V68	122	330	87	123
V69	42	135	24	0
V70	84	157	50	67
V71	212	128	45	1
V72	20	0	71	69
V73	3	15	62	29
V74	204	192	137	31
V75	42	0	35	1
V76	427	364	6	39
V77	17	21	7	181
V78	141	16	49	73
V79	110	22	102	17
V80	59	49	306	81
V81	63	0	139	45
V82	56	77	3	1
V83	29	75	58	81
V84	429	0	0	0
V85	248	165	4	31
V86	55	105	64	63
V87	228	63	169	124
V88	30	10	123	1
V89	75	102	91	82
V90	127	34	240	252
V91	165	67	8	5
V92	0	16	39	238
V93	2	20	70	123
V94	179	71	273	6
V95	150	92	9	26
V96	175	8	140	3
V97	144	5	178	195
V98	0	56	222	61
V99	20	43	2	187
V100	44	89	358	10
