Samples	ID83A	ID83B	ID83C	ID83D
V1	6.32E+00	5.22E+00	4.53E+00	3.66E+00
V2	2.48E+01	2.58E+01	1.55E+00	1.78E+00
V3	1.59E+01	1.57E+01	9.06E+00	6.51E-01
V4	1.93E+01	1.96E+01	2.46E+00	2.04E+00
V5	8.33E+00	9.07E+00	1.18E+00	3.18E+00
V6	5.66E+01	5.26E+01	4.66E+00	3.20E+00
V7	1.80E+00	1.59E+00	1.13E+00	6.57E-01
V8	3.24E+01	3.22E+01	2.14E+00	2.30E+00
V9	1.34E+00	2.36E+00	2.38E+00	2.67E+00
V10	8.73E+00	7.39E+00	2.57E+00	5.39E-01
V11	1.00E+01	9.76E+00	1.34E+00	1.60E+00
V12	2.00E+01	2.07E+01	8.92E-01	1.87E+00
V13	1.14E+01	1.09E+01	6.60E+00	3.59E+00
V14	2.86E+00	4.79E+00	3.87E+00	4.34E+00
V15	8.28E+00	6.96E+00	8.92E-01	2.96E+00
V16	1.43E+00	0.00E+00	2.23E+00	2.41E+00
V17	4.47E+00	4.26E+00	2.61E+00	2.24E-01
V18	6.89E+00	5.84E+00	1.29E+00	2.32E+00
V19	1.31E+01	1.26E+01	3.27E-01	5.49E+00
V20	3.55E+00	5.83E+00	3.68E+00	4.39E+00
V21	5.10E+00	4.87E+00	1.42E+00	1.76E+00
V22	1.50E+01	1.46E+01	1.18E+00	0.00E+00
V23	3.23E+00	3.04E+00	3.54E+00	1.86E+00
V24	1.99E+01	1.87E+01	5.50E+00	9.48E-01
V25	9.69E+00	9.55E+00	1.48E+00	3.67E-01
V26	6.60E+00	6.80E+00	5.82E-01	6.19E-01
V27	7.60E+00	9.14E+00	0.00E+00	2.49E+00
V28	2.90E+00	2.26E+00	1.14E+00	1.25E+00
V29	2.96E+00	2.08E+00	3.03E+00	3.60E+00
V30	4.88E+00	6.22E+00	3.60E+00	2.69E+00
V31	2.56E+00	1.27E+00	2.82E+00	3.18E+00
V32	5.09E+00	5.70E+00	3.45E+00	4.50E+00
V33	4.03E+00	3.62E+00	1.84E+00	1.46E+00
V34	2.93E+00	2.85E+00	4.94E-01	6.67E-01
V35	3.38E+00	3.95E+00	4.28E+00	1.30E+00
V36	4.91E+00	4.60E+00	1.17E+00	2.58E-01
V37	2.59E+00	2.66E+00	4.52E-01	5.59E-01
V38	2.69E+01	2.87E+01	3.88E+00	1.77E+00
V39	1.53E+01	1.53E+01	3.27E-01	3.14E-01
V40	2.00E+01	2.34E+01	1.29E+01	4.00E-01
V41	2.58E+01	2.62E+01	8.62E-01	8.57E-01
V42	4.11E+00	3.99E+00	7.33E-01	0.00E+00
V43	1.21E+01	1.25E+01	2.42E+00	2.05E+00
V44	5.12E+00	6.21E+00	5.16E-01	1.32E+00
V45	7.15E+00	7.07E+00	4.24E+00	4.47E+00
V46	2.00E+01	2.07E+01	0.00E+00	2.12E+00
V47	3.85E+00	4.36E+00	1.41E+00	2.76E+00
V48	4.93E+00	4.74E+00	8.33E-01	1.98E+00
V49	5.47E+00	5.59E+00	2.31E+00	1.10E+00
V50	3.02E+01	3.13E+01	2.47E+00	1.31E+00
V51	1.82E+00	4.31E+00	1.42E+00	3.08E+00
V52	1.38E+00	1.16E+00	0.00E+00	1.06E+00
V53	1.15E+01	1.22E+01	5.77E-01	3.85E+00
V54	4.89E+00	4.73E+00	8.06E-01	0.00E+00
V55	1.84E+01	1.70E+01	2.96E+00	1.81E+00
V56	2.45E+01	2.47E+01	0.00E+00	9.68E-01
V57	3.92E+00	2.79E+00	2.32E+00	3.16E+00
V58	1.56E+01	1.57E+01	7.72E-01	4.23E-01
V59	1.60E+01	1.68E+01	3.46E+00	1.71E+00
V60	5.87E+00	5.81E+00	1.20E+00	8.84E-01
V61	5.77E+00	6.86E-01	5.49E+00	4.33E-01
V62	7.71E+00	7.82E+00	1.16E+00	9.45E-01
V63	5.53E+00	3.87E+00	5.10E+00	2.04E+00
V64	6.78E+00	3.36E+00	5.43E+00	6.32E-01
V65	7.95E+00	8.73E+00	2.84E+00	0.00E+00
V66	2.78E+00	2.19E+00	9.78E-01	2.48E+00
V67	9.58E+00	1.03E+01	1.20E+00	6.51E-01
V68	3.30E+01	3.34E+01	3.92E+00	3.84E+00
V69	1.90E+01	1.84E+01	1.78E+00	0.00E+00
V70	1.58E+01	1.47E+01	3.13E+00	2.56E+00
V71	1.92E+01	1.95E+01	2.29E+00	2.98E-01
V72	1.05E+00	3.35E-01	2.56E+00	1.84E+00
V73	3.38E+00	4.11E+00	3.82E+00	1.41E+00
V74	2.53E+01	2.51E+01	3.90E+00	1.83E+00
V75	1.71E+00	5.16E-01	1.52E+00	5.42E-01
V76	4.04E+01	4.07E+01	8.84E-01	1.89E+00
V77	1.10E+00	1.23E+00	8.44E-01	1.80E+00
V78	6.25E+00	5.32E+00	1.74E+00	2.42E+00
V79	7.14E+00	6.69E+00	4.26E+00	1.39E+00
V80	6.11E+00	3.79E+00	4.16E+00	3.83E+00
V81	3.62E+00	3.27E+00	2.47E+00	2.02E+00
V82	7.07E+00	7.13E+00	6.11E-01	4.48E-01
V83	8.92E+00	8.05E+00	2.79E+00	2.29E+00
V84	4.92E+00	4.92E+00	0.00E+00	0.00E+00
V85	1.18E+01	1.23E+01	5.04E-01	2.44E+00
V86	1.15E+01	1.10E+01	2.32E+00	2.06E+00
V87	4.40E+00	4.44E+00	2.78E+00	3.03E+00
V88	3.45E+00	3.05E+00	1.74E+00	2.60E-01
V89	5.89E+00	5.79E+00	2.56E+00	2.80E+00
V90	4.50E+00	4.60E+00	2.57E+00	4.65E+00
V91	6.78E+00	6.84E+00	9.68E-01	6.53E-01
V92	3.00E-01	2.53E+00	2.08E+00	3.08E+00
V93	4.19E+00	6.20E+00	3.48E+00	3.09E+00
V94	4.84E+00	3.67E+00	4.70E+00	9.68E-01
V95	1.03E+01	1.06E+01	1.26E+00	1.47E+00
V96	5.37E+00	5.55E+00	2.36E+00	5.17E-01
V97	2.88E+00	4.27E+00	4.98E+00	3.64E+00
V98	5.40E+00	5.72E+00	5.83E+00	2.25E+00
V99	6.37E+00	7.20E+00	4.73E-01	2.91E+00
V100	2.01E+01	1.77E+01	1.21E+01	9.91E-01
