Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V1	2.65E+00	1.19E+00	3.12E+00	5.75E+00	4.82E+00	4.94E-01	4.97E+00	0.00E+00	0.00E+00	5.61E+00	1.28E+00
V2	2.09E+00	1.87E+00	1.58E+00	1.05E+00	5.17E+00	0.00E+00	1.58E+00	5.43E-01	0.00E+00	5.45E+00	1.76E+00
V3	3.33E-01	1.05E+00	0.00E+00	3.62E+00	3.42E-01	9.92E+00	3.69E+00	9.39E+00	2.39E+00	2.10E+00	9.80E-01
V4	9.80E+00	6.91E+00	3.41E+00	9.29E-01	3.63E+00	1.51E+00	1.50E+00	2.43E+00	0.00E+00	5.65E+00	1.21E+01
V5	1.44E+00	1.67E+00	7.61E-01	2.33E+00	1.93E+00	4.56E+00	1.00E-01	4.78E+00	3.54E+00	3.59E+00	4.58E+00
V6	1.58E+00	4.13E+00	1.79E+00	8.07E+00	2.87E+00	2.22E+00	3.87E+00	2.00E+00	1.86E+00	9.53E+00	4.26E+00
V7	2.24E-01	2.35E+00	0.00E+00	3.42E+00	2.93E+00	6.71E-01	4.27E-01	1.51E+00	2.55E+00	3.25E+00	2.56E+00
V8	2.34E+00	1.30E+00	1.15E+00	1.27E+01	7.15E+00	3.20E+00	2.26E+00	9.83E-01	1.72E+01	2.26E+01	2.15E+00
V9	1.97E+00	1.10E+00	3.85E+00	1.90E+00	2.78E+00	2.60E-01	1.21E+00	1.33E-01	1.10E+00	3.15E+00	4.67E-01
V10	2.93E+00	2.83E+00	6.23E-01	3.53E+00	3.35E+00	1.01E+00	4.82E+00	1.59E+00	4.79E+00	5.94E+00	2.73E+00
V11	5.28E+00	6.33E+00	4.94E-01	4.85E+00	3.13E+00	1.75E+00	2.13E+00	1.78E+00	5.49E+00	8.28E+00	7.83E+00
V12	4.42E-01	4.50E+00	6.80E-01	2.10E+00	1.38E+00	1.49E+01	7.77E-01	1.31E+01	2.87E+00	3.26E+00	3.16E+00
V13	2.45E+00	4.28E+00	5.88E+00	9.31E+00	1.27E+01	1.89E+00	9.45E+00	1.52E+00	2.67E+00	1.83E+01	4.31E+00
V14	2.98E+00	2.24E-01	0.00E+00	1.99E+00	2.67E-01	5.34E+00	2.19E+00	5.03E+00	7.42E-01	2.57E+00	1.54E+00
V15	1.47E+00	1.86E+00	1.62E+00	2.53E+00	2.66E+00	7.49E-01	3.52E+00	1.26E+00	2.57E+00	4.34E+00	8.75E-01
V16	2.21E-01	0.00E+00	3.59E+00	2.24E-01	1.69E+00	5.63E+00	0.00E+00	6.33E+00	0.00E+00	2.49E+00	0.00E+00
V17	4.93E+00	3.03E+00	6.84E-01	1.77E+00	2.34E+00	8.17E-01	6.80E-01	1.19E+00	3.69E+00	4.98E+00	3.30E+00
V18	5.06E+00	4.24E+00	6.90E-01	1.18E+01	8.96E+00	3.79E+00	2.87E+00	2.62E+00	1.41E+01	1.61E+01	5.68E+00
V19	2.11E+00	8.37E+00	7.52E-01	8.44E-01	1.25E+00	1.95E+01	3.00E-01	1.90E+01	0.00E+00	3.35E+00	9.50E+00
V20	3.40E-01	4.51E+00	1.73E+00	7.10E+00	2.39E+00	1.10E+00	9.39E+00	1.17E+00	3.00E-01	7.23E+00	3.97E+00
V21	5.34E+00	9.31E-01	5.59E-01	7.24E+00	3.99E+00	1.75E+00	4.17E+00	1.51E+00	6.04E+00	1.12E+01	8.70E-01
V22	2.31E+00	1.15E+00	2.86E+00	2.35E+00	1.79E+00	6.40E-01	1.00E-01	5.00E-01	1.29E+00	2.40E+00	5.17E-01
