NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	98.905	35.566	28.227	24.258	0.211	0.963	20000.0
2	95.531	34.477	27.204	23.187	0.202	0.968	30000.0
3	98.846	35.598	30.179	25.559	0.209	0.958	30000.0
4	99.263	34.802	30.64	24.922	0.203	0.961	30000.0
5	96.156	35.014	27.672	23.967	0.202	0.964	20000.0
6	98.266	35.83	28.339	24.622	0.215	0.961	50000.0
7	101.175	36.239	28.693	24.616	0.207	0.968	40000.0
8	98.404	34.74	30.657	25.57	0.204	0.956	20000.0
9	96.97	35.179	27.493	23.655	0.212	0.965	20000.0
10	100.836	35.943	28.776	24.33	0.211	0.964	30000.0
