Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V1	35	1	24	6	0	3	5	1	5	3	0	13
V2	0	2	8	4	4	7	41	47	0	0	0	0
V3	24	186	7	6	64	28	0	5	8	2	0	18
V4	10	5	3	26	0	0	0	0	18	0	0	0
V5	0	20	19	0	61	116	9	18	10	0	0	0
V6	0	18	0	0	53	64	0	0	17	13	19	0
V7	9	3	0	27	5	0	30	19	14	0	29	3
V8	14	0	40	20	127	50	45	10	0	0	32	35
V9	0	30	22	17	16	12	17	62	0	0	14	0
V10	17	30	14	25	0	5	0	2	9	0	0	0
V11	0	0	1	16	15	33	6	2	0	13	16	3
V12	20	6	103	16	0	0	6	19	0	0	0	4
V13	0	32	0	70	43	11	26	0	45	0	9	0
V14	37	12	8	38	1	1	1	0	17	5	0	0
V15	36	18	0	5	20	18	11	6	0	0	0	0
V16	0	35	0	17	8	5	9	4	11	0	0	0
V17	168	38	27	3	37	27	0	0	15	13	12	59
V18	4	0	7	0	0	4	31	9	0	0	0	0
V19	203	12	23	4	0	12	2	11	0	2	0	59
V20	10	23	2	29	5	0	0	10	7	2	58	1
V21	19	130	82	44	4	0	0	0	66	37	0	0
V22	189	45	0	223	57	59	8	35	7	0	0	13
V23	0	134	2	0	20	13	1	2	0	66	0	14
V24	0	75	30	258	0	0	2	10	21	74	0	0
V25	221	2	10	7	128	172	0	23	0	0	38	13
V26	50	6	186	65	33	5	7	0	0	1	19	8
V27	41	48	0	72	128	23	0	0	81	14	0	0
V28	29	391	0	0	79	57	18	9	6	0	0	0
V29	143	9	15	21	17	0	0	6	18	2	0	0
V30	0	61	0	194	74	0	230	95	0	0	0	0
V31	21	158	0	121	92	100	0	0	137	68	0	0
V32	39	12	3	58	3	4	1	1	8	10	1	0
V33	6	0	80	9	2	0	10	11	41	4	0	0
V34	113	103	78	0	18	15	39	16	2	9	13	0
V35	3	10	15	34	41	2	5	0	0	0	48	9
V36	34	12	6	1	8	3	2	0	0	0	1	18
V37	14	34	2	0	1	0	1	4	0	0	0	0
V38	13	1	421	13	11	19	0	1	0	0	8	0
V39	433	93	54	2	12	125	11	19	0	7	0	0
V40	0	5	104	33	0	14	127	44	0	0	0	0
V41	74	23	0	1	1	3	6	0	0	0	0	4
V42	7	99	0	84	71	56	47	0	0	0	120	2
V43	101	2	2	0	3	8	1	2	0	0	0	6
V44	62	0	10	6	24	2	7	0	13	0	0	47
V45	5	88	184	1	0	0	30	113	0	4	22	0
V46	43	1	127	2	7	0	1	7	8	12	0	15
V47	52	36	55	3	1	0	14	3	0	21	0	0
V48	57	138	0	13	43	25	16	20	0	58	0	25
V49	16	11	17	46	38	6	4	2	0	30	11	6
V50	21	20	0	13	63	27	0	0	47	18	0	9
V51	0	23	78	0	18	1	23	0	16	0	0	0
V52	66	25	59	1	47	0	0	0	4	8	0	43
V53	18	39	31	2	33	24	0	0	10	17	2	0
V54	11	46	4	78	0	1	4	0	48	87	0	0
V55	8	1	3	0	5	5	0	0	13	0	0	0
V56	0	57	226	5	19	43	0	60	0	0	0	7
V57	49	30	3	1	1	0	0	2	0	20	0	18
V58	12	63	75	16	0	8	43	30	22	0	0	30
V59	11	59	40	15	47	0	8	0	0	2	0	0
V60	67	7	9	61	20	37	73	54	0	0	57	0
V61	46	41	42	33	11	25	76	24	0	0	20	0
V62	0	218	27	19	9	5	37	21	41	84	0	0
V63	8	11	9	4	0	1	0	0	15	9	0	0
V64	56	53	0	0	1	0	72	21	3	6	5	10
V65	0	94	0	40	3	7	32	11	0	0	0	1
V66	57	2	1	83	37	5	17	93	31	19	0	10
V67	0	39	152	0	47	17	37	19	0	0	31	0
V68	2	35	20	9	77	93	5	4	0	0	0	13
V69	122	39	4	41	14	17	7	19	0	0	37	33
V70	2	9	1	0	3	14	0	1	0	0	0	0
V71	210	15	11	171	24	31	21	22	0	9	6	0
V72	10	62	18	1	0	0	58	38	5	0	5	0
V73	0	107	41	20	27	15	20	67	0	28	9	2
V74	252	116	9	9	39	20	6	22	0	6	0	2
V75	81	145	2	114	72	44	8	0	0	21	39	3
V76	0	0	0	0	0	2	20	5	6	0	0	0
V77	22	11	10	9	50	18	0	0	85	0	0	0
V78	72	16	40	0	2	12	0	0	0	12	0	1
V79	4	77	0	6	0	0	7	6	3	32	0	0
V80	0	0	5	204	31	0	0	0	80	32	0	0
V81	13	28	109	18	0	0	0	0	39	0	0	0
V82	209	24	4	95	1	0	1	0	0	1	0	18
V83	80	5	0	379	0	14	22	89	64	0	0	8
V84	6	53	2	16	5	0	9	56	0	0	16	8
V85	28	32	23	6	0	0	0	18	6	17	2	18
V86	1	0	4	5	3	0	1	0	38	6	0	0
V87	0	2	28	8	0	0	0	2	18	1	0	18
V88	21	0	17	0	0	10	12	10	23	0	0	0
V89	15	28	0	19	21	8	0	14	40	0	0	0
V90	253	0	12	5	14	9	6	2	2	0	1	23
V91	123	58	206	6	0	0	13	3	8	0	0	2
V92	10	141	11	16	6	1	0	0	8	0	0	10
V93	0	25	12	18	22	7	2	11	0	6	0	0
V94	37	65	102	47	18	2	4	0	5	18	0	10
V95	7	47	2	3	4	0	13	4	0	20	0	0
V96	16	10	170	19	2	0	24	10	19	1	0	0
V97	237	0	0	30	5	0	20	13	0	0	17	15
V98	14	37	44	1	1	0	5	3	5	0	0	0
V99	26	262	0	86	7	9	0	0	56	51	0	0
V100	428	24	0	11	12	0	21	39	0	0	0	16
