MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
4:Ins:R:1	2.53E-04	8.77E-05	2.94E-09	1.37E-04	0.00E+00	0.00E+00	1.27E-07	4.21E-07	3.56E-03	0.00E+00	2.71E-03	1.23E-03	4.60E-03	9.49E-04	4.08E-03	1.71E-03	1.26E-02	0.00E+00	7.59E-03	6.16E-03
4:Ins:R:2	1.88E-07	5.30E-08	4.07E-08	1.36E-07	6.61E-08	7.10E-08	4.92E-08	1.12E-07	6.10E-08	3.67E-08	1.14E-07	1.49E-07	2.68E-07	2.20E-07	2.45E-07	8.46E-08	1.20E-07	1.17E-03	1.53E-03	1.33E-07
4:Ins:R:3	2.89E-08	4.60E-08	3.01E-08	1.10E-07	5.32E-08	6.10E-08	5.48E-08	1.19E-07	2.99E-07	6.43E-08	1.39E-07	1.11E-07	2.35E-07	1.87E-07	3.06E-07	1.47E-07	2.48E-07	3.68E-07	2.27E-07	2.00E-07
4:Ins:R:4	5.52E-04	2.04E-04	5.95E-05	1.92E-07	2.84E-08	3.17E-08	1.45E-08	5.66E-08	0.00E+00	3.68E-04	0.00E+00	0.00E+00	1.81E-04	1.31E-04	1.58E-04	4.89E-07	1.22E-04	1.38E-03	1.75E-04	4.29E-04
4:Ins:R:5	2.71E-04	1.23E-03	0.00E+00	0.00E+00	0.00E+00	6.38E-05	0.00E+00	6.37E-04	4.77E-04	0.00E+00	1.09E-03	3.37E-04	0.00E+00	0.00E+00	3.37E-03	3.11E-03	6.64E-04	7.58E-03	0.00E+00	1.96E-03
5:Ins:R:0	7.09E-08	5.44E-08	4.20E-08	1.11E-07	4.72E-08	5.44E-08	5.39E-08	4.36E-07	3.87E-04	1.68E-04	3.26E-04	1.36E-07	2.28E-04	4.91E-08	5.68E-07	1.68E-07	4.53E-04	4.87E-04	1.40E-07	3.04E-04
5:Ins:R:1	1.21E-03	5.48E-08	0.00E+00	1.46E-06	1.69E-03	7.17E-04	3.91E-03	0.00E+00	2.63E-04	1.11E-02	4.97E-04	9.50E-03	2.89E-03	7.68E-03	2.10E-03	7.38E-03	1.61E-03	1.91E-02	3.66E-07	1.34E-04
5:Ins:R:2	7.99E-05	4.07E-08	3.40E-08	8.57E-08	8.08E-05	9.42E-08	7.64E-08	1.02E-07	8.82E-05	1.17E-07	1.19E-07	5.83E-04	3.76E-07	1.01E-03	2.40E-09	7.91E-04	2.35E-07	3.44E-06	1.05E-03	1.94E-07
5:Ins:R:3	5.70E-07	4.11E-08	4.22E-04	1.77E-07	0.00E+00	0.00E+00	1.91E-04	3.05E-04	2.60E-07	0.00E+00	3.56E-08	1.99E-04	2.55E-07	1.72E-07	7.35E-08	3.67E-04	2.39E-04	1.97E-06	1.18E-06	2.70E-07
5:Ins:R:4	1.05E-04	6.42E-05	3.01E-08	2.40E-04	4.41E-08	9.05E-08	0.00E+00	2.74E-08	4.98E-04	4.26E-07	1.58E-07	1.29E-03	1.80E-03	2.78E-04	1.60E-03	3.87E-04	7.15E-08	1.13E-04	1.96E-03	7.53E-04
5:Ins:R:5	5.18E-09	1.20E-04	2.14E-08	2.47E-08	2.90E-04	1.09E-07	2.38E-04	1.35E-07	1.82E-04	0.00E+00	1.37E-07	5.75E-08	3.72E-07	1.75E-04	0.00E+00	7.26E-04	3.55E-04	4.85E-04	1.14E-06	6.31E-04
2:Del:M:1	1.81E-04	0.00E+00	0.00E+00	2.00E-08	3.76E-03	8.49E-04	1.45E-03	0.00E+00	1.53E-03	1.86E-07	4.80E-04	1.02E-03	2.97E-03	1.06E-03	0.00E+00	4.49E-03	2.49E-03	3.85E-03	8.18E-04	0.00E+00
3:Del:M:1	9.03E-09	1.44E-08	1.66E-04	1.85E-08	1.24E-03	0.00E+00	7.41E-04	1.21E-03	8.15E-03	2.21E-03	3.10E-03	3.49E-03	1.98E-03	9.32E-03	3.83E-04	5.30E-03	0.00E+00	4.81E-03	1.98E-03	2.23E-04
3:Del:M:2	4.69E-04	0.00E+00	0.00E+00	1.54E-07	7.44E-07	2.14E-08	1.78E-03	3.99E-04	3.58E-03	1.16E-02	0.00E+00	4.76E-04	8.65E-07	2.26E-02	7.28E-03	5.86E-03	2.27E-02	0.00E+00	1.28E-02	2.10E-03
4:Del:M:1	0.00E+00	1.04E-04	1.88E-04	0.00E+00	1.13E-04	8.42E-05	2.01E-03	3.37E-03	6.89E-03	1.53E-02	3.11E-07	3.48E-03	2.02E-03	5.30E-03	0.00E+00	3.78E-03	9.51E-04	2.60E-03	7.67E-03	5.86E-04
4:Del:M:2	3.26E-09	3.32E-07	2.75E-09	7.37E-08	1.27E-07	0.00E+00	1.10E-03	1.59E-07	5.09E-03	1.51E-03	1.60E-03	1.20E-03	3.18E-03	1.40E-04	2.18E-03	2.34E-03	1.82E-07	2.37E-04	6.02E-07	2.63E-03
4:Del:M:3	5.86E-05	5.29E-04	1.22E-03	5.47E-04	1.98E-04	4.87E-04	1.08E-03	1.72E-03	4.22E-03	0.00E+00	1.88E-03	6.75E-04	3.46E-03	9.80E-04	0.00E+00	1.34E-03	3.29E-03	1.12E-03	3.19E-03	0.00E+00
5:Del:M:1	2.14E-06	8.00E-07	1.21E-07	6.91E-08	1.40E-07	2.67E-07	3.82E-02	2.59E-07	9.05E-07	3.20E-08	6.20E-07	8.18E-03	1.68E-02	5.11E-02	2.38E-07	4.37E-02	3.20E-02	1.82E-02	5.65E-06	1.84E-02
5:Del:M:2	7.39E-08	1.34E-03	2.27E-02	8.84E-04	8.46E-03	5.15E-02	2.83E-02	1.24E-03	1.64E-45	2.60E-02	1.40E-46	2.84E-02	1.01E-03	1.06E-02	9.24E-07	1.53E-02	9.77E-03	1.03E-02	9.46E-03	2.86E-03
5:Del:M:3	1.29E-04	2.27E-04	4.39E-03	0.00E+00	4.03E-03	1.40E-46	5.52E-03	1.62E-07	1.15E-02	8.87E-03	0.00E+00	1.54E-02	1.09E-03	4.58E-02	5.27E-07	1.92E-02	3.20E-03	2.27E-03	1.05E-03	3.23E-03
5:Del:M:4	3.03E-08	1.61E-04	1.41E-08	1.94E-08	0.00E+00	1.55E-07	5.41E-03	1.66E-04	1.64E-02	3.91E-03	2.43E-03	2.18E-02	6.21E-03	1.45E-02	2.78E-07	1.71E-02	2.52E-06	2.40E-03	1.58E-03	5.41E-07
5:Del:M:5	1.79E-08	1.05E-04	2.47E-04	1.61E-04	1.05E-03	0.00E+00	4.25E-03	0.00E+00	3.60E-03	2.09E-02	1.19E-03	5.45E-03	1.24E-03	2.20E-03	1.85E-03	5.47E-03	5.48E-03	6.05E-03	3.84E-08	2.36E-03
