Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V1	14	0	28	110	7	0	77	0	18	167	0	0	19	36	0	24	0	0	0	0
V2	13	99	16	0	1	34	23	1	6	0	0	0	1	2	15	0	17	7	8	5
V3	26	11	25	82	10	53	10	0	7	37	5	4	25	0	56	0	0	0	0	2
V4	10	4	75	213	18	60	88	2	10	96	8	7	33	16	115	0	0	3	4	0
V5	33	170	39	0	101	0	0	14	12	22	38	0	3	12	0	8	17	2	0	0
V6	40	59	42	0	5	0	0	1	1	0	1	0	0	6	1	0	0	13	2	5
V7	183	21	0	75	55	4	42	3	18	43	16	5	36	51	15	18	0	12	0	0
V8	124	28	76	11	21	0	20	53	7	25	4	122	2	1	22	103	0	0	11	4
V9	31	59	26	0	71	6	0	18	65	0	35	30	4	0	9	14	0	9	0	0
V10	1	10	0	1	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0
V11	15	88	5	100	31	0	84	0	0	8	10	0	19	56	34	0	0	21	0	0
V12	65	5	3	16	93	0	16	5	7	0	52	0	8	0	1	11	10	10	0	2
V13	71	31	22	54	48	0	15	42	48	0	23	3	8	2	6	9	0	20	0	12
V14	16	0	0	46	2	0	17	6	5	0	0	5	37	26	13	7	0	0	0	0
V15	24	12	53	0	12	51	4	0	7	0	23	1	1	0	0	0	2	0	1	0
V16	27	24	5	17	4	10	12	14	31	0	3	3	3	0	28	21	6	0	0	6
V17	6	50	59	100	199	12	2	21	13	15	38	23	23	13	17	1	0	0	5	0
V18	0	94	16	10	3	0	0	7	18	0	0	13	0	8	0	27	5	5	0	0
V19	87	7	0	51	7	0	30	19	16	45	0	11	16	11	5	15	7	5	0	16
V20	148	133	33	9	3	0	0	15	25	0	1	49	5	1	0	14	0	3	9	0
V21	9	26	3	0	21	0	0	4	8	0	64	8	0	0	3	0	9	0	0	0
V22	34	6	84	0	35	21	8	10	8	0	24	16	9	0	16	0	18	1	0	5
