MutationType	ID83A	ID83B
1:Del:C:0	0.12123775612562895	0.027509735058993103
1:Del:C:1	0.0350741361733526	0.009454191196709871
1:Del:C:2	0.0011883655730343889	0.000458091835965746
1:Del:C:3	0.005230240756645799	0.002884489973075688
1:Del:C:4	0.003634394844993949	0.0020450174575671553
1:Del:C:5	0.0013495220104232431	0.006033280204718494
1:Del:T:0	0.03931318034883589	0.013010117644444107
1:Del:T:1	0.016680797142907978	0.07927392178680748
1:Del:T:2	0.035049034655094145	0.2668315503007676
1:Del:T:3	0.03905938351526857	0.015663313586264847
1:Del:T:4	0.034481766261160375	0.020346864219754936
1:Del:T:5	0.024782203661368386	0.29303405359387397
1:Ins:C:0	0.0005359787211929757	0.0003357202071660126
1:Ins:C:1	0.0005339814588914748	0.00025369249240867473
1:Ins:C:2	0.0004049219304720353	0.00021542473105577996
1:Ins:C:3	8.265875963981983e-05	0.0001565946370329918
1:Ins:C:4	0.0007164120092056691	0.00048345091345254333
1:Ins:C:5	0.0069933848455548285	0.003630960121518001
1:Ins:T:0	0.005453038324776571	0.0012750172268425786
1:Ins:T:1	0.0041214024880900976	0.0011443063853366908
1:Ins:T:2	0.000899512885371223	0.00044190721494885565
1:Ins:T:3	0.002051146246958524	0.0005111824496554007
1:Ins:T:4	0.005443700589239597	0.000808449936590705
1:Ins:T:5	0.25293020755052564	0.006530970115601065
2:Del:R:0	0.006505138473585248	0.0017657506745308638
2:Del:R:1	0.0021111729801098988	0.005021828087046742
2:Del:R:2	0.0022180804633535446	0.0017671946668997407
2:Del:R:3	0.00030691319625475444	0.00033047409084723255
2:Del:R:4	0.00014418350280207549	0.00033232281196013955
2:Del:R:5	0.00022980249907913474	7.595928776122917e-05
3:Del:R:0	0.0024351467014639637	0.0023607481853105128
3:Del:R:1	0.0029818485490977764	0.003065955883357674
3:Del:R:2	0.00040135311818971785	0.0013431501458398998
3:Del:R:3	0.0004100546066183597	4.692943512782932e-05
3:Del:R:4	3.4528008256984323e-07	3.433703170685476e-07
3:Del:R:5	3.4528008256984323e-07	3.433703170685476e-07
4:Del:R:0	0.0018122255860362202	0.001326185338984942
4:Del:R:1	0.0014280327224696521	0.0014942179870558903
4:Del:R:2	0.0004471946655354664	0.0003077422545015196
4:Del:R:3	3.4528008256984323e-07	3.433703170685476e-07
4:Del:R:4	3.4528008256984323e-07	3.433703170685476e-07
4:Del:R:5	0.00025745375714905097	4.760467398368107e-05
5:Del:R:0	0.037444417690858246	0.043959082756191495
5:Del:R:1	0.00043283465108583384	0.0011937874485738575
5:Del:R:2	0.00017864884182330342	0.00011412310826175442
5:Del:R:3	2.2187359638614624e-05	5.8431513658341315e-05
5:Del:R:4	1.4856429331189247e-07	6.775791612483318e-05
5:Del:R:5	5.7903138164761e-05	1.117227202307447e-07
2:Ins:R:0	0.0008255044625737895	0.00018349548908336288
2:Ins:R:1	0.0011853192758280785	0.0001535782633956373
2:Ins:R:2	0.00044119767480879093	0.0003188765556359385
2:Ins:R:3	0.00017819380148864639	0.00037128385264892925
2:Ins:R:4	0.0006359050225000828	0.0006596419786770724
2:Ins:R:5	0.006369856232777238	0.006059442926721203
3:Ins:R:0	0.00010356045044028761	0.00017802354991145464
3:Ins:R:1	0.000653065949154552	0.0006944712062249891
3:Ins:R:2	8.366178904566368e-05	1.0604103604094916e-07
3:Ins:R:3	3.4528008256984323e-07	3.433703170685476e-07
3:Ins:R:4	0.141488067060709	0.04522742061928966
3:Ins:R:5	0.00027496187685756014	4.3684933323362427e-05
4:Ins:R:0	0.0004039026203827234	3.9400857823945756e-05
4:Ins:R:1	0.0012319494329858572	0.0007081211108015851
4:Ins:R:2	4.898087365212689e-05	2.172050098456779e-05
4:Ins:R:3	9.836268745857523e-05	1.3637884634931652e-07
4:Ins:R:4	6.401679042555841e-05	4.022418401614658e-05
4:Ins:R:5	0.0006403364721336402	0.001472342386841774
5:Ins:R:0	0.0001189259518152852	0.00010105290001671818
5:Ins:R:1	0.06725229173898697	0.027853870324520358
5:Ins:R:2	3.4528008256984323e-07	3.433703170685476e-07
5:Ins:R:3	6.395611739389296e-05	5.793617644442861e-05
5:Ins:R:4	6.493106870095744e-05	1.4610234826406555e-07
5:Ins:R:5	0.00013358841403592335	3.0180424367376447e-05
2:Del:M:1	0.002592389943310991	0.0010773917439109936
3:Del:M:1	0.002732325692380755	0.0013384221026395693
3:Del:M:2	0.0018364422721788287	0.0015296983125153928
4:Del:M:1	0.001355091047901169	0.0005227337863530579
4:Del:M:2	0.001007135451072827	0.0007238988240715116
4:Del:M:3	0.0010707346547860653	0.000726350920740515
5:Del:M:1	0.04128829607507214	0.05342824049293995
5:Del:M:2	0.017196991186618504	0.024647810123860837
5:Del:M:3	0.006811730736970567	0.0078052202705293896
5:Del:M:4	0.0028106928934896304	0.0032669760917471537
5:Del:M:5	0.0018636522899299734	0.0037043084390461444
