NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	122.503	22.876	24.823	14.262	0.097	0.984	90000.0
2	123.176	22.458	25.445	14.094	0.092	0.986	100000.0
3	122.393	22.731	24.284	14.014	0.094	0.985	70000.0
4	124.207	22.897	25.113	14.033	0.094	0.986	140000.0
5	125.097	23.036	25.26	14.089	0.098	0.984	120000.0
6	120.492	22.335	24.25	13.976	0.092	0.985	70000.0
7	123.02	22.784	25.266	14.423	0.096	0.984	140000.0
8	120.652	22.437	23.992	13.899	0.093	0.986	60000.0
9	123.0	22.741	25.058	14.137	0.096	0.985	70000.0
10	125.3	22.858	25.466	14.187	0.097	0.983	90000.0
11	123.929	22.583	25.181	13.932	0.094	0.985	80000.0
12	125.377	23.106	25.682	14.443	0.097	0.984	80000.0
13	124.294	22.726	25.778	14.292	0.095	0.984	50000.0
14	123.447	22.737	25.048	14.195	0.094	0.985	80000.0
15	122.511	22.431	24.922	14.109	0.094	0.985	100000.0
16	121.661	22.695	24.67	14.354	0.094	0.985	130000.0
17	122.865	22.733	25.164	14.313	0.092	0.985	70000.0
18	122.966	22.713	24.833	13.984	0.094	0.985	70000.0
19	122.561	22.558	24.92	14.212	0.094	0.985	60000.0
20	125.492	23.191	25.391	14.415	0.096	0.985	100000.0
21	120.874	22.45	24.607	14.09	0.095	0.985	60000.0
22	122.57	22.608	25.086	14.147	0.095	0.984	70000.0
23	123.215	22.862	25.056	14.392	0.093	0.984	90000.0
24	125.337	23.0	25.481	14.393	0.095	0.985	70000.0
25	122.447	22.059	25.211	13.735	0.091	0.986	190000.0
